Year,Nation,iso_code3,frac_enfu_fuel_demand_imported_pj_fuel_kerosene
2017,albania,ALB,0.47828244060434727
2018,albania,ALB,0.47828244060434727
2019,albania,ALB,0.47828244060434727
2020,albania,ALB,0.47828244060434727
2021,albania,ALB,0.47828244060434727
2022,albania,ALB,0.47828244060434727
2023,albania,ALB,0.47828244060434727
2024,albania,ALB,0.47828244060434727
2025,albania,ALB,0.47828244060434727
2026,albania,ALB,0.47828244060434727
2027,albania,ALB,0.47828244060434727
2028,albania,ALB,0.47828244060434727
2029,albania,ALB,0.47828244060434727
2030,albania,ALB,0.47828244060434727
2031,albania,ALB,0.47828244060434727
2032,albania,ALB,0.47828244060434727
2033,albania,ALB,0.47828244060434727
2034,albania,ALB,0.47828244060434727
2035,albania,ALB,0.47828244060434727
2036,albania,ALB,0.47828244060434727
2037,albania,ALB,0.47828244060434727
2038,albania,ALB,0.47828244060434727
2039,albania,ALB,0.47828244060434727
2040,albania,ALB,0.47828244060434727
2041,albania,ALB,0.47828244060434727
2042,albania,ALB,0.47828244060434727
2043,albania,ALB,0.47828244060434727
2044,albania,ALB,0.47828244060434727
2045,albania,ALB,0.47828244060434727
2046,albania,ALB,0.47828244060434727
2047,albania,ALB,0.47828244060434727
2048,albania,ALB,0.47828244060434727
2049,albania,ALB,0.47828244060434727
2050,albania,ALB,0.47828244060434727
2017,algeria,DZA,0.08522832344006953
2018,algeria,DZA,0.08522832344006953
2019,algeria,DZA,0.08522832344006953
2020,algeria,DZA,0.08522832344006953
2021,algeria,DZA,0.08522832344006953
2022,algeria,DZA,0.08522832344006953
2023,algeria,DZA,0.08522832344006953
2024,algeria,DZA,0.08522832344006953
2025,algeria,DZA,0.08522832344006953
2026,algeria,DZA,0.08522832344006953
2027,algeria,DZA,0.08522832344006953
2028,algeria,DZA,0.08522832344006953
2029,algeria,DZA,0.08522832344006953
2030,algeria,DZA,0.08522832344006953
2031,algeria,DZA,0.08522832344006953
2032,algeria,DZA,0.08522832344006953
2033,algeria,DZA,0.08522832344006953
2034,algeria,DZA,0.08522832344006953
2035,algeria,DZA,0.08522832344006953
2036,algeria,DZA,0.08522832344006953
2037,algeria,DZA,0.08522832344006953
2038,algeria,DZA,0.08522832344006953
2039,algeria,DZA,0.08522832344006953
2040,algeria,DZA,0.08522832344006953
2041,algeria,DZA,0.08522832344006953
2042,algeria,DZA,0.08522832344006953
2043,algeria,DZA,0.08522832344006953
2044,algeria,DZA,0.08522832344006953
2045,algeria,DZA,0.08522832344006953
2046,algeria,DZA,0.08522832344006953
2047,algeria,DZA,0.08522832344006953
2048,algeria,DZA,0.08522832344006953
2049,algeria,DZA,0.08522832344006953
2050,algeria,DZA,0.08522832344006953
2017,angola,AGO,0.4617766489183879
2018,angola,AGO,0.4617766489183879
2019,angola,AGO,0.4617766489183879
