"Value","LOCATION","TIME","INDICATOR","SUBJECT","MEASURE","FREQUENCY"
56821.3467006342,"ABW",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
56882.4077517319,"ABW",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55730.4826684349,"COM",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55727.7150439677,"COM",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55722.0341315302,"COM",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55715.9276791772,"COM",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55709.3731742422,"COM",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55702.3207153718,"COM",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55694.7673096781,"COM",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55675.8931891377,"COM",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
56994.5481085857,"ABW",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
52573.7810599912,"AFG",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
52774.2946635287,"AFG",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
52935.6959282986,"AFG",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
53090.7088824738,"AFG",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
53263.1349881962,"AFG",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
52881.7005932039,"AFG",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
52510.4110829227,"AFG",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
52138.5867241051,"AFG",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
51751.2781547818,"AFG",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
51337.2844221189,"AFG",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
50305.9763536246,"AFG",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
67708.5294429726,"AGO",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
69004.5136715996,"AGO",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
70253.8450821134,"AGO",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
71458.4209021516,"AGO",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
72624.3889521157,"AGO",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
70781.7123460062,"AGO",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
68900.5297379596,"AGO",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
66978.9113283845,"AGO",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
65010.3842027016,"AGO",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
62992.886226006,"AGO",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
72877.3062315538,"AGO",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
50,"ALB",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
25,"ALB",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
23,"ALB",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
39.887,"ALB",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
23.124,"ALB",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8.8,"ALB",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
25.3,"ALB",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
20.4,"ALB",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
43,"ALB",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
26.039,"ALB",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
25.1151187,"ALB",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
62381.7911513119,"CYP",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
62532.051066054,"CYP",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
62682.454993735,"CYP",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
62832.0936911529,"CYP",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
63060.9478195245,"CYP",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
63288.9961932657,"CYP",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
63516.5241894108,"CYP",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
63743.9185179343,"CYP",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
63971.5008346371,"CYP",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
64142.9415006724,"CYP",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
113317,"DEU",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
12198,"ARG",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10583,"ARG",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
9746,"ARG",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8893,"ARG",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8274,"ARG",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8529,"ARG",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8377,"ARG",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
164443.946799331,"ARG",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
160643.432359357,"ARG",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
156852.60038376,"ARG",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
161433.446326706,"ARG",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
816,"ARM",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
867,"ARM",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
851,"ARM",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
786,"ARM",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
640,"ARM",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
658,"ARM",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
690,"ARM",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
58264.9509841014,"ARM",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
58468.3593394521,"ARM",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
58670.9720512073,"ARM",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
58865.3029271204,"ARM",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
2278,"DNK",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
2448,"DNK",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
21519,"JPN",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
21265,"JPN",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
21663,"JPN",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
19369,"JPN",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
19993,"JPN",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
18340,"JPN",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55660.4068573432,"TCD",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
219739.8,"KAZ",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
68719.8289537858,"DOM",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
69808.8184709513,"DOM",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
70899.3710307736,"DOM",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
71991.2577958846,"DOM",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
73084.6394248647,"DOM",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
74243.0761314233,"DOM",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
75404.5475789595,"DOM",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
76573.3401934954,"DOM",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
77750.9921192093,"DOM",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
78938.676073794,"DOM",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
79969.3693981449,"DOM",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
83816.8934532948,"DZA",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
7845,"AZE",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8212,"AZE",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
7958,"AZE",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
7371,"AZE",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
6210,"AZE",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
5192,"AZE",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4633,"AZE",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4492,"AZE",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
5152,"AZE",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4861,"AZE",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
5316,"AZE",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55049.7862716979,"BDI",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
55004.0397323137,"BDI",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54952.0934473846,"BDI",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54893.5804358132,"BDI",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54827.3692816185,"BDI",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54694.3692119138,"BDI",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54553.1251375177,"BDI",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54403.6986260821,"BDI",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54246.4025932239,"BDI",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54081.4214572106,"BDI",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
54237.0575386388,"BDI",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
6698,"BEL",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
148599.539598495,"BEL",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
150967.796008936,"BEL",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
153341.473789415,"BEL",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10644,"ESP",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10507,"ESP",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10792,"ESP",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10459,"ESP",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8969.6,"ESP",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10299,"ESP",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
6271,"EST",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
51819.0424061587,"BEN",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
51707.3299488541,"BEN",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
