,Nation,iso_code3,Year,fuelefficiency_trns_rail_passenger_hydrogen_km_per_litre
0,Aruba,ABW,2023,0.10388064733
1,Aruba,ABW,2024,0.10388064733
2,Aruba,ABW,2025,0.10388064733
3,Aruba,ABW,2026,0.10388064733
4,Aruba,ABW,2027,0.10388064733
5,Aruba,ABW,2028,0.10388064733
6,Aruba,ABW,2029,0.10388064733
7,Aruba,ABW,2030,0.10388064733
8,Aruba,ABW,2031,0.10388064733
9,Aruba,ABW,2032,0.10388064733
10,Aruba,ABW,2033,0.10388064733
11,Aruba,ABW,2034,0.10388064733
12,Aruba,ABW,2035,0.10388064733
13,Aruba,ABW,2036,0.10388064733
14,Aruba,ABW,2037,0.10388064733
15,Aruba,ABW,2038,0.10388064733
16,Aruba,ABW,2039,0.10388064733
17,Aruba,ABW,2040,0.10388064733
18,Aruba,ABW,2041,0.10388064733
19,Aruba,ABW,2042,0.10388064733
20,Aruba,ABW,2043,0.10388064733
21,Aruba,ABW,2044,0.10388064733
22,Aruba,ABW,2045,0.10388064733
23,Aruba,ABW,2046,0.10388064733
24,Aruba,ABW,2047,0.10388064733
25,Aruba,ABW,2048,0.10388064733
26,Aruba,ABW,2049,0.10388064733
27,Aruba,ABW,2050,0.10388064733
28,Africa Eastern and Southern,AFE,2023,0.10388064733
29,Africa Eastern and Southern,AFE,2024,0.10388064733
30,Africa Eastern and Southern,AFE,2025,0.10388064733
31,Africa Eastern and Southern,AFE,2026,0.10388064733
32,Africa Eastern and Southern,AFE,2027,0.10388064733
33,Africa Eastern and Southern,AFE,2028,0.10388064733
34,Africa Eastern and Southern,AFE,2029,0.10388064733
35,Africa Eastern and Southern,AFE,2030,0.10388064733
36,Africa Eastern and Southern,AFE,2031,0.10388064733
37,Africa Eastern and Southern,AFE,2032,0.10388064733
38,Africa Eastern and Southern,AFE,2033,0.10388064733
39,Africa Eastern and Southern,AFE,2034,0.10388064733
40,Africa Eastern and Southern,AFE,2035,0.10388064733
41,Africa Eastern and Southern,AFE,2036,0.10388064733
42,Africa Eastern and Southern,AFE,2037,0.10388064733
43,Africa Eastern and Southern,AFE,2038,0.10388064733
44,Africa Eastern and Southern,AFE,2039,0.10388064733
45,Africa Eastern and Southern,AFE,2040,0.10388064733
46,Africa Eastern and Southern,AFE,2041,0.10388064733
47,Africa Eastern and Southern,AFE,2042,0.10388064733
48,Africa Eastern and Southern,AFE,2043,0.10388064733
49,Africa Eastern and Southern,AFE,2044,0.10388064733
50,Africa Eastern and Southern,AFE,2045,0.10388064733
51,Africa Eastern and Southern,AFE,2046,0.10388064733
52,Africa Eastern and Southern,AFE,2047,0.10388064733
53,Africa Eastern and Southern,AFE,2048,0.10388064733
54,Africa Eastern and Southern,AFE,2049,0.10388064733
55,Africa Eastern and Southern,AFE,2050,0.10388064733
56,Afghanistan,AFG,2023,0.10388064733
57,Afghanistan,AFG,2024,0.10388064733
58,Afghanistan,AFG,2025,0.10388064733
59,Afghanistan,AFG,2026,0.10388064733
60,Afghanistan,AFG,2027,0.10388064733
61,Afghanistan,AFG,2028,0.10388064733
62,Afghanistan,AFG,2029,0.10388064733
63,Afghanistan,AFG,2030,0.10388064733
64,Afghanistan,AFG,2031,0.10388064733
65,Afghanistan,AFG,2032,0.10388064733
66,Afghanistan,AFG,2033,0.10388064733
67,Afghanistan,AFG,2034,0.10388064733
68,Afghanistan,AFG,2035,0.10388064733
69,Afghanistan,AFG,2036,0.10388064733
70,Afghanistan,AFG,2037,0.10388064733
71,Afghanistan,AFG,2038,0.10388064733
72,Afghanistan,AFG,2039,0.10388064733
73,Afghanistan,AFG,2040,0.10388064733
74,Afghanistan,AFG,2041,0.10388064733
75,Afghanistan,AFG,2042,0.10388064733
76,Afghanistan,AFG,2043,0.10388064733
77,Afghanistan,AFG,2044,0.10388064733
78,Afghanistan,AFG,2045,0.10388064733
79,Afghanistan,AFG,2046,0.10388064733
80,Afghanistan,AFG,2047,0.10388064733
81,Afghanistan,AFG,2048,0.10388064733
82,Afghanistan,AFG,2049,0.10388064733
83,Afghanistan,AFG,2050,0.10388064733
84,Africa Western and Central,AFW,2023,0.10388064733
85,Africa Western and Central,AFW,2024,0.10388064733
86,Africa Western and Central,AFW,2025,0.10388064733
87,Africa Western and Central,AFW,2026,0.10388064733
88,Africa Western and Central,AFW,2027,0.10388064733
89,Africa Western and Central,AFW,2028,0.10388064733
90,Africa Western and Central,AFW,2029,0.10388064733
91,Africa Western and Central,AFW,2030,0.10388064733
92,Africa Western and Central,AFW,2031,0.10388064733
93,Africa Western and Central,AFW,2032,0.10388064733
94,Africa Western and Central,AFW,2033,0.10388064733
95,Africa Western and Central,AFW,2034,0.10388064733
96,Africa Western and Central,AFW,2035,0.10388064733
97,Africa Western and Central,AFW,2036,0.10388064733
98,Africa Western and Central,AFW,2037,0.10388064733
99,Africa Western and Central,AFW,2038,0.10388064733
100,Africa Western and Central,AFW,2039,0.10388064733
101,Africa Western and Central,AFW,2040,0.10388064733
102,Africa Western and Central,AFW,2041,0.10388064733
103,Africa Western and Central,AFW,2042,0.10388064733
104,Africa Western and Central,AFW,2043,0.10388064733
105,Africa Western and Central,AFW,2044,0.10388064733
106,Africa Western and Central,AFW,2045,0.10388064733
107,Africa Western and Central,AFW,2046,0.10388064733
108,Africa Western and Central,AFW,2047,0.10388064733
109,Africa Western and Central,AFW,2048,0.10388064733
110,Africa Western and Central,AFW,2049,0.10388064733
111,Africa Western and Central,AFW,2050,0.10388064733
112,Angola,AGO,2023,0.10388064733
113,Angola,AGO,2024,0.10388064733
114,Angola,AGO,2025,0.10388064733
115,Angola,AGO,2026,0.10388064733
116,Angola,AGO,2027,0.10388064733
117,Angola,AGO,2028,0.10388064733
118,Angola,AGO,2029,0.10388064733
119,Angola,AGO,2030,0.10388064733
