Year,cost_enfu_fuel_coal_usd_per_m3,iso_code3,Nation
2022,174.9001499,ABW,Aruba
2023,174.9001499,ABW,Aruba
2024,174.9001499,ABW,Aruba
2025,174.9001499,ABW,Aruba
2026,174.9001499,ABW,Aruba
2027,174.9001499,ABW,Aruba
2028,174.9001499,ABW,Aruba
2029,174.9001499,ABW,Aruba
2030,174.9001499,ABW,Aruba
2031,174.9001499,ABW,Aruba
2032,174.9001499,ABW,Aruba
2033,174.9001499,ABW,Aruba
2034,174.9001499,ABW,Aruba
2035,174.9001499,ABW,Aruba
2036,174.9001499,ABW,Aruba
2037,174.9001499,ABW,Aruba
2038,174.9001499,ABW,Aruba
2039,174.9001499,ABW,Aruba
2040,174.9001499,ABW,Aruba
2041,174.9001499,ABW,Aruba
2042,174.9001499,ABW,Aruba
2043,174.9001499,ABW,Aruba
2044,174.9001499,ABW,Aruba
2045,174.9001499,ABW,Aruba
2046,174.9001499,ABW,Aruba
2047,174.9001499,ABW,Aruba
2048,174.9001499,ABW,Aruba
2049,174.9001499,ABW,Aruba
2050,174.9001499,ABW,Aruba
2022,174.9001499,AFE,Africa Eastern and Southern
2023,174.9001499,AFE,Africa Eastern and Southern
2024,174.9001499,AFE,Africa Eastern and Southern
2025,174.9001499,AFE,Africa Eastern and Southern
2026,174.9001499,AFE,Africa Eastern and Southern
2027,174.9001499,AFE,Africa Eastern and Southern
2028,174.9001499,AFE,Africa Eastern and Southern
2029,174.9001499,AFE,Africa Eastern and Southern
2030,174.9001499,AFE,Africa Eastern and Southern
2031,174.9001499,AFE,Africa Eastern and Southern
2032,174.9001499,AFE,Africa Eastern and Southern
2033,174.9001499,AFE,Africa Eastern and Southern
2034,174.9001499,AFE,Africa Eastern and Southern
2035,174.9001499,AFE,Africa Eastern and Southern
2036,174.9001499,AFE,Africa Eastern and Southern
2037,174.9001499,AFE,Africa Eastern and Southern
2038,174.9001499,AFE,Africa Eastern and Southern
2039,174.9001499,AFE,Africa Eastern and Southern
2040,174.9001499,AFE,Africa Eastern and Southern
2041,174.9001499,AFE,Africa Eastern and Southern
2042,174.9001499,AFE,Africa Eastern and Southern
2043,174.9001499,AFE,Africa Eastern and Southern
2044,174.9001499,AFE,Africa Eastern and Southern
2045,174.9001499,AFE,Africa Eastern and Southern
2046,174.9001499,AFE,Africa Eastern and Southern
2047,174.9001499,AFE,Africa Eastern and Southern
2048,174.9001499,AFE,Africa Eastern and Southern
2049,174.9001499,AFE,Africa Eastern and Southern
2050,174.9001499,AFE,Africa Eastern and Southern
2022,174.9001499,AFG,Afghanistan
2023,174.9001499,AFG,Afghanistan
2024,174.9001499,AFG,Afghanistan
2025,174.9001499,AFG,Afghanistan
2026,174.9001499,AFG,Afghanistan
2027,174.9001499,AFG,Afghanistan
2028,174.9001499,AFG,Afghanistan
2029,174.9001499,AFG,Afghanistan
2030,174.9001499,AFG,Afghanistan
2031,174.9001499,AFG,Afghanistan
2032,174.9001499,AFG,Afghanistan
2033,174.9001499,AFG,Afghanistan
2034,174.9001499,AFG,Afghanistan
2035,174.9001499,AFG,Afghanistan
2036,174.9001499,AFG,Afghanistan
2037,174.9001499,AFG,Afghanistan
2038,174.9001499,AFG,Afghanistan
2039,174.9001499,AFG,Afghanistan
2040,174.9001499,AFG,Afghanistan
2041,174.9001499,AFG,Afghanistan
2042,174.9001499,AFG,Afghanistan
2043,174.9001499,AFG,Afghanistan
2044,174.9001499,AFG,Afghanistan
2045,174.9001499,AFG,Afghanistan
2046,174.9001499,AFG,Afghanistan
2047,174.9001499,AFG,Afghanistan
2048,174.9001499,AFG,Afghanistan
2049,174.9001499,AFG,Afghanistan
2050,174.9001499,AFG,Afghanistan
2022,174.9001499,AFW,Africa Western and Central
2023,174.9001499,AFW,Africa Western and Central
2024,174.9001499,AFW,Africa Western and Central
2025,174.9001499,AFW,Africa Western and Central
2026,174.9001499,AFW,Africa Western and Central
2027,174.9001499,AFW,Africa Western and Central
2028,174.9001499,AFW,Africa Western and Central
2029,174.9001499,AFW,Africa Western and Central
2030,174.9001499,AFW,Africa Western and Central
2031,174.9001499,AFW,Africa Western and Central
2032,174.9001499,AFW,Africa Western and Central
2033,174.9001499,AFW,Africa Western and Central
2034,174.9001499,AFW,Africa Western and Central
2035,174.9001499,AFW,Africa Western and Central
2036,174.9001499,AFW,Africa Western and Central
2037,174.9001499,AFW,Africa Western and Central
2038,174.9001499,AFW,Africa Western and Central
2039,174.9001499,AFW,Africa Western and Central
2040,174.9001499,AFW,Africa Western and Central
2041,174.9001499,AFW,Africa Western and Central
2042,174.9001499,AFW,Africa Western and Central
2043,174.9001499,AFW,Africa Western and Central
2044,174.9001499,AFW,Africa Western and Central
2045,174.9001499,AFW,Africa Western and Central
2046,174.9001499,AFW,Africa Western and Central
2047,174.9001499,AFW,Africa Western and Central
2048,174.9001499,AFW,Africa Western and Central
2049,174.9001499,AFW,Africa Western and Central
2050,174.9001499,AFW,Africa Western and Central
2022,174.9001499,AGO,Angola
2023,174.9001499,AGO,Angola
2024,174.9001499,AGO,Angola
2025,174.9001499,AGO,Angola
2026,174.9001499,AGO,Angola
2027,174.9001499,AGO,Angola
2028,174.9001499,AGO,Angola
2029,174.9001499,AGO,Angola
2030,174.9001499,AGO,Angola
2031,174.9001499,AGO,Angola
2032,174.9001499,AGO,Angola
2033,174.9001499,AGO,Angola
2034,174.9001499,AGO,Angola
2035,174.9001499,AGO,Angola
2036,174.9001499,AGO,Angola
2037,174.9001499,AGO,Angola
2038,174.9001499,AGO,Angola
2039,174.9001499,AGO,Angola
2040,174.9001499,AGO,Angola
2041,174.9001499,AGO,Angola
2042,174.9001499,AGO,Angola
2043,174.9001499,AGO,Angola
2044,174.9001499,AGO,Angola
2045,174.9001499,AGO,Angola
2046,174.9001499,AGO,Angola
2047,174.9001499,AGO,Angola
2048,174.9001499,AGO,Angola
2049,174.9001499,AGO,Angola
2050,174.9001499,AGO,Angola
2022,174.9001499,ALB,Albania
2023,174.9001499,ALB,Albania
2024,174.9001499,ALB,Albania
2025,174.9001499,ALB,Albania
2026,174.9001499,ALB,Albania
2027,174.9001499,ALB,Albania
2028,174.9001499,ALB,Albania
2029,174.9001499,ALB,Albania
2030,174.9001499,ALB,Albania
2031,174.9001499,ALB,Albania
2032,174.9001499,ALB,Albania
2033,174.9001499,ALB,Albania
2034,174.9001499,ALB,Albania
2035,174.9001499,ALB,Albania
2036,174.9001499,ALB,Albania
2037,174.9001499,ALB,Albania
2038,174.9001499,ALB,Albania
2039,174.9001499,ALB,Albania
2040,174.9001499,ALB,Albania
2041,174.9001499,ALB,Albania
2042,174.9001499,ALB,Albania
2043,174.9001499,ALB,Albania
2044,174.9001499,ALB,Albania
2045,174.9001499,ALB,Albania
2046,174.9001499,ALB,Albania
2047,174.9001499,ALB,Albania
2048,174.9001499,ALB,Albania
2049,174.9001499,ALB,Albania
2050,174.9001499,ALB,Albania
2022,174.9001499,AND,Andorra
2023,174.9001499,AND,Andorra
2024,174.9001499,AND,Andorra
2025,174.9001499,AND,Andorra
2026,174.9001499,AND,Andorra
2027,174.9001499,AND,Andorra
2028,174.9001499,AND,Andorra
2029,174.9001499,AND,Andorra
2030,174.9001499,AND,Andorra
