,Nation,iso_code3,Year,deminit_trde_regional_per_capita_passenger_km
0,Aruba,ABW,2017,4962.332522767368
1,Aruba,ABW,2018,4962.332522767368
2,Aruba,ABW,2019,4962.332522767368
3,Aruba,ABW,2020,4962.332522767368
4,Aruba,ABW,2021,4962.332522767368
5,Aruba,ABW,2022,4962.332522767368
6,Aruba,ABW,2023,4962.332522767368
7,Aruba,ABW,2024,4962.332522767368
8,Aruba,ABW,2025,4962.332522767368
9,Aruba,ABW,2026,4962.332522767368
10,Aruba,ABW,2027,4962.332522767368
11,Aruba,ABW,2028,4962.332522767368
12,Aruba,ABW,2029,4962.332522767368
13,Aruba,ABW,2030,4962.332522767368
14,Aruba,ABW,2031,4962.332522767368
15,Aruba,ABW,2032,4962.332522767368
16,Aruba,ABW,2033,4962.332522767368
17,Aruba,ABW,2034,4962.332522767368
18,Aruba,ABW,2035,4962.332522767368
19,Aruba,ABW,2036,4962.332522767368
20,Aruba,ABW,2037,4962.332522767368
21,Aruba,ABW,2038,4962.332522767368
22,Aruba,ABW,2039,4962.332522767368
23,Aruba,ABW,2040,4962.332522767368
24,Aruba,ABW,2041,4962.332522767368
25,Aruba,ABW,2042,4962.332522767368
26,Aruba,ABW,2043,4962.332522767368
27,Aruba,ABW,2044,4962.332522767368
28,Aruba,ABW,2045,4962.332522767368
29,Aruba,ABW,2046,4962.332522767368
30,Aruba,ABW,2047,4962.332522767368
31,Aruba,ABW,2048,4962.332522767368
32,Aruba,ABW,2049,4962.332522767368
33,Aruba,ABW,2050,4962.332522767368
34,Africa Eastern and Southern,AFE,2017,0.8531032151394944
35,Africa Eastern and Southern,AFE,2018,0.8531032151394944
36,Africa Eastern and Southern,AFE,2019,0.8531032151394944
37,Africa Eastern and Southern,AFE,2020,0.8531032151394944
38,Africa Eastern and Southern,AFE,2021,0.8531032151394944
39,Africa Eastern and Southern,AFE,2022,0.8531032151394944
40,Africa Eastern and Southern,AFE,2023,0.8531032151394944
41,Africa Eastern and Southern,AFE,2024,0.8531032151394944
42,Africa Eastern and Southern,AFE,2025,0.8531032151394944
43,Africa Eastern and Southern,AFE,2026,0.8531032151394944
44,Africa Eastern and Southern,AFE,2027,0.8531032151394944
