iso_code3,Nation,Year,yf_agrc_pulses_tonne_ha
ARE,United Arab Emirates,2040,295524.0
ARE,United Arab Emirates,2041,295524.0
ARE,United Arab Emirates,2042,295524.0
ARE,United Arab Emirates,2043,295524.0
ARE,United Arab Emirates,2044,295524.0
ARE,United Arab Emirates,2045,295524.0
ARE,United Arab Emirates,2046,295524.0
ARE,United Arab Emirates,2047,295524.0
ARE,United Arab Emirates,2048,295524.0
ARE,United Arab Emirates,2049,295524.0
ARE,United Arab Emirates,2050,295524.0
ARG,Argentina,2020,26701.375
ARG,Argentina,2021,26701.375
ARG,Argentina,2022,26701.375
ARG,Argentina,2023,26701.375
ARG,Argentina,2024,26701.375
ARG,Argentina,2025,26701.375
ARG,Argentina,2026,26701.375
ARG,Argentina,2027,26701.375
ARG,Argentina,2028,26701.375
ARG,Argentina,2029,26701.375
ARG,Argentina,2030,26701.375
ARG,Argentina,2031,26701.375
ARG,Argentina,2032,26701.375
ARG,Argentina,2033,26701.375
ARG,Argentina,2034,26701.375
ARG,Argentina,2035,26701.375
ARG,Argentina,2036,26701.375
ARG,Argentina,2037,26701.375
ARG,Argentina,2038,26701.375
ARG,Argentina,2039,26701.375
ARG,Argentina,2040,26701.375
ARG,Argentina,2041,26701.375
ARG,Argentina,2042,26701.375
ARG,Argentina,2043,26701.375
ARG,Argentina,2044,26701.375
ARG,Argentina,2045,26701.375
ARG,Argentina,2046,26701.375
ARG,Argentina,2047,26701.375
ARG,Argentina,2048,26701.375
ARG,Argentina,2049,26701.375
ARG,Argentina,2050,26701.375
ARM,Armenia,2020,24389.0
ARM,Armenia,2021,24389.0
ARM,Armenia,2022,24389.0
ARM,Armenia,2023,24389.0
ARM,Armenia,2024,24389.0
ARM,Armenia,2025,24389.0
ARM,Armenia,2026,24389.0
ARM,Armenia,2027,24389.0
ARM,Armenia,2028,24389.0
ARM,Armenia,2029,24389.0
ARM,Armenia,2030,24389.0
ARM,Armenia,2031,24389.0
ARM,Armenia,2032,24389.0
ARM,Armenia,2033,24389.0
ARM,Armenia,2034,24389.0
ARM,Armenia,2035,24389.0
ARM,Armenia,2036,24389.0
ARM,Armenia,2037,24389.0
ARM,Armenia,2038,24389.0
ARM,Armenia,2039,24389.0
ARM,Armenia,2040,24389.0
ARM,Armenia,2041,24389.0
ARM,Armenia,2042,24389.0
ARM,Armenia,2043,24389.0
ARM,Armenia,2044,24389.0
ARM,Armenia,2045,24389.0
ARM,Armenia,2046,24389.0
ARM,Armenia,2047,24389.0
ARM,Armenia,2048,24389.0
ARM,Armenia,2049,24389.0
ARM,Armenia,2050,24389.0
ATG,Antigua and Barbuda,2020,40000.0
ATG,Antigua and Barbuda,2021,40000.0
ATG,Antigua and Barbuda,2022,40000.0
ATG,Antigua and Barbuda,2023,40000.0
ATG,Antigua and Barbuda,2024,40000.0
ATG,Antigua and Barbuda,2025,40000.0
ATG,Antigua and Barbuda,2026,40000.0
ATG,Antigua and Barbuda,2027,40000.0
ATG,Antigua and Barbuda,2028,40000.0
ATG,Antigua and Barbuda,2029,40000.0
ATG,Antigua and Barbuda,2030,40000.0
ATG,Antigua and Barbuda,2031,40000.0
ATG,Antigua and Barbuda,2032,40000.0
ATG,Antigua and Barbuda,2033,40000.0
ATG,Antigua and Barbuda,2034,40000.0
ATG,Antigua and Barbuda,2035,40000.0
ATG,Antigua and Barbuda,2036,40000.0
ATG,Antigua and Barbuda,2037,40000.0
ATG,Antigua and Barbuda,2038,40000.0
ATG,Antigua and Barbuda,2039,40000.0
ATG,Antigua and Barbuda,2040,40000.0
ATG,Antigua and Barbuda,2041,40000.0
ATG,Antigua and Barbuda,2042,40000.0
ATG,Antigua and Barbuda,2043,40000.0
ATG,Antigua and Barbuda,2044,40000.0
ATG,Antigua and Barbuda,2045,40000.0
ATG,Antigua and Barbuda,2046,40000.0
ATG,Antigua and Barbuda,2047,40000.0
ATG,Antigua and Barbuda,2048,40000.0
ATG,Antigua and Barbuda,2049,40000.0
ATG,Antigua and Barbuda,2050,40000.0
AUS,Australia,2020,17014.222222222223
AUS,Australia,2021,17014.222222222223
AUS,Australia,2022,17014.222222222223
AUS,Australia,2023,17014.222222222223
AUS,Australia,2024,17014.222222222223
AUS,Australia,2025,17014.222222222223
AUS,Australia,2026,17014.222222222223
AUS,Australia,2027,17014.222222222223
AUS,Australia,2028,17014.222222222223
AUS,Australia,2029,17014.222222222223
AUS,Australia,2030,17014.222222222223
AUS,Australia,2031,17014.222222222223
AUS,Australia,2032,17014.222222222223
AUS,Australia,2033,17014.222222222223
AUS,Australia,2034,17014.222222222223
AUS,Australia,2035,17014.222222222223
AUS,Australia,2036,17014.222222222223
AUS,Australia,2037,17014.222222222223
AUS,Australia,2038,17014.222222222223
AUS,Australia,2039,17014.222222222223
AUS,Australia,2040,17014.222222222223
AUS,Australia,2041,17014.222222222223
AUS,Australia,2042,17014.222222222223
AUS,Australia,2043,17014.222222222223
AUS,Australia,2044,17014.222222222223
AUS,Australia,2045,17014.222222222223
AUS,Australia,2046,17014.222222222223
AUS,Australia,2047,17014.222222222223
AUS,Australia,2048,17014.222222222223
AUS,Australia,2049,17014.222222222223
AUS,Australia,2050,17014.222222222223
AUT,Austria,2020,32719.0
AUT,Austria,2021,32719.0
AUT,Austria,2022,32719.0
AUT,Austria,2023,32719.0
AUT,Austria,2024,32719.0
AUT,Austria,2025,32719.0
AUT,Austria,2026,32719.0
AUT,Austria,2027,32719.0
AUT,Austria,2028,32719.0
AUT,Austria,2029,32719.0
AUT,Austria,2030,32719.0
AUT,Austria,2031,32719.0
AUT,Austria,2032,32719.0
AUT,Austria,2033,32719.0
AUT,Austria,2034,32719.0
AUT,Austria,2035,32719.0
AUT,Austria,2036,32719.0
AUT,Austria,2037,32719.0
AUT,Austria,2038,32719.0
AUT,Austria,2039,32719.0
AUT,Austria,2040,32719.0
AUT,Austria,2041,32719.0
AUT,Austria,2042,32719.0
AUT,Austria,2043,32719.0
AUT,Austria,2044,32719.0
AUT,Austria,2045,32719.0
AUT,Austria,2046,32719.0
AUT,Austria,2047,32719.0
AUT,Austria,2048,32719.0
AUT,Austria,2049,32719.0
AUT,Austria,2050,32719.0
AZE,Azerbaijan,2020,26115.333333333332
AZE,Azerbaijan,2021,26115.333333333332
AZE,Azerbaijan,2022,26115.333333333332
AZE,Azerbaijan,2023,26115.333333333332
AZE,Azerbaijan,2024,26115.333333333332
AZE,Azerbaijan,2025,26115.333333333332
AZE,Azerbaijan,2026,26115.333333333332
AZE,Azerbaijan,2027,26115.333333333332
AZE,Azerbaijan,2028,26115.333333333332
AZE,Azerbaijan,2029,26115.333333333332
AZE,Azerbaijan,2030,26115.333333333332
AZE,Azerbaijan,2031,26115.333333333332
AZE,Azerbaijan,2032,26115.333333333332
AZE,Azerbaijan,2033,26115.333333333332
AZE,Azerbaijan,2034,26115.333333333332
AZE,Azerbaijan,2035,26115.333333333332
AZE,Azerbaijan,2036,26115.333333333332
AZE,Azerbaijan,2037,26115.333333333332
AZE,Azerbaijan,2038,26115.333333333332
AZE,Azerbaijan,2039,26115.333333333332
AZE,Azerbaijan,2040,26115.333333333332
AZE,Azerbaijan,2041,26115.333333333332
AZE,Azerbaijan,2042,26115.333333333332
AZE,Azerbaijan,2043,26115.333333333332
AZE,Azerbaijan,2044,26115.333333333332
AZE,Azerbaijan,2045,26115.333333333332
AZE,Azerbaijan,2046,26115.333333333332
AZE,Azerbaijan,2047,26115.333333333332
AZE,Azerbaijan,2048,26115.333333333332
AZE,Azerbaijan,2049,26115.333333333332
AZE,Azerbaijan,2050,26115.333333333332
BDI,Burundi,2020,19509.666666666668
BDI,Burundi,2021,19509.666666666668
BDI,Burundi,2022,19509.666666666668
BDI,Burundi,2023,19509.666666666668
BDI,Burundi,2024,19509.666666666668
BDI,Burundi,2025,19509.666666666668
BDI,Burundi,2026,19509.666666666668
BDI,Burundi,2027,19509.666666666668
BDI,Burundi,2028,19509.666666666668
BDI,Burundi,2029,19509.666666666668
BDI,Burundi,2030,19509.666666666668
BDI,Burundi,2031,19509.666666666668
BDI,Burundi,2032,19509.666666666668
BDI,Burundi,2033,19509.666666666668
BDI,Burundi,2034,19509.666666666668
BDI,Burundi,2035,19509.666666666668
BDI,Burundi,2036,19509.666666666668
BDI,Burundi,2037,19509.666666666668
BDI,Burundi,2038,19509.666666666668
BDI,Burundi,2039,19509.666666666668
BDI,Burundi,2040,19509.666666666668
BDI,Burundi,2041,19509.666666666668
BDI,Burundi,2042,19509.666666666668
BDI,Burundi,2043,19509.666666666668
BDI,Burundi,2044,19509.666666666668
BDI,Burundi,2045,19509.666666666668
BDI,Burundi,2046,19509.666666666668
BDI,Burundi,2047,19509.666666666668
BDI,Burundi,2048,19509.666666666668
BDI,Burundi,2049,19509.666666666668
BDI,Burundi,2050,19509.666666666668
BEL,Belgium,2020,61381.6
BEL,Belgium,2021,61381.6
BEL,Belgium,2022,61381.6
BEL,Belgium,2023,61381.6
BEL,Belgium,2024,61381.6
BEL,Belgium,2025,61381.6
BEL,Belgium,2026,61381.6
BEL,Belgium,2027,61381.6
BEL,Belgium,2028,61381.6
BEL,Belgium,2029,61381.6
BEL,Belgium,2030,61381.6
BEL,Belgium,2031,61381.6
BEL,Belgium,2032,61381.6
BEL,Belgium,2033,61381.6
BEL,Belgium,2034,61381.6
BEL,Belgium,2035,61381.6
BEL,Belgium,2036,61381.6
BEL,Belgium,2037,61381.6
BEL,Belgium,2038,61381.6
BEL,Belgium,2039,61381.6
BEL,Belgium,2040,61381.6
BEL,Belgium,2041,61381.6
BEL,Belgium,2042,61381.6
BEL,Belgium,2043,61381.6
BEL,Belgium,2044,61381.6
BEL,Belgium,2045,61381.6
BEL,Belgium,2046,61381.6
BEL,Belgium,2047,61381.6
BEL,Belgium,2048,61381.6
BEL,Belgium,2049,61381.6
BEL,Belgium,2050,61381.6
BEN,Benin,2020,10683.0
BEN,Benin,2021,10683.0
BEN,Benin,2022,10683.0
BEN,Benin,2023,10683.0
BEN,Benin,2024,10683.0
BEN,Benin,2025,10683.0
BEN,Benin,2026,10683.0
BEN,Benin,2027,10683.0
BEN,Benin,2028,10683.0
BEN,Benin,2029,10683.0
BEN,Benin,2030,10683.0
BEN,Benin,2031,10683.0
BEN,Benin,2032,10683.0
BEN,Benin,2033,10683.0
BEN,Benin,2034,10683.0
BEN,Benin,2035,10683.0
BEN,Benin,2036,10683.0
BEN,Benin,2037,10683.0
BEN,Benin,2038,10683.0
BEN,Benin,2039,10683.0
BEN,Benin,2040,10683.0
BEN,Benin,2041,10683.0
BEN,Benin,2042,10683.0
BEN,Benin,2043,10683.0
BEN,Benin,2044,10683.0
BEN,Benin,2045,10683.0
BEN,Benin,2046,10683.0
BEN,Benin,2047,10683.0
BEN,Benin,2048,10683.0
BEN,Benin,2049,10683.0
BEN,Benin,2050,10683.0
BFA,Burkina Faso,2020,39971.5
BFA,Burkina Faso,2021,39971.5
BFA,Burkina Faso,2022,39971.5
BFA,Burkina Faso,2023,39971.5
BFA,Burkina Faso,2024,39971.5
BFA,Burkina Faso,2025,39971.5
BFA,Burkina Faso,2026,39971.5
BFA,Burkina Faso,2027,39971.5
BFA,Burkina Faso,2028,39971.5
BFA,Burkina Faso,2029,39971.5
BFA,Burkina Faso,2030,39971.5
BFA,Burkina Faso,2031,39971.5
BFA,Burkina Faso,2032,39971.5
BFA,Burkina Faso,2033,39971.5
BFA,Burkina Faso,2034,39971.5
BFA,Burkina Faso,2035,39971.5
BFA,Burkina Faso,2036,39971.5
BFA,Burkina Faso,2037,39971.5
BFA,Burkina Faso,2038,39971.5
BFA,Burkina Faso,2039,39971.5
BFA,Burkina Faso,2040,39971.5
BFA,Burkina Faso,2041,39971.5
BFA,Burkina Faso,2042,39971.5
BFA,Burkina Faso,2043,39971.5
BFA,Burkina Faso,2044,39971.5
BFA,Burkina Faso,2045,39971.5
BFA,Burkina Faso,2046,39971.5
BFA,Burkina Faso,2047,39971.5
BFA,Burkina Faso,2048,39971.5
BFA,Burkina Faso,2049,39971.5
BFA,Burkina Faso,2050,39971.5
BGD,Bangladesh,2020,19027.285714285714
BGD,Bangladesh,2021,19027.285714285714
BGD,Bangladesh,2022,19027.285714285714
BGD,Bangladesh,2023,19027.285714285714
BGD,Bangladesh,2024,19027.285714285714
BGD,Bangladesh,2025,19027.285714285714
BGD,Bangladesh,2026,19027.285714285714
BGD,Bangladesh,2027,19027.285714285714
BGD,Bangladesh,2028,19027.285714285714
BGD,Bangladesh,2029,19027.285714285714
BGD,Bangladesh,2030,19027.285714285714
BGD,Bangladesh,2031,19027.285714285714
BGD,Bangladesh,2032,19027.285714285714
BGD,Bangladesh,2033,19027.285714285714
BGD,Bangladesh,2034,19027.285714285714
BGD,Bangladesh,2035,19027.285714285714
BGD,Bangladesh,2036,19027.285714285714
BGD,Bangladesh,2037,19027.285714285714
BGD,Bangladesh,2038,19027.285714285714
BGD,Bangladesh,2039,19027.285714285714
BGD,Bangladesh,2040,19027.285714285714
BGD,Bangladesh,2041,19027.285714285714
BGD,Bangladesh,2042,19027.285714285714
BGD,Bangladesh,2043,19027.285714285714
BGD,Bangladesh,2044,19027.285714285714
BGD,Bangladesh,2045,19027.285714285714
BGD,Bangladesh,2046,19027.285714285714
BGD,Bangladesh,2047,19027.285714285714
BGD,Bangladesh,2048,19027.285714285714
BGD,Bangladesh,2049,19027.285714285714
BGD,Bangladesh,2050,19027.285714285714
BGR,Bulgaria,2020,30139.8
BGR,Bulgaria,2021,30139.8
BGR,Bulgaria,2022,30139.8
BGR,Bulgaria,2023,30139.8
BGR,Bulgaria,2024,30139.8
BGR,Bulgaria,2025,30139.8
BGR,Bulgaria,2026,30139.8
BGR,Bulgaria,2027,30139.8
BGR,Bulgaria,2028,30139.8
BGR,Bulgaria,2029,30139.8
BGR,Bulgaria,2030,30139.8
BGR,Bulgaria,2031,30139.8
BGR,Bulgaria,2032,30139.8
BGR,Bulgaria,2033,30139.8
BGR,Bulgaria,2034,30139.8
BGR,Bulgaria,2035,30139.8
BGR,Bulgaria,2036,30139.8
BGR,Bulgaria,2037,30139.8
BGR,Bulgaria,2038,30139.8
BGR,Bulgaria,2039,30139.8
BGR,Bulgaria,2040,30139.8
BGR,Bulgaria,2041,30139.8
BGR,Bulgaria,2042,30139.8
BGR,Bulgaria,2043,30139.8
BGR,Bulgaria,2044,30139.8
BGR,Bulgaria,2045,30139.8
BGR,Bulgaria,2046,30139.8
BGR,Bulgaria,2047,30139.8
BGR,Bulgaria,2048,30139.8
BGR,Bulgaria,2049,30139.8
BGR,Bulgaria,2050,30139.8
BHR,Bahrain,2020,7500.0
BHR,Bahrain,2021,7500.0
BHR,Bahrain,2022,7500.0
BHR,Bahrain,2023,7500.0
BHR,Bahrain,2024,7500.0
BHR,Bahrain,2025,7500.0
BHR,Bahrain,2026,7500.0
BHR,Bahrain,2027,7500.0
BHR,Bahrain,2028,7500.0
BHR,Bahrain,2029,7500.0
BHR,Bahrain,2030,7500.0
BHR,Bahrain,2031,7500.0
BHR,Bahrain,2032,7500.0
BHR,Bahrain,2033,7500.0
BHR,Bahrain,2034,7500.0
BHR,Bahrain,2035,7500.0
BHR,Bahrain,2036,7500.0
BHR,Bahrain,2037,7500.0
BHR,Bahrain,2038,7500.0
BHR,Bahrain,2039,7500.0
BHR,Bahrain,2040,7500.0
BHR,Bahrain,2041,7500.0
BHR,Bahrain,2042,7500.0
BHR,Bahrain,2043,7500.0
BHR,Bahrain,2044,7500.0
BHR,Bahrain,2045,7500.0
BHR,Bahrain,2046,7500.0
BHR,Bahrain,2047,7500.0
BHR,Bahrain,2048,7500.0
BHR,Bahrain,2049,7500.0
BHR,Bahrain,2050,7500.0
BHS,Bahamas,2020,14231.0
BHS,Bahamas,2021,14231.0
BHS,Bahamas,2022,14231.0
BHS,Bahamas,2023,14231.0
BHS,Bahamas,2024,14231.0
BHS,Bahamas,2025,14231.0
BHS,Bahamas,2026,14231.0
BHS,Bahamas,2027,14231.0
BHS,Bahamas,2028,14231.0
BHS,Bahamas,2029,14231.0
BHS,Bahamas,2030,14231.0
BHS,Bahamas,2031,14231.0
BHS,Bahamas,2032,14231.0
BHS,Bahamas,2033,14231.0
BHS,Bahamas,2034,14231.0
BHS,Bahamas,2035,14231.0
BHS,Bahamas,2036,14231.0
BHS,Bahamas,2037,14231.0
BHS,Bahamas,2038,14231.0
BHS,Bahamas,2039,14231.0
BHS,Bahamas,2040,14231.0
BHS,Bahamas,2041,14231.0
BHS,Bahamas,2042,14231.0
BHS,Bahamas,2043,14231.0
BHS,Bahamas,2044,14231.0
BHS,Bahamas,2045,14231.0
BHS,Bahamas,2046,14231.0
BHS,Bahamas,2047,14231.0
BHS,Bahamas,2048,14231.0
BHS,Bahamas,2049,14231.0
BHS,Bahamas,2050,14231.0
BIH,Bosnia and Herzegovina,2020,26696.833333333332
BIH,Bosnia and Herzegovina,2021,26696.833333333332
BIH,Bosnia and Herzegovina,2022,26696.833333333332
BIH,Bosnia and Herzegovina,2023,26696.833333333332
BIH,Bosnia and Herzegovina,2024,26696.833333333332
BIH,Bosnia and Herzegovina,2025,26696.833333333332
BIH,Bosnia and Herzegovina,2026,26696.833333333332
BIH,Bosnia and Herzegovina,2027,26696.833333333332
BIH,Bosnia and Herzegovina,2028,26696.833333333332
BIH,Bosnia and Herzegovina,2029,26696.833333333332
BIH,Bosnia and Herzegovina,2030,26696.833333333332
BIH,Bosnia and Herzegovina,2031,26696.833333333332
BIH,Bosnia and Herzegovina,2032,26696.833333333332
BIH,Bosnia and Herzegovina,2033,26696.833333333332
BIH,Bosnia and Herzegovina,2034,26696.833333333332
BIH,Bosnia and Herzegovina,2035,26696.833333333332
BIH,Bosnia and Herzegovina,2036,26696.833333333332
BIH,Bosnia and Herzegovina,2037,26696.833333333332
BIH,Bosnia and Herzegovina,2038,26696.833333333332
BIH,Bosnia and Herzegovina,2039,26696.833333333332
BIH,Bosnia and Herzegovina,2040,26696.833333333332
BIH,Bosnia and Herzegovina,2041,26696.833333333332
BIH,Bosnia and Herzegovina,2042,26696.833333333332
BIH,Bosnia and Herzegovina,2043,26696.833333333332
BIH,Bosnia and Herzegovina,2044,26696.833333333332
BIH,Bosnia and Herzegovina,2045,26696.833333333332
BIH,Bosnia and Herzegovina,2046,26696.833333333332
BIH,Bosnia and Herzegovina,2047,26696.833333333332
BIH,Bosnia and Herzegovina,2048,26696.833333333332
BIH,Bosnia and Herzegovina,2049,26696.833333333332
BIH,Bosnia and Herzegovina,2050,26696.833333333332
BLR,Belarus,2020,21770.6
BLR,Belarus,2021,21770.6
BLR,Belarus,2022,21770.6
BLR,Belarus,2023,21770.6
BLR,Belarus,2024,21770.6
BLR,Belarus,2025,21770.6
BLR,Belarus,2026,21770.6
BLR,Belarus,2027,21770.6
BLR,Belarus,2028,21770.6
BLR,Belarus,2029,21770.6
BLR,Belarus,2030,21770.6
BLR,Belarus,2031,21770.6
BLR,Belarus,2032,21770.6
BLR,Belarus,2033,21770.6
BLR,Belarus,2034,21770.6
BLR,Belarus,2035,21770.6
BLR,Belarus,2036,21770.6
BLR,Belarus,2037,21770.6
BLR,Belarus,2038,21770.6
BLR,Belarus,2039,21770.6
BLR,Belarus,2040,21770.6
BLR,Belarus,2041,21770.6
BLR,Belarus,2042,21770.6
BLR,Belarus,2043,21770.6
BLR,Belarus,2044,21770.6
BLR,Belarus,2045,21770.6
BLR,Belarus,2046,21770.6
BLR,Belarus,2047,21770.6
BLR,Belarus,2048,21770.6
BLR,Belarus,2049,21770.6
BLR,Belarus,2050,21770.6
BLZ,Belize,2020,17582.0
BLZ,Belize,2021,17582.0
BLZ,Belize,2022,17582.0
BLZ,Belize,2023,17582.0
BLZ,Belize,2024,17582.0
BLZ,Belize,2025,17582.0
BLZ,Belize,2026,17582.0
BLZ,Belize,2027,17582.0
BLZ,Belize,2028,17582.0
BLZ,Belize,2029,17582.0
BLZ,Belize,2030,17582.0
BLZ,Belize,2031,17582.0
BLZ,Belize,2032,17582.0
BLZ,Belize,2033,17582.0
BLZ,Belize,2034,17582.0
BLZ,Belize,2035,17582.0
BLZ,Belize,2036,17582.0
BLZ,Belize,2037,17582.0
BLZ,Belize,2038,17582.0
BLZ,Belize,2039,17582.0
BLZ,Belize,2040,17582.0
BLZ,Belize,2041,17582.0
BLZ,Belize,2042,17582.0
BLZ,Belize,2043,17582.0
BLZ,Belize,2044,17582.0
BLZ,Belize,2045,17582.0
BLZ,Belize,2046,17582.0
BLZ,Belize,2047,17582.0
BLZ,Belize,2048,17582.0
BLZ,Belize,2049,17582.0
BLZ,Belize,2050,17582.0
BOL,Bolivia (Plurinational State of),2020,15817.333333333334
BOL,Bolivia (Plurinational State of),2021,15817.333333333334
BOL,Bolivia (Plurinational State of),2022,15817.333333333334
BOL,Bolivia (Plurinational State of),2023,15817.333333333334
BOL,Bolivia (Plurinational State of),2024,15817.333333333334
BOL,Bolivia (Plurinational State of),2025,15817.333333333334
BOL,Bolivia (Plurinational State of),2026,15817.333333333334
BOL,Bolivia (Plurinational State of),2027,15817.333333333334
BOL,Bolivia (Plurinational State of),2028,15817.333333333334
BOL,Bolivia (Plurinational State of),2029,15817.333333333334
BOL,Bolivia (Plurinational State of),2030,15817.333333333334
BOL,Bolivia (Plurinational State of),2031,15817.333333333334
BOL,Bolivia (Plurinational State of),2032,15817.333333333334
BOL,Bolivia (Plurinational State of),2033,15817.333333333334
BOL,Bolivia (Plurinational State of),2034,15817.333333333334
BOL,Bolivia (Plurinational State of),2035,15817.333333333334
BOL,Bolivia (Plurinational State of),2036,15817.333333333334
BOL,Bolivia (Plurinational State of),2037,15817.333333333334
BOL,Bolivia (Plurinational State of),2038,15817.333333333334
BOL,Bolivia (Plurinational State of),2039,15817.333333333334
BOL,Bolivia (Plurinational State of),2040,15817.333333333334
BOL,Bolivia (Plurinational State of),2041,15817.333333333334
BOL,Bolivia (Plurinational State of),2042,15817.333333333334
BOL,Bolivia (Plurinational State of),2043,15817.333333333334
BOL,Bolivia (Plurinational State of),2044,15817.333333333334
BOL,Bolivia (Plurinational State of),2045,15817.333333333334
BOL,Bolivia (Plurinational State of),2046,15817.333333333334
BOL,Bolivia (Plurinational State of),2047,15817.333333333334
BOL,Bolivia (Plurinational State of),2048,15817.333333333334
BOL,Bolivia (Plurinational State of),2049,15817.333333333334
BOL,Bolivia (Plurinational State of),2050,15817.333333333334
BRA,Brazil,2020,17622.0
BRA,Brazil,2021,17622.0
BRA,Brazil,2022,17622.0
BRA,Brazil,2023,17622.0
BRA,Brazil,2024,17622.0
BRA,Brazil,2025,17622.0
BRA,Brazil,2026,17622.0
BRA,Brazil,2027,17622.0
BRA,Brazil,2028,17622.0
BRA,Brazil,2029,17622.0
BRA,Brazil,2030,17622.0
BRA,Brazil,2031,17622.0
BRA,Brazil,2032,17622.0
BRA,Brazil,2033,17622.0
BRA,Brazil,2034,17622.0
BRA,Brazil,2035,17622.0
BRA,Brazil,2036,17622.0
BRA,Brazil,2037,17622.0
BRA,Brazil,2038,17622.0
BRA,Brazil,2039,17622.0
BRA,Brazil,2040,17622.0
BRA,Brazil,2041,17622.0
BRA,Brazil,2042,17622.0
BRA,Brazil,2043,17622.0
BRA,Brazil,2044,17622.0
BRA,Brazil,2045,17622.0
BRA,Brazil,2046,17622.0
BRA,Brazil,2047,17622.0
BRA,Brazil,2048,17622.0
BRA,Brazil,2049,17622.0
BRA,Brazil,2050,17622.0
BRB,Barbados,2020,41621.5
BRB,Barbados,2021,41621.5
