,Nation,iso_code3,Year,frac_trns_pkm_dem_regional_road_heavy_regional
0,Aruba,ABW,2018,0.03804347826086956
1,Aruba,ABW,2019,0.03804347826086956
2,Aruba,ABW,2020,0.03804347826086956
3,Aruba,ABW,2021,0.03804347826086956
4,Aruba,ABW,2022,0.03804347826086956
5,Aruba,ABW,2023,0.03804347826086956
6,Aruba,ABW,2024,0.03804347826086956
7,Aruba,ABW,2025,0.03804347826086956
8,Aruba,ABW,2026,0.03804347826086956
9,Aruba,ABW,2027,0.03804347826086956
10,Aruba,ABW,2028,0.03804347826086956
11,Aruba,ABW,2029,0.03804347826086956
12,Aruba,ABW,2030,0.03804347826086956
13,Aruba,ABW,2031,0.03804347826086956
14,Aruba,ABW,2032,0.03804347826086956
15,Aruba,ABW,2033,0.03804347826086956
16,Aruba,ABW,2034,0.03804347826086956
17,Aruba,ABW,2035,0.03804347826086956
18,Aruba,ABW,2036,0.03804347826086956
19,Aruba,ABW,2037,0.03804347826086956
20,Aruba,ABW,2038,0.03804347826086956
21,Aruba,ABW,2039,0.03804347826086956
22,Aruba,ABW,2040,0.03804347826086956
23,Aruba,ABW,2041,0.03804347826086956
24,Aruba,ABW,2042,0.03804347826086956
25,Aruba,ABW,2043,0.03804347826086956
26,Aruba,ABW,2044,0.03804347826086956
27,Aruba,ABW,2045,0.03804347826086956
28,Aruba,ABW,2046,0.03804347826086956
29,Aruba,ABW,2047,0.03804347826086956
30,Aruba,ABW,2048,0.03804347826086956
31,Aruba,ABW,2049,0.03804347826086956
32,Aruba,ABW,2050,0.03804347826086956
33,Africa Eastern and Southern,AFE,2018,0.03804347826086956
34,Africa Eastern and Southern,AFE,2019,0.03804347826086956
35,Africa Eastern and Southern,AFE,2020,0.03804347826086956
36,Africa Eastern and Southern,AFE,2021,0.03804347826086956
37,Africa Eastern and Southern,AFE,2022,0.03804347826086956
38,Africa Eastern and Southern,AFE,2023,0.03804347826086956
39,Africa Eastern and Southern,AFE,2024,0.03804347826086956
40,Africa Eastern and Southern,AFE,2025,0.03804347826086956
41,Africa Eastern and Southern,AFE,2026,0.03804347826086956
42,Africa Eastern and Southern,AFE,2027,0.03804347826086956
43,Africa Eastern and Southern,AFE,2028,0.03804347826086956
44,Africa Eastern and Southern,AFE,2029,0.03804347826086956
45,Africa Eastern and Southern,AFE,2030,0.03804347826086956
46,Africa Eastern and Southern,AFE,2031,0.03804347826086956
47,Africa Eastern and Southern,AFE,2032,0.03804347826086956
48,Africa Eastern and Southern,AFE,2033,0.03804347826086956
49,Africa Eastern and Southern,AFE,2034,0.03804347826086956
50,Africa Eastern and Southern,AFE,2035,0.03804347826086956
51,Africa Eastern and Southern,AFE,2036,0.03804347826086956
52,Africa Eastern and Southern,AFE,2037,0.03804347826086956
53,Africa Eastern and Southern,AFE,2038,0.03804347826086956
54,Africa Eastern and Southern,AFE,2039,0.03804347826086956
55,Africa Eastern and Southern,AFE,2040,0.03804347826086956
56,Africa Eastern and Southern,AFE,2041,0.03804347826086956
57,Africa Eastern and Southern,AFE,2042,0.03804347826086956
58,Africa Eastern and Southern,AFE,2043,0.03804347826086956
59,Africa Eastern and Southern,AFE,2044,0.03804347826086956
60,Africa Eastern and Southern,AFE,2045,0.03804347826086956
61,Africa Eastern and Southern,AFE,2046,0.03804347826086956
62,Africa Eastern and Southern,AFE,2047,0.03804347826086956
63,Africa Eastern and Southern,AFE,2048,0.03804347826086956
64,Africa Eastern and Southern,AFE,2049,0.03804347826086956
65,Africa Eastern and Southern,AFE,2050,0.03804347826086956
66,Afghanistan,AFG,2018,0.03804347826086956
67,Afghanistan,AFG,2019,0.03804347826086956
68,Afghanistan,AFG,2020,0.03804347826086956
69,Afghanistan,AFG,2021,0.03804347826086956
70,Afghanistan,AFG,2022,0.03804347826086956
71,Afghanistan,AFG,2023,0.03804347826086956
72,Afghanistan,AFG,2024,0.03804347826086956
73,Afghanistan,AFG,2025,0.03804347826086956
74,Afghanistan,AFG,2026,0.03804347826086956
75,Afghanistan,AFG,2027,0.03804347826086956
76,Afghanistan,AFG,2028,0.03804347826086956
77,Afghanistan,AFG,2029,0.03804347826086956
78,Afghanistan,AFG,2030,0.03804347826086956
79,Afghanistan,AFG,2031,0.03804347826086956
80,Afghanistan,AFG,2032,0.03804347826086956
81,Afghanistan,AFG,2033,0.03804347826086956
82,Afghanistan,AFG,2034,0.03804347826086956
83,Afghanistan,AFG,2035,0.03804347826086956
84,Afghanistan,AFG,2036,0.03804347826086956
85,Afghanistan,AFG,2037,0.03804347826086956
86,Afghanistan,AFG,2038,0.03804347826086956
87,Afghanistan,AFG,2039,0.03804347826086956
88,Afghanistan,AFG,2040,0.03804347826086956
89,Afghanistan,AFG,2041,0.03804347826086956
90,Afghanistan,AFG,2042,0.03804347826086956
91,Afghanistan,AFG,2043,0.03804347826086956
92,Afghanistan,AFG,2044,0.03804347826086956
