Year,iso_code3,nemomod_entc_residual_capacity_pp_oil_gw
2048,AFG,0.0
2049,AFG,0.0
2050,AFG,0.0
2051,AFG,0.0
2052,AFG,0.0
2053,AFG,0.0
2054,AFG,0.0
2055,AFG,0.0
1974,AGO,0.0468826775858999
1975,AGO,0.0468826775858999
1976,AGO,0.0468826775858999
1977,AGO,0.0468826775858999
1978,AGO,0.0468826775858999
1979,AGO,0.0803174292326865
1980,AGO,0.0803174292326865
1981,AGO,0.0803174292326865
1982,AGO,0.0803174292326865
1983,AGO,0.0803174292326865
1984,AGO,0.0803174292326865
1985,AGO,0.0803174292326865
1986,AGO,0.0803174292326865
1987,AGO,0.0803174292326865
1988,AGO,0.0803174292326865
1989,AGO,0.1036353925583051
1990,AGO,0.1036353925583051
1991,AGO,0.1036353925583051
1992,AGO,0.1036353925583051
1993,AGO,0.1036353925583051
1994,AGO,0.1036353925583051
1995,AGO,0.0504
1996,AGO,0.0504
1997,AGO,0.0504
1998,AGO,0.0604
1999,AGO,0.0604
2000,AGO,0.0604
2001,AGO,0.0604
2002,AGO,0.0604
2003,AGO,0.0604
2004,AGO,0.0604
2005,AGO,0.0604
2006,AGO,0.0604
2007,AGO,0.0717601674395699
2008,AGO,0.0718841055525916
2009,AGO,0.0718841055525916
2021,AGO,0.7986309486290577
2022,AGO,0.7986309486290577
2023,AGO,0.7986309486290577
2024,AGO,0.7986309486290577
2025,AGO,0.7986309486290577
2026,AGO,0.7986309486290577
2027,AGO,0.7986309486290577
2028,AGO,0.7986309486290577
2029,AGO,0.7060668137409392
2030,AGO,0.7060668137409392
2031,AGO,0.7060668137409392
2032,AGO,0.7060668137409392
2033,AGO,0.7060668137409392
2034,AGO,0.7060668137409392
2035,AGO,0.7060668137409392
2036,AGO,0.7060668137409392
2037,AGO,0.7060668137409392
2038,AGO,0.624440592499212
2039,AGO,0.624440592499212
2040,AGO,0.624440592499212
2041,AGO,0.624440592499212
2042,AGO,0.624440592499212
2043,AGO,0.624440592499212
2044,AGO,0.624440592499212
2045,AGO,0.624440592499212
2046,AGO,0.624440592499212
2047,AGO,0.624440592499212
2048,AGO,0.624440592499212
2049,AGO,0.624440592499212
2050,AGO,0.624440592499212
2051,AGO,0.624440592499212
2052,AGO,0.473432083202017
2053,AGO,0.473432083202017
2054,AGO,0.473432083202017
2055,AGO,0.473432083202017
1951,ALB,0.0
1952,ALB,0.0
1953,ALB,0.0
1954,ALB,0.0
1955,ALB,0.0
1956,ALB,0.0
1957,ALB,0.0
1958,ALB,0.0
1959,ALB,0.0
1960,ALB,0.0
1961,ALB,0.0
1962,ALB,0.0
1963,ALB,0.0
1964,ALB,0.0
1965,ALB,0.0
1966,ALB,0.0
1967,ALB,0.0
1968,ALB,0.0
1969,ALB,0.0
1970,ALB,0.0
1971,ALB,0.0
1972,ALB,0.0
1973,ALB,0.0
1974,ALB,0.0
1975,ALB,0.0
1976,ALB,0.0
1977,ALB,0.0
1978,ALB,0.0
1979,ALB,0.0
1980,ALB,0.0
1981,ALB,0.0
1982,ALB,0.0
1983,ALB,0.0
1984,ALB,0.0
1985,ALB,0.0
1986,ALB,0.0
1987,ALB,0.0
1988,ALB,0.0
1989,ALB,0.0
1990,ALB,0.0
1991,ALB,0.0
1992,ALB,0.0
1993,ALB,0.0
1994,ALB,0.0
1995,ALB,0.0
1996,ALB,0.0
1997,ALB,0.0
1998,ALB,0.0
1999,ALB,0.0
2000,ALB,0.0
2001,ALB,0.0
2002,ALB,0.0
2003,ALB,0.0
2004,ALB,0.0
2005,ALB,0.0
2006,ALB,0.0
2007,ALB,0.0
2008,ALB,0.0
2009,ALB,0.0
2021,ALB,0.0
2022,ALB,0.0
2023,ALB,0.0
2024,ALB,0.0
2025,ALB,0.0
2026,ALB,0.0
2027,ALB,0.0
2028,ALB,0.0
2029,ALB,0.0
2030,ALB,0.0
2031,ALB,0.0
2032,ALB,0.0
2033,ALB,0.0
2034,ALB,0.0
2035,ALB,0.0
2036,ALB,0.0
2037,ALB,0.0
2038,ALB,0.0
2039,ALB,0.0
2040,ALB,0.0
2041,ALB,0.0
2042,ALB,0.0
2043,ALB,0.0
2044,ALB,0.0
2045,ALB,0.0
2046,ALB,0.0
2047,ALB,0.0
2048,ALB,0.0
2049,ALB,0.0
2050,ALB,0.0
2051,ALB,0.0
2052,ALB,0.0
2053,ALB,0.0
2054,ALB,0.0
2055,ALB,0.0
1977,ARE,0.0
1978,ARE,0.0
1979,ARE,0.0
1980,ARE,0.0
1981,ARE,0.0
1982,ARE,0.0
1983,ARE,0.0
1984,ARE,0.0
1985,ARE,0.0
1986,ARE,0.0
1987,ARE,0.0
1988,ARE,0.0
1989,ARE,0.0
1990,ARE,0.0
1991,ARE,0.0
1992,ARE,0.0
1993,ARE,0.0
1994,ARE,0.0
1995,ARE,0.0
1996,ARE,0.0
1997,ARE,0.0
1998,ARE,0.0
1999,ARE,0.0
2000,ARE,0.0
2001,ARE,0.0
2002,ARE,0.0
2003,ARE,0.0
2004,ARE,0.0
2005,ARE,0.0
2006,ARE,0.0
2007,ARE,0.0
2008,ARE,0.0
2009,ARE,0.0
2021,ARE,0.0
2022,ARE,0.0
2023,ARE,0.0
2024,ARE,0.0
2025,ARE,0.0
2026,ARE,0.0
2027,ARE,0.0
2028,ARE,0.0
2029,ARE,0.0
2030,ARE,0.0
2031,ARE,0.0
2032,ARE,0.0
2033,ARE,0.0
2034,ARE,0.0
2035,ARE,0.0
2036,ARE,0.0
2037,ARE,0.0
2038,ARE,0.0
2039,ARE,0.0
2040,ARE,0.0
2041,ARE,0.0
2042,ARE,0.0
1920,ARG,0.0538281100998471
1921,ARG,0.0538281100998471
1922,ARG,0.0771000989022021
1923,ARG,0.0771000989022021
1924,ARG,0.0771000989022021
1925,ARG,0.0771000989022021
1926,ARG,0.0982564523588885
1927,ARG,0.0982564523588885
1928,ARG,0.0982564523588885
1929,ARG,0.0816635243428094
1930,ARG,0.1108592921130366
1931,ARG,0.1108592921130366
1932,ARG,0.1470366565239703
1933,ARG,0.1470366565239703
1934,ARG,0.1406897504869644
1935,ARG,0.1406897504869644
1936,ARG,0.1214924753603671
1937,ARG,0.1214924753603671
1938,ARG,0.1214924753603671
1939,ARG,0.1214924753603671
1940,ARG,0.1214924753603671
1941,ARG,0.1214924753603671
1942,ARG,0.1214924753603671
1943,ARG,0.1268365702435261
1944,ARG,0.1487651306013815
1945,ARG,0.1487651306013815
1946,ARG,0.1699214840580679
1947,ARG,0.1699214840580679
1948,ARG,0.1733065006111377
1949,ARG,0.1891737657036525
1950,ARG,0.2013386689412472
1951,ARG,0.2013386689412472
1952,ARG,0.2013386689412472
1953,ARG,0.2013386689412472
1954,ARG,0.2186128315386316
1955,ARG,0.2235581291591321
1956,ARG,0.2277893998504693
1957,ARG,0.2329727064473575
1958,ARG,0.2670714591311717
1959,ARG,0.2670714591311717
1960,ARG,0.2617823707670001
1961,ARG,0.2820924700854191
1962,ARG,0.2588204812830641
1963,ARG,0.2783731831477336
1964,ARG,0.2783731831477336
1965,ARG,0.2866908035092299
1966,ARG,0.2919798918734015
1967,ARG,0.3025580686017447
1968,ARG,0.3121842094245369
1969,ARG,0.3518523721558239
1970,ARG,0.3949140139815634
1971,ARG,0.420301638129587
1972,ARG,0.3841242737186534
1973,ARG,0.3841242737186534
1974,ARG,0.4077136078228586
1975,ARG,0.4077136078228586
1976,ARG,0.4269299236675668
1977,ARG,0.4821162716593332
1978,ARG,0.5024263709777521
1979,ARG,0.5227364702961711
1980,ARG,0.549181912117029
1981,ARG,0.549181912117029
1982,ARG,0.5597600888453722
1983,ARG,0.5544159939622132
1984,ARG,0.5499414252061242
1985,ARG,0.5606253837017507
1986,ARG,0.540875927749934
1987,ARG,0.5432560175138113
1988,ARG,0.5561719712991183
1989,ARG,0.5403047062066035
1990,ARG,0.5725681452280502
1991,ARG,0.5725204788356293
1992,ARG,0.5760070215828824
1993,ARG,0.577678
1994,ARG,0.5759922284752953
1995,ARG,0.556673
1996,ARG,0.5581925717181477
1997,ARG,0.5477730000000001
1998,ARG,0.5236331632187022
1999,ARG,0.547674
2000,ARG,0.6047076912515236
2001,ARG,0.6137180685797574
2002,ARG,0.6296782834887635
2003,ARG,0.6299920555772551
2004,ARG,0.6902872840357536
2005,ARG,0.6887847567489018
2006,ARG,0.6665609314349698
2007,ARG,0.6787364636554641
2008,ARG,0.6671770950066181
2009,ARG,0.6467658465600858
2021,ARG,1.0206864308841097
2022,ARG,1.0009586757673474
2023,ARG,1.0009586757673474
2024,ARG,0.96840787982469
2025,ARG,0.94848284715676
2026,ARG,0.9458590557262307
2027,ARG,0.9414203108249594
2028,ARG,0.9110198401900288
2029,ARG,0.9110198401900288
2030,ARG,0.8281632686996279
2031,ARG,0.8281632686996279
2032,ARG,0.7790312945813318
2033,ARG,0.7563443761970553
2034,ARG,0.7563443761970553
2035,ARG,0.7563443761970553
2036,ARG,0.7563443761970553
2037,ARG,0.7563443761970553
2038,ARG,0.7535824904807085
2039,ARG,0.6830833847954474
2040,ARG,0.6199545684218086
2041,ARG,0.5823337394141432
2042,ARG,0.5460741255095344
2043,ARG,0.50661861527601
2044,ARG,0.4119253907155518
2045,ARG,0.3977214070314831
2046,ARG,0.3977214070314831
2047,ARG,0.3977214070314831
2048,ARG,0.3977214070314831
2049,ARG,0.3977214070314831
2050,ARG,0.3376701204560591
2051,ARG,0.3376701204560591
2052,ARG,0.2852021829475185
2053,ARG,0.2753383053891375
2054,ARG,0.2753383053891375
2055,ARG,0.2753383053891375
1969,ARM,0.0
1970,ARM,0.0
1971,ARM,0.0
1972,ARM,0.0
1973,ARM,0.0
1974,ARM,0.0
1975,ARM,0.0
1976,ARM,0.0
1977,ARM,0.0
1978,ARM,0.0
1979,ARM,0.0
1980,ARM,0.0
1981,ARM,0.0
1982,ARM,0.0
1983,ARM,0.0
1984,ARM,0.0
1985,ARM,0.0
1986,ARM,0.0
1987,ARM,0.0
1988,ARM,0.0
1989,ARM,0.0
1990,ARM,0.0
1991,ARM,0.0
1992,ARM,0.0
1993,ARM,0.0
1994,ARM,0.0
1995,ARM,0.0
1996,ARM,0.0
1997,ARM,0.0
1998,ARM,0.0
1999,ARM,0.0
2000,ARM,0.0
2001,ARM,0.0
2002,ARM,0.0
2003,ARM,0.0
2004,ARM,0.0
2005,ARM,0.0
2006,ARM,0.0
2007,ARM,0.0
2008,ARM,0.0
2009,ARM,0.0
2021,ARM,0.0
2022,ARM,0.0
2023,ARM,0.0
2024,ARM,0.0
2025,ARM,0.0
2026,ARM,0.0
2027,ARM,0.0
2028,ARM,0.0
2029,ARM,0.0
2030,ARM,0.0
2031,ARM,0.0
2032,ARM,0.0
2033,ARM,0.0
2034,ARM,0.0
2035,ARM,0.0
2036,ARM,0.0
2037,ARM,0.0
2038,ARM,0.0
2039,ARM,0.0
2040,ARM,0.0
2041,ARM,0.0
2042,ARM,0.0
2043,ARM,0.0
2044,ARM,0.0
2045,ARM,0.0
2046,ARM,0.0
2047,ARM,0.0
2048,ARM,0.0
2049,ARM,0.0
2050,ARM,0.0
2051,ARM,0.0
2052,ARM,0.0
2053,ARM,0.0
2054,ARM,0.0
2055,ARM,0.0
1920,AUS,0.0
1921,AUS,0.0
1922,AUS,0.0
1923,AUS,0.0
1924,AUS,0.0
1925,AUS,0.0
1926,AUS,0.0
1927,AUS,0.0
1928,AUS,0.0
1929,AUS,0.0
1930,AUS,0.0
1931,AUS,0.0
1932,AUS,0.0
1933,AUS,0.0
1934,AUS,0.0
1935,AUS,0.0
1936,AUS,0.0
1937,AUS,0.0
1938,AUS,0.0
1939,AUS,0.0
1940,AUS,0.0
1941,AUS,0.0
1942,AUS,0.0
1943,AUS,0.0
1944,AUS,0.0
1945,AUS,0.0
1946,AUS,0.0
1947,AUS,0.0
1948,AUS,0.0
1949,AUS,0.0055514292148562
1950,AUS,0.0286823842767572
1951,AUS,0.0286823842767572
1952,AUS,0.0286823842767572
1953,AUS,0.0286823842767572
1954,AUS,0.6809753170223656
1955,AUS,0.6809753170223656
1956,AUS,0.6809753170223656
1957,AUS,0.6809753170223656
1958,AUS,0.6809753170223656
1959,AUS,0.6809753170223656
1960,AUS,0.6809753170223656
1961,AUS,0.6809753170223656
1962,AUS,0.6809753170223656
1963,AUS,0.6809753170223656
1964,AUS,0.6809753170223656
1965,AUS,0.6809753170223656
1966,AUS,0.6809753170223656
1967,AUS,0.6809753170223656
1968,AUS,0.6809753170223656
1969,AUS,0.7179848451214071
1970,AUS,0.7179848451214071
1971,AUS,0.7346391327659759
1972,AUS,0.7346391327659759
1973,AUS,0.7346391327659759
1974,AUS,0.8209946983304062
1975,AUS,0.8209946983304062
1976,AUS,0.8209946983304062
1977,AUS,0.8229993811024378
1978,AUS,0.8250040638744691
1979,AUS,0.8265461275452625
1980,AUS,0.8265461275452625
1981,AUS,0.8265461275452625
1982,AUS,0.8290134294185321
1983,AUS,0.8737332758715405
1984,AUS,0.8757379586435718
1985,AUS,0.890464666699649
1986,AUS,0.890464666699649
1987,AUS,0.8953992704461878
1988,AUS,0.898853493068765
1989,AUS,0.9611528653688184
1990,AUS,0.9420312758509802
1991,AUS,0.916384692122684
1992,AUS,0.9263411659966044
1993,AUS,0.8789879415406606
1994,AUS,0.2879530787041409
1995,AUS,0.2920740329202246
1996,AUS,0.2749942644922067
1997,AUS,0.355336949175142
1998,AUS,0.3640445016860265
1999,AUS,0.3770291589468961
2000,AUS,0.3755002280470637
2001,AUS,0.3733890862888263
2002,AUS,0.3787024190564702
2003,AUS,0.3981442406743143
2004,AUS,0.3737442238284732
2005,AUS,0.3988374398119639
2006,AUS,0.444872592316246
2007,AUS,0.4496199291510851
2008,AUS,0.4873157612566937
2009,AUS,0.4771083694063531
2021,AUS,0.8709925688511556
2022,AUS,0.8685197826663661
2023,AUS,0.8237005330670555
2024,AUS,0.8216913942919138
2025,AUS,0.8069319517514513
2026,AUS,0.8069319517514513
2027,AUS,0.801986379381872
2028,AUS,0.7985244787231666
2029,AUS,0.7305228586414539
2030,AUS,0.726504581091171
2031,AUS,0.6955947537813015
2032,AUS,0.6925037710503146
2033,AUS,0.6925037710503146
2034,AUS,0.6925037710503146
2035,AUS,0.690958279684821
2036,AUS,0.690958279684821
2037,AUS,0.5966833063897193
2038,AUS,0.5905013409277454
2039,AUS,0.5869467107871106
2040,AUS,0.5869467107871106
2041,AUS,0.5869467107871106
2042,AUS,0.5776737625941497
2043,AUS,0.5637643403047085
2044,AUS,0.5637643403047085
2045,AUS,0.5164723045206082
2046,AUS,0.4274520018681843
2047,AUS,0.4235882734544505
2048,AUS,0.3741325497586595
2049,AUS,0.3718143127104192
2050,AUS,0.3718143127104192
2051,AUS,0.3698360837625877
2052,AUS,0.3682905923970942
2053,AUS,0.3638086674371631
2054,AUS,0.2100322765705627
2055,AUS,0.0964386612067926
1925,AUT,0.0
1926,AUT,0.0
1927,AUT,0.0
1928,AUT,0.0
1929,AUT,0.0
1930,AUT,0.0
1931,AUT,0.0
1932,AUT,0.0
1933,AUT,0.0
1934,AUT,0.0
1935,AUT,0.0
1936,AUT,0.0
1937,AUT,0.0
1938,AUT,0.0
1939,AUT,0.0
1940,AUT,0.0
1941,AUT,0.0
1942,AUT,0.0
1943,AUT,0.0
1944,AUT,0.0
1945,AUT,0.0
1946,AUT,0.0
1947,AUT,0.0
1948,AUT,0.0
1949,AUT,0.0
1950,AUT,0.0
1951,AUT,0.0
1952,AUT,0.0
1953,AUT,0.0
1954,AUT,0.0
1955,AUT,0.0
1956,AUT,0.0
1957,AUT,0.0
1958,AUT,0.0
1959,AUT,0.0
1960,AUT,0.0
1961,AUT,0.0
1962,AUT,0.0
1963,AUT,0.0
1964,AUT,0.0
1965,AUT,0.0
1966,AUT,0.0
1967,AUT,0.0
1968,AUT,0.0
1969,AUT,0.0
1970,AUT,0.0
1971,AUT,0.0
1972,AUT,0.0
1973,AUT,0.0
1974,AUT,0.0
1975,AUT,0.0
1976,AUT,0.0
1977,AUT,0.0
1978,AUT,0.0
1979,AUT,0.0
1980,AUT,0.0
1981,AUT,0.0
1982,AUT,0.0
1983,AUT,0.0
1984,AUT,0.0
1985,AUT,0.0
1986,AUT,0.0
1987,AUT,0.0
1988,AUT,0.0
1989,AUT,0.0
1990,AUT,0.0
1991,AUT,0.0
1992,AUT,0.0
1993,AUT,0.0
1994,AUT,0.0
1995,AUT,0.0
1996,AUT,0.0
1997,AUT,0.0
1998,AUT,0.0
1999,AUT,0.0
2000,AUT,0.0
2001,AUT,0.0
2002,AUT,0.0
2003,AUT,0.0
2004,AUT,0.0
2005,AUT,0.0
2006,AUT,0.0
2007,AUT,0.0
2008,AUT,0.0
2009,AUT,0.0
2021,AUT,0.0
2022,AUT,0.0
2023,AUT,0.0
2024,AUT,0.0
2025,AUT,0.0
2026,AUT,0.0
2027,AUT,0.0
2028,AUT,0.0
2029,AUT,0.0
2030,AUT,0.0
2031,AUT,0.0
2032,AUT,0.0
2033,AUT,0.0
2034,AUT,0.0
2035,AUT,0.0
2036,AUT,0.0
2037,AUT,0.0
2038,AUT,0.0
2039,AUT,0.0
2040,AUT,0.0
2041,AUT,0.0
2042,AUT,0.0
2043,AUT,0.0
2044,AUT,0.0
2045,AUT,0.0
2046,AUT,0.0
2047,AUT,0.0
2048,AUT,0.0
2049,AUT,0.0
2050,AUT,0.0
2051,AUT,0.0
2052,AUT,0.0
2053,AUT,0.0
2054,AUT,0.0
2055,AUT,0.0
1953,AZE,0.0
1954,AZE,0.0
1955,AZE,0.0
1956,AZE,0.0
1957,AZE,0.0
1958,AZE,0.0
1959,AZE,0.0
1960,AZE,0.0
1961,AZE,0.0
1962,AZE,0.0
1963,AZE,0.0
1964,AZE,0.0
1965,AZE,0.0
1966,AZE,0.0
1967,AZE,0.0
1968,AZE,0.0
1969,AZE,0.0
1970,AZE,0.0
1971,AZE,0.0
1972,AZE,0.0
1973,AZE,0.0
1974,AZE,0.0
1975,AZE,0.0
1976,AZE,0.0
1977,AZE,0.0
1978,AZE,0.0
1979,AZE,0.0
1980,AZE,0.0
1981,AZE,0.0
1982,AZE,0.0
1983,AZE,0.0
1984,AZE,0.0
1985,AZE,0.0
1986,AZE,0.0
1987,AZE,3.8461061123177167
1988,AZE,3.8461061123177167
1989,AZE,3.8461061123177167
1990,AZE,3.8461061123177167
1991,AZE,3.8461061123177167
1992,AZE,3.8461061123177167
1993,AZE,3.859509773502948
1994,AZE,3.901210052745889
1995,AZE,3.901210052745889
1996,AZE,3.901210052745889
1997,AZE,3.901210052745889
1998,AZE,3.901210052745889
1999,AZE,3.901210052745889
2000,AZE,3.387586206896552
2001,AZE,3.5593103448275865
2002,AZE,3.267835051546392
2003,AZE,3.5090721649484538
2004,AZE,3.5041237113402066
2005,AZE,3.1898969072164944
2006,AZE,3.329452392698569
2007,AZE,3.305409954315941
2008,AZE,3.1213997308209955
2009,AZE,3.0767007826610477
2021,AZE,2.4
2022,AZE,2.4
2023,AZE,2.4
2024,AZE,2.4
2025,AZE,2.4
2026,AZE,2.4
2027,AZE,0.0
2028,AZE,0.0
2029,AZE,0.0
2030,AZE,0.0
2031,AZE,0.0
2032,AZE,0.0
2033,AZE,0.0
2034,AZE,0.0
2035,AZE,0.0
2036,AZE,0.0
2037,AZE,0.0
2038,AZE,0.0
2039,AZE,0.0
2040,AZE,0.0
2041,AZE,0.0
2042,AZE,0.0
2043,AZE,0.0
2044,AZE,0.0
2045,AZE,0.0
2046,AZE,0.0
2047,AZE,0.0
2048,AZE,0.0
2049,AZE,0.0
2050,AZE,0.0
2051,AZE,0.0
2052,AZE,0.0
2053,AZE,0.0
2054,AZE,0.0
2055,AZE,0.0
1920,BDI,0.0
1921,BDI,0.0
1922,BDI,0.0
1923,BDI,0.0
1924,BDI,0.0
1925,BDI,0.0
1926,BDI,0.0
1927,BDI,0.0
1928,BDI,0.0
1929,BDI,0.0
1930,BDI,0.0
1931,BDI,0.0
1932,BDI,0.0
1933,BDI,0.0
1934,BDI,0.0
1935,BDI,0.0
1936,BDI,0.0
1937,BDI,0.0
1938,BDI,0.0
1939,BDI,0.0
1940,BDI,0.0
1941,BDI,0.0
1942,BDI,0.0
1943,BDI,0.0
1944,BDI,0.0
1945,BDI,0.0
1946,BDI,0.0
1947,BDI,0.0
1948,BDI,0.0
1949,BDI,0.0
1950,BDI,0.0
1951,BDI,0.0
1952,BDI,0.0
1953,BDI,0.0
1954,BDI,0.0
1955,BDI,0.0
1956,BDI,0.0
1957,BDI,0.0
1958,BDI,0.0
1959,BDI,0.0
1960,BDI,0.0
1961,BDI,0.0
1962,BDI,0.0
1963,BDI,0.0
1964,BDI,0.0
1965,BDI,0.0
1966,BDI,0.0
1967,BDI,0.0
1968,BDI,0.0
1969,BDI,0.0
1970,BDI,0.0
1971,BDI,0.0
1972,BDI,0.0
1973,BDI,0.0
1974,BDI,0.0
1975,BDI,0.0
1976,BDI,0.0
1977,BDI,0.0
1978,BDI,0.0
1979,BDI,0.0
1980,BDI,0.0
1981,BDI,0.0
1982,BDI,0.0
1983,BDI,0.0
1984,BDI,0.0
1985,BDI,0.0
1986,BDI,0.0
1987,BDI,0.0
1988,BDI,0.0
1989,BDI,0.0
1990,BDI,0.0
1991,BDI,0.0
1992,BDI,0.0
1993,BDI,0.0
1994,BDI,0.0
1995,BDI,0.0
1996,BDI,0.0
1997,BDI,0.0
1998,BDI,0.0
1999,BDI,0.0
2000,BDI,0.0
2001,BDI,0.0
2002,BDI,0.0
2003,BDI,0.0
2004,BDI,0.0
2005,BDI,0.0
2006,BDI,0.0
2007,BDI,0.0
2008,BDI,0.0
2009,BDI,0.0
2021,BDI,0.0
2022,BDI,0.0
2023,BDI,0.0
2024,BDI,0.0
2025,BDI,0.0
2026,BDI,0.0
2027,BDI,0.0
2028,BDI,0.0
2029,BDI,0.0
2030,BDI,0.0
2031,BDI,0.0
2032,BDI,0.0
2033,BDI,0.0
2034,BDI,0.0
2035,BDI,0.0
2036,BDI,0.0
2037,BDI,0.0
2038,BDI,0.0
2039,BDI,0.0
2040,BDI,0.0
2041,BDI,0.0
2042,BDI,0.0
2043,BDI,0.0
2044,BDI,0.0
2045,BDI,0.0
2046,BDI,0.0
2047,BDI,0.0
2048,BDI,0.0
2049,BDI,0.0
2050,BDI,0.0
2051,BDI,0.0
2052,BDI,0.0
2053,BDI,0.0
2054,BDI,0.0
2055,BDI,0.0
1930,BEL,0.0
1931,BEL,0.0
1932,BEL,0.0
1933,BEL,0.0
1934,BEL,0.0
1935,BEL,0.0
1936,BEL,0.0
1937,BEL,0.0
1938,BEL,0.0
1939,BEL,0.0
1940,BEL,0.0
1941,BEL,0.0
1942,BEL,0.0
1943,BEL,0.0
1944,BEL,0.0
1945,BEL,0.0
1946,BEL,0.0
1947,BEL,0.0
1948,BEL,0.0
1949,BEL,0.0
1950,BEL,0.0
1951,BEL,0.0
1952,BEL,0.0
1953,BEL,0.0
1954,BEL,0.0
1955,BEL,0.0
1956,BEL,0.0
1957,BEL,0.0
1958,BEL,0.0
1959,BEL,0.0
1960,BEL,0.0
1961,BEL,0.0
1962,BEL,0.0
1963,BEL,0.0
1964,BEL,0.0
1965,BEL,0.0
1966,BEL,0.0
1967,BEL,0.0
1968,BEL,0.0
1969,BEL,0.0
1970,BEL,0.0
1971,BEL,0.0
1972,BEL,0.0
1973,BEL,0.0
1974,BEL,0.0
1975,BEL,0.0
1976,BEL,0.0
1977,BEL,0.0594355234839853
1978,BEL,0.0594355234839853
1979,BEL,0.0594355234839853
1980,BEL,0.0594355234839853
1981,BEL,0.0594355234839853
1982,BEL,0.0594355234839853
1983,BEL,0.0594355234839853
1984,BEL,0.0594355234839853
1985,BEL,0.0594355234839853
1986,BEL,0.0594355234839853
1987,BEL,0.0927337384479047
1988,BEL,0.0927337384479047
1989,BEL,0.0927337384479047
1990,BEL,0.0927337384479047
1991,BEL,0.1253535414772153
1992,BEL,0.124828938062039
1993,BEL,0.124953420228352
1994,BEL,0.1253363286571231
1995,BEL,0.1582903710415871
1996,BEL,0.1576006295307134
1997,BEL,0.1559134156810377
1998,BEL,0.1790775746575046
1999,BEL,0.1795183799819424
2000,BEL,0.2310748005860328
2001,BEL,0.2287191523114157
2002,BEL,0.2289989220850535
2003,BEL,0.228763431069022
2004,BEL,0.2248338327809641
2005,BEL,0.2447752315738621
2006,BEL,0.2459261735152187
2007,BEL,0.2445229798552547
2008,BEL,0.2387217062804974
2009,BEL,0.2544781517421293
2021,BEL,0.5931507056670493
2022,BEL,0.5931507056670493
2023,BEL,0.5931507056670493
2024,BEL,0.5931507056670493
2025,BEL,0.5931507056670493
2026,BEL,0.5931507056670493
2027,BEL,0.5190068674586681
2028,BEL,0.5190068674586681
2029,BEL,0.5190068674586681
2030,BEL,0.5190068674586681
2031,BEL,0.4448630292502869
2032,BEL,0.4448630292502869
2033,BEL,0.4448630292502869
2034,BEL,0.4448630292502869
2035,BEL,0.3707191910419057
2036,BEL,0.3707191910419057
2037,BEL,0.3707191910419057
2038,BEL,0.2965753528335246
2039,BEL,0.2965753528335246
2040,BEL,0.1482876764167623
2041,BEL,0.1482876764167623
2042,BEL,0.1482876764167623
2043,BEL,0.1482876764167623
2044,BEL,0.1482876764167623
2045,BEL,0.1482876764167623
