,Nation,iso_code3,Year,frac_scoe_heat_energy_commercial_municipal_electricity
0,Aruba,ABW,2020,0.4349458900910574
1,Aruba,ABW,2021,0.4349458900910574
2,Aruba,ABW,2022,0.4349458900910574
3,Aruba,ABW,2023,0.4349458900910574
4,Aruba,ABW,2024,0.4349458900910574
5,Aruba,ABW,2025,0.4349458900910574
6,Aruba,ABW,2026,0.4349458900910574
7,Aruba,ABW,2027,0.4349458900910574
8,Aruba,ABW,2028,0.4349458900910574
9,Aruba,ABW,2029,0.4349458900910574
10,Aruba,ABW,2030,0.4349458900910574
11,Aruba,ABW,2031,0.4349458900910574
12,Aruba,ABW,2032,0.4349458900910574
13,Aruba,ABW,2033,0.4349458900910574
14,Aruba,ABW,2034,0.4349458900910574
15,Aruba,ABW,2035,0.4349458900910574
16,Aruba,ABW,2036,0.4349458900910574
17,Aruba,ABW,2037,0.4349458900910574
18,Aruba,ABW,2038,0.4349458900910574
19,Aruba,ABW,2039,0.4349458900910574
20,Aruba,ABW,2040,0.4349458900910574
21,Aruba,ABW,2041,0.4349458900910574
22,Aruba,ABW,2042,0.4349458900910574
23,Aruba,ABW,2043,0.4349458900910574
24,Aruba,ABW,2044,0.4349458900910574
25,Aruba,ABW,2045,0.4349458900910574
26,Aruba,ABW,2046,0.4349458900910574
27,Aruba,ABW,2047,0.4349458900910574
28,Aruba,ABW,2048,0.4349458900910574
29,Aruba,ABW,2049,0.4349458900910574
30,Aruba,ABW,2050,0.4349458900910574
31,Africa Eastern and Southern,AFE,2020,0.4349458900910574
32,Africa Eastern and Southern,AFE,2021,0.4349458900910574
33,Africa Eastern and Southern,AFE,2022,0.4349458900910574
34,Africa Eastern and Southern,AFE,2023,0.4349458900910574
35,Africa Eastern and Southern,AFE,2024,0.4349458900910574
36,Africa Eastern and Southern,AFE,2025,0.4349458900910574
37,Africa Eastern and Southern,AFE,2026,0.4349458900910574
38,Africa Eastern and Southern,AFE,2027,0.4349458900910574
39,Africa Eastern and Southern,AFE,2028,0.4349458900910574
40,Africa Eastern and Southern,AFE,2029,0.4349458900910574
41,Africa Eastern and Southern,AFE,2030,0.4349458900910574
42,Africa Eastern and Southern,AFE,2031,0.4349458900910574
43,Africa Eastern and Southern,AFE,2032,0.4349458900910574
44,Africa Eastern and Southern,AFE,2033,0.4349458900910574
45,Africa Eastern and Southern,AFE,2034,0.4349458900910574
46,Africa Eastern and Southern,AFE,2035,0.4349458900910574
47,Africa Eastern and Southern,AFE,2036,0.4349458900910574
48,Africa Eastern and Southern,AFE,2037,0.4349458900910574
49,Africa Eastern and Southern,AFE,2038,0.4349458900910574
50,Africa Eastern and Southern,AFE,2039,0.4349458900910574
51,Africa Eastern and Southern,AFE,2040,0.4349458900910574
52,Africa Eastern and Southern,AFE,2041,0.4349458900910574
53,Africa Eastern and Southern,AFE,2042,0.4349458900910574
54,Africa Eastern and Southern,AFE,2043,0.4349458900910574
55,Africa Eastern and Southern,AFE,2044,0.4349458900910574
56,Africa Eastern and Southern,AFE,2045,0.4349458900910574
57,Africa Eastern and Southern,AFE,2046,0.4349458900910574
58,Africa Eastern and Southern,AFE,2047,0.4349458900910574
59,Africa Eastern and Southern,AFE,2048,0.4349458900910574
60,Africa Eastern and Southern,AFE,2049,0.4349458900910574
61,Africa Eastern and Southern,AFE,2050,0.4349458900910574
62,Afghanistan,AFG,2020,0.4349458900910574
63,Afghanistan,AFG,2021,0.4349458900910574
64,Afghanistan,AFG,2022,0.4349458900910574
65,Afghanistan,AFG,2023,0.4349458900910574
66,Afghanistan,AFG,2024,0.4349458900910574
67,Afghanistan,AFG,2025,0.4349458900910574
68,Afghanistan,AFG,2026,0.4349458900910574
69,Afghanistan,AFG,2027,0.4349458900910574
70,Afghanistan,AFG,2028,0.4349458900910574
71,Afghanistan,AFG,2029,0.4349458900910574
