,Nation,iso_code3,Year,fuelefficiency_trns_public_natural_gas_km_per_litre
0,Aruba,ABW,2023,1.00172921265
1,Aruba,ABW,2024,1.00172921265
2,Aruba,ABW,2025,1.00172921265
3,Aruba,ABW,2026,1.00172921265
4,Aruba,ABW,2027,1.00172921265
5,Aruba,ABW,2028,1.00172921265
6,Aruba,ABW,2029,1.00172921265
7,Aruba,ABW,2030,1.00172921265
8,Aruba,ABW,2031,1.00172921265
9,Aruba,ABW,2032,1.00172921265
10,Aruba,ABW,2033,1.00172921265
11,Aruba,ABW,2034,1.00172921265
12,Aruba,ABW,2035,1.00172921265
13,Aruba,ABW,2036,1.00172921265
14,Aruba,ABW,2037,1.00172921265
15,Aruba,ABW,2038,1.00172921265
16,Aruba,ABW,2039,1.00172921265
17,Aruba,ABW,2040,1.00172921265
18,Aruba,ABW,2041,1.00172921265
19,Aruba,ABW,2042,1.00172921265
20,Aruba,ABW,2043,1.00172921265
21,Aruba,ABW,2044,1.00172921265
22,Aruba,ABW,2045,1.00172921265
23,Aruba,ABW,2046,1.00172921265
24,Aruba,ABW,2047,1.00172921265
25,Aruba,ABW,2048,1.00172921265
26,Aruba,ABW,2049,1.00172921265
27,Aruba,ABW,2050,1.00172921265
28,Africa Eastern and Southern,AFE,2023,1.00172921265
29,Africa Eastern and Southern,AFE,2024,1.00172921265
30,Africa Eastern and Southern,AFE,2025,1.00172921265
31,Africa Eastern and Southern,AFE,2026,1.00172921265
32,Africa Eastern and Southern,AFE,2027,1.00172921265
33,Africa Eastern and Southern,AFE,2028,1.00172921265
34,Africa Eastern and Southern,AFE,2029,1.00172921265
35,Africa Eastern and Southern,AFE,2030,1.00172921265
36,Africa Eastern and Southern,AFE,2031,1.00172921265
37,Africa Eastern and Southern,AFE,2032,1.00172921265
38,Africa Eastern and Southern,AFE,2033,1.00172921265
39,Africa Eastern and Southern,AFE,2034,1.00172921265
40,Africa Eastern and Southern,AFE,2035,1.00172921265
41,Africa Eastern and Southern,AFE,2036,1.00172921265
42,Africa Eastern and Southern,AFE,2037,1.00172921265
43,Africa Eastern and Southern,AFE,2038,1.00172921265
44,Africa Eastern and Southern,AFE,2039,1.00172921265
45,Africa Eastern and Southern,AFE,2040,1.00172921265
46,Africa Eastern and Southern,AFE,2041,1.00172921265
47,Africa Eastern and Southern,AFE,2042,1.00172921265
48,Africa Eastern and Southern,AFE,2043,1.00172921265
49,Africa Eastern and Southern,AFE,2044,1.00172921265
50,Africa Eastern and Southern,AFE,2045,1.00172921265
51,Africa Eastern and Southern,AFE,2046,1.00172921265
52,Africa Eastern and Southern,AFE,2047,1.00172921265
53,Africa Eastern and Southern,AFE,2048,1.00172921265
54,Africa Eastern and Southern,AFE,2049,1.00172921265
55,Africa Eastern and Southern,AFE,2050,1.00172921265
56,Afghanistan,AFG,2023,1.00172921265
57,Afghanistan,AFG,2024,1.00172921265
58,Afghanistan,AFG,2025,1.00172921265
59,Afghanistan,AFG,2026,1.00172921265
60,Afghanistan,AFG,2027,1.00172921265
61,Afghanistan,AFG,2028,1.00172921265
62,Afghanistan,AFG,2029,1.00172921265
63,Afghanistan,AFG,2030,1.00172921265
64,Afghanistan,AFG,2031,1.00172921265
65,Afghanistan,AFG,2032,1.00172921265
66,Afghanistan,AFG,2033,1.00172921265
67,Afghanistan,AFG,2034,1.00172921265
68,Afghanistan,AFG,2035,1.00172921265
69,Afghanistan,AFG,2036,1.00172921265
70,Afghanistan,AFG,2037,1.00172921265
71,Afghanistan,AFG,2038,1.00172921265
72,Afghanistan,AFG,2039,1.00172921265
73,Afghanistan,AFG,2040,1.00172921265
74,Afghanistan,AFG,2041,1.00172921265
75,Afghanistan,AFG,2042,1.00172921265
76,Afghanistan,AFG,2043,1.00172921265
77,Afghanistan,AFG,2044,1.00172921265
78,Afghanistan,AFG,2045,1.00172921265
79,Afghanistan,AFG,2046,1.00172921265
80,Afghanistan,AFG,2047,1.00172921265
81,Afghanistan,AFG,2048,1.00172921265
82,Afghanistan,AFG,2049,1.00172921265
83,Afghanistan,AFG,2050,1.00172921265
84,Africa Western and Central,AFW,2023,1.00172921265
85,Africa Western and Central,AFW,2024,1.00172921265
86,Africa Western and Central,AFW,2025,1.00172921265
87,Africa Western and Central,AFW,2026,1.00172921265
88,Africa Western and Central,AFW,2027,1.00172921265
89,Africa Western and Central,AFW,2028,1.00172921265
90,Africa Western and Central,AFW,2029,1.00172921265
91,Africa Western and Central,AFW,2030,1.00172921265
