,Nation,iso_code3,Year,nemomod_enst_capital_cost_st_batteries_usd_per_kwh
0,Aruba,ABW,2020,0.07
1,Aruba,ABW,2021,0.07
2,Aruba,ABW,2022,0.07
3,Aruba,ABW,2023,0.07
4,Aruba,ABW,2024,0.07
5,Aruba,ABW,2025,0.07
6,Aruba,ABW,2026,0.07
7,Aruba,ABW,2027,0.07
8,Aruba,ABW,2028,0.07
9,Aruba,ABW,2029,0.07
10,Aruba,ABW,2030,0.07
11,Aruba,ABW,2031,0.07
12,Aruba,ABW,2032,0.07
13,Aruba,ABW,2033,0.07
14,Aruba,ABW,2034,0.07
15,Aruba,ABW,2035,0.07
16,Aruba,ABW,2036,0.07
17,Aruba,ABW,2037,0.07
18,Aruba,ABW,2038,0.07
19,Aruba,ABW,2039,0.07
20,Aruba,ABW,2040,0.07
21,Aruba,ABW,2041,0.07
22,Aruba,ABW,2042,0.07
23,Aruba,ABW,2043,0.07
24,Aruba,ABW,2044,0.07
25,Aruba,ABW,2045,0.07
26,Aruba,ABW,2046,0.07
27,Aruba,ABW,2047,0.07
28,Aruba,ABW,2048,0.07
29,Aruba,ABW,2049,0.07
30,Aruba,ABW,2050,0.07
31,Africa Eastern and Southern,AFE,2020,0.07
32,Africa Eastern and Southern,AFE,2021,0.07
33,Africa Eastern and Southern,AFE,2022,0.07
34,Africa Eastern and Southern,AFE,2023,0.07
35,Africa Eastern and Southern,AFE,2024,0.07
36,Africa Eastern and Southern,AFE,2025,0.07
37,Africa Eastern and Southern,AFE,2026,0.07
38,Africa Eastern and Southern,AFE,2027,0.07
39,Africa Eastern and Southern,AFE,2028,0.07
40,Africa Eastern and Southern,AFE,2029,0.07
41,Africa Eastern and Southern,AFE,2030,0.07
42,Africa Eastern and Southern,AFE,2031,0.07
43,Africa Eastern and Southern,AFE,2032,0.07
44,Africa Eastern and Southern,AFE,2033,0.07
45,Africa Eastern and Southern,AFE,2034,0.07
46,Africa Eastern and Southern,AFE,2035,0.07
47,Africa Eastern and Southern,AFE,2036,0.07
48,Africa Eastern and Southern,AFE,2037,0.07
49,Africa Eastern and Southern,AFE,2038,0.07
50,Africa Eastern and Southern,AFE,2039,0.07
51,Africa Eastern and Southern,AFE,2040,0.07
52,Africa Eastern and Southern,AFE,2041,0.07
53,Africa Eastern and Southern,AFE,2042,0.07
54,Africa Eastern and Southern,AFE,2043,0.07
55,Africa Eastern and Southern,AFE,2044,0.07
56,Africa Eastern and Southern,AFE,2045,0.07
57,Africa Eastern and Southern,AFE,2046,0.07
58,Africa Eastern and Southern,AFE,2047,0.07
59,Africa Eastern and Southern,AFE,2048,0.07
60,Africa Eastern and Southern,AFE,2049,0.07
61,Africa Eastern and Southern,AFE,2050,0.07
62,Afghanistan,AFG,2020,0.07
63,Afghanistan,AFG,2021,0.07
64,Afghanistan,AFG,2022,0.07
65,Afghanistan,AFG,2023,0.07
66,Afghanistan,AFG,2024,0.07
67,Afghanistan,AFG,2025,0.07
68,Afghanistan,AFG,2026,0.07
69,Afghanistan,AFG,2027,0.07
70,Afghanistan,AFG,2028,0.07
71,Afghanistan,AFG,2029,0.07
72,Afghanistan,AFG,2030,0.07
73,Afghanistan,AFG,2031,0.07
74,Afghanistan,AFG,2032,0.07
75,Afghanistan,AFG,2033,0.07
76,Afghanistan,AFG,2034,0.07
77,Afghanistan,AFG,2035,0.07
78,Afghanistan,AFG,2036,0.07
79,Afghanistan,AFG,2037,0.07
80,Afghanistan,AFG,2038,0.07
81,Afghanistan,AFG,2039,0.07
82,Afghanistan,AFG,2040,0.07
83,Afghanistan,AFG,2041,0.07
84,Afghanistan,AFG,2042,0.07
85,Afghanistan,AFG,2043,0.07
86,Afghanistan,AFG,2044,0.07
87,Afghanistan,AFG,2045,0.07
88,Afghanistan,AFG,2046,0.07
89,Afghanistan,AFG,2047,0.07
90,Afghanistan,AFG,2048,0.07
91,Afghanistan,AFG,2049,0.07
92,Afghanistan,AFG,2050,0.07
93,Africa Western and Central,AFW,2020,0.07
94,Africa Western and Central,AFW,2021,0.07
95,Africa Western and Central,AFW,2022,0.07
96,Africa Western and Central,AFW,2023,0.07
