,Nation,iso_code3,Year,fuelefficiency_trns_aviation_kerosene_km_per_litre
0,Aruba,ABW,2023,0.087
1,Aruba,ABW,2024,0.087
2,Aruba,ABW,2025,0.087
3,Aruba,ABW,2026,0.087
4,Aruba,ABW,2027,0.087
5,Aruba,ABW,2028,0.087
6,Aruba,ABW,2029,0.087
7,Aruba,ABW,2030,0.087
8,Aruba,ABW,2031,0.087
9,Aruba,ABW,2032,0.087
10,Aruba,ABW,2033,0.087
11,Aruba,ABW,2034,0.087
12,Aruba,ABW,2035,0.087
13,Aruba,ABW,2036,0.087
14,Aruba,ABW,2037,0.087
15,Aruba,ABW,2038,0.087
16,Aruba,ABW,2039,0.087
17,Aruba,ABW,2040,0.087
18,Aruba,ABW,2041,0.087
19,Aruba,ABW,2042,0.087
20,Aruba,ABW,2043,0.087
21,Aruba,ABW,2044,0.087
22,Aruba,ABW,2045,0.087
23,Aruba,ABW,2046,0.087
24,Aruba,ABW,2047,0.087
25,Aruba,ABW,2048,0.087
26,Aruba,ABW,2049,0.087
27,Aruba,ABW,2050,0.087
28,Africa Eastern and Southern,AFE,2023,0.087
29,Africa Eastern and Southern,AFE,2024,0.087
30,Africa Eastern and Southern,AFE,2025,0.087
31,Africa Eastern and Southern,AFE,2026,0.087
32,Africa Eastern and Southern,AFE,2027,0.087
33,Africa Eastern and Southern,AFE,2028,0.087
34,Africa Eastern and Southern,AFE,2029,0.087
35,Africa Eastern and Southern,AFE,2030,0.087
36,Africa Eastern and Southern,AFE,2031,0.087
37,Africa Eastern and Southern,AFE,2032,0.087
38,Africa Eastern and Southern,AFE,2033,0.087
39,Africa Eastern and Southern,AFE,2034,0.087
40,Africa Eastern and Southern,AFE,2035,0.087
41,Africa Eastern and Southern,AFE,2036,0.087
42,Africa Eastern and Southern,AFE,2037,0.087
43,Africa Eastern and Southern,AFE,2038,0.087
44,Africa Eastern and Southern,AFE,2039,0.087
45,Africa Eastern and Southern,AFE,2040,0.087
46,Africa Eastern and Southern,AFE,2041,0.087
47,Africa Eastern and Southern,AFE,2042,0.087
48,Africa Eastern and Southern,AFE,2043,0.087
49,Africa Eastern and Southern,AFE,2044,0.087
50,Africa Eastern and Southern,AFE,2045,0.087
51,Africa Eastern and Southern,AFE,2046,0.087
52,Africa Eastern and Southern,AFE,2047,0.087
53,Africa Eastern and Southern,AFE,2048,0.087
54,Africa Eastern and Southern,AFE,2049,0.087
55,Africa Eastern and Southern,AFE,2050,0.087
56,Afghanistan,AFG,2023,0.087
57,Afghanistan,AFG,2024,0.087
58,Afghanistan,AFG,2025,0.087
59,Afghanistan,AFG,2026,0.087
60,Afghanistan,AFG,2027,0.087
61,Afghanistan,AFG,2028,0.087
62,Afghanistan,AFG,2029,0.087
63,Afghanistan,AFG,2030,0.087
64,Afghanistan,AFG,2031,0.087
65,Afghanistan,AFG,2032,0.087
66,Afghanistan,AFG,2033,0.087
67,Afghanistan,AFG,2034,0.087
68,Afghanistan,AFG,2035,0.087
69,Afghanistan,AFG,2036,0.087
70,Afghanistan,AFG,2037,0.087
71,Afghanistan,AFG,2038,0.087
72,Afghanistan,AFG,2039,0.087
73,Afghanistan,AFG,2040,0.087
74,Afghanistan,AFG,2041,0.087
75,Afghanistan,AFG,2042,0.087
76,Afghanistan,AFG,2043,0.087
77,Afghanistan,AFG,2044,0.087
78,Afghanistan,AFG,2045,0.087
79,Afghanistan,AFG,2046,0.087
80,Afghanistan,AFG,2047,0.087
81,Afghanistan,AFG,2048,0.087
82,Afghanistan,AFG,2049,0.087
83,Afghanistan,AFG,2050,0.087
84,Africa Western and Central,AFW,2023,0.087
85,Africa Western and Central,AFW,2024,0.087
86,Africa Western and Central,AFW,2025,0.087
87,Africa Western and Central,AFW,2026,0.087
88,Africa Western and Central,AFW,2027,0.087
89,Africa Western and Central,AFW,2028,0.087
90,Africa Western and Central,AFW,2029,0.087
91,Africa Western and Central,AFW,2030,0.087
92,Africa Western and Central,AFW,2031,0.087
93,Africa Western and Central,AFW,2032,0.087
94,Africa Western and Central,AFW,2033,0.087
95,Africa Western and Central,AFW,2034,0.087
96,Africa Western and Central,AFW,2035,0.087
97,Africa Western and Central,AFW,2036,0.087
98,Africa Western and Central,AFW,2037,0.087
99,Africa Western and Central,AFW,2038,0.087
100,Africa Western and Central,AFW,2039,0.087
101,Africa Western and Central,AFW,2040,0.087
102,Africa Western and Central,AFW,2041,0.087
103,Africa Western and Central,AFW,2042,0.087
104,Africa Western and Central,AFW,2043,0.087
105,Africa Western and Central,AFW,2044,0.087
106,Africa Western and Central,AFW,2045,0.087
107,Africa Western and Central,AFW,2046,0.087
108,Africa Western and Central,AFW,2047,0.087
109,Africa Western and Central,AFW,2048,0.087
110,Africa Western and Central,AFW,2049,0.087
111,Africa Western and Central,AFW,2050,0.087
112,Angola,AGO,2023,0.087
113,Angola,AGO,2024,0.087
114,Angola,AGO,2025,0.087
115,Angola,AGO,2026,0.087
116,Angola,AGO,2027,0.087
117,Angola,AGO,2028,0.087
118,Angola,AGO,2029,0.087
119,Angola,AGO,2030,0.087
120,Angola,AGO,2031,0.087
121,Angola,AGO,2032,0.087
122,Angola,AGO,2033,0.087
123,Angola,AGO,2034,0.087
124,Angola,AGO,2035,0.087
125,Angola,AGO,2036,0.087
126,Angola,AGO,2037,0.087
127,Angola,AGO,2038,0.087
128,Angola,AGO,2039,0.087
129,Angola,AGO,2040,0.087
130,Angola,AGO,2041,0.087
131,Angola,AGO,2042,0.087
132,Angola,AGO,2043,0.087
133,Angola,AGO,2044,0.087
134,Angola,AGO,2045,0.087
135,Angola,AGO,2046,0.087
136,Angola,AGO,2047,0.087
137,Angola,AGO,2048,0.087
138,Angola,AGO,2049,0.087
139,Angola,AGO,2050,0.087
140,Albania,ALB,2023,0.087
141,Albania,ALB,2024,0.087
142,Albania,ALB,2025,0.087
143,Albania,ALB,2026,0.087
144,Albania,ALB,2027,0.087
145,Albania,ALB,2028,0.087
146,Albania,ALB,2029,0.087
147,Albania,ALB,2030,0.087
148,Albania,ALB,2031,0.087
149,Albania,ALB,2032,0.087
150,Albania,ALB,2033,0.087
151,Albania,ALB,2034,0.087
152,Albania,ALB,2035,0.087
153,Albania,ALB,2036,0.087
154,Albania,ALB,2037,0.087
155,Albania,ALB,2038,0.087
156,Albania,ALB,2039,0.087
157,Albania,ALB,2040,0.087
158,Albania,ALB,2041,0.087
159,Albania,ALB,2042,0.087
160,Albania,ALB,2043,0.087
161,Albania,ALB,2044,0.087
162,Albania,ALB,2045,0.087
163,Albania,ALB,2046,0.087
164,Albania,ALB,2047,0.087
165,Albania,ALB,2048,0.087
166,Albania,ALB,2049,0.087
167,Albania,ALB,2050,0.087
168,Andorra,AND,2023,0.087
169,Andorra,AND,2024,0.087
170,Andorra,AND,2025,0.087
171,Andorra,AND,2026,0.087
172,Andorra,AND,2027,0.087
173,Andorra,AND,2028,0.087
174,Andorra,AND,2029,0.087
175,Andorra,AND,2030,0.087
176,Andorra,AND,2031,0.087
177,Andorra,AND,2032,0.087
178,Andorra,AND,2033,0.087
179,Andorra,AND,2034,0.087
180,Andorra,AND,2035,0.087
181,Andorra,AND,2036,0.087
182,Andorra,AND,2037,0.087
183,Andorra,AND,2038,0.087
184,Andorra,AND,2039,0.087
185,Andorra,AND,2040,0.087
186,Andorra,AND,2041,0.087
187,Andorra,AND,2042,0.087
188,Andorra,AND,2043,0.087
189,Andorra,AND,2044,0.087
190,Andorra,AND,2045,0.087
191,Andorra,AND,2046,0.087
192,Andorra,AND,2047,0.087
193,Andorra,AND,2048,0.087
194,Andorra,AND,2049,0.087
195,Andorra,AND,2050,0.087
196,Arab World,ARB,2023,0.087
197,Arab World,ARB,2024,0.087
198,Arab World,ARB,2025,0.087
199,Arab World,ARB,2026,0.087
200,Arab World,ARB,2027,0.087
201,Arab World,ARB,2028,0.087
202,Arab World,ARB,2029,0.087
203,Arab World,ARB,2030,0.087
204,Arab World,ARB,2031,0.087
205,Arab World,ARB,2032,0.087
206,Arab World,ARB,2033,0.087
207,Arab World,ARB,2034,0.087
208,Arab World,ARB,2035,0.087
209,Arab World,ARB,2036,0.087
210,Arab World,ARB,2037,0.087
211,Arab World,ARB,2038,0.087
212,Arab World,ARB,2039,0.087
213,Arab World,ARB,2040,0.087
214,Arab World,ARB,2041,0.087
215,Arab World,ARB,2042,0.087
216,Arab World,ARB,2043,0.087
217,Arab World,ARB,2044,0.087
218,Arab World,ARB,2045,0.087
219,Arab World,ARB,2046,0.087
220,Arab World,ARB,2047,0.087
221,Arab World,ARB,2048,0.087
222,Arab World,ARB,2049,0.087
223,Arab World,ARB,2050,0.087
224,United Arab Emirates,ARE,2023,0.087
225,United Arab Emirates,ARE,2024,0.087
226,United Arab Emirates,ARE,2025,0.087
227,United Arab Emirates,ARE,2026,0.087
228,United Arab Emirates,ARE,2027,0.087
229,United Arab Emirates,ARE,2028,0.087
230,United Arab Emirates,ARE,2029,0.087
231,United Arab Emirates,ARE,2030,0.087
232,United Arab Emirates,ARE,2031,0.087
233,United Arab Emirates,ARE,2032,0.087
234,United Arab Emirates,ARE,2033,0.087
235,United Arab Emirates,ARE,2034,0.087
236,United Arab Emirates,ARE,2035,0.087
237,United Arab Emirates,ARE,2036,0.087
238,United Arab Emirates,ARE,2037,0.087
239,United Arab Emirates,ARE,2038,0.087
240,United Arab Emirates,ARE,2039,0.087
241,United Arab Emirates,ARE,2040,0.087
242,United Arab Emirates,ARE,2041,0.087
243,United Arab Emirates,ARE,2042,0.087
244,United Arab Emirates,ARE,2043,0.087
245,United Arab Emirates,ARE,2044,0.087
246,United Arab Emirates,ARE,2045,0.087
247,United Arab Emirates,ARE,2046,0.087
248,United Arab Emirates,ARE,2047,0.087
249,United Arab Emirates,ARE,2048,0.087
250,United Arab Emirates,ARE,2049,0.087
251,United Arab Emirates,ARE,2050,0.087
252,Argentina,ARG,2023,0.087
253,Argentina,ARG,2024,0.087
254,Argentina,ARG,2025,0.087
255,Argentina,ARG,2026,0.087
256,Argentina,ARG,2027,0.087
257,Argentina,ARG,2028,0.087
258,Argentina,ARG,2029,0.087
259,Argentina,ARG,2030,0.087
260,Argentina,ARG,2031,0.087
261,Argentina,ARG,2032,0.087
262,Argentina,ARG,2033,0.087
263,Argentina,ARG,2034,0.087
264,Argentina,ARG,2035,0.087
265,Argentina,ARG,2036,0.087
266,Argentina,ARG,2037,0.087
267,Argentina,ARG,2038,0.087
268,Argentina,ARG,2039,0.087
269,Argentina,ARG,2040,0.087
270,Argentina,ARG,2041,0.087
271,Argentina,ARG,2042,0.087
272,Argentina,ARG,2043,0.087
273,Argentina,ARG,2044,0.087
274,Argentina,ARG,2045,0.087
275,Argentina,ARG,2046,0.087
276,Argentina,ARG,2047,0.087
277,Argentina,ARG,2048,0.087
278,Argentina,ARG,2049,0.087
279,Argentina,ARG,2050,0.087
280,Armenia,ARM,2023,0.087
281,Armenia,ARM,2024,0.087
282,Armenia,ARM,2025,0.087
283,Armenia,ARM,2026,0.087
284,Armenia,ARM,2027,0.087
285,Armenia,ARM,2028,0.087
286,Armenia,ARM,2029,0.087
287,Armenia,ARM,2030,0.087
288,Armenia,ARM,2031,0.087
289,Armenia,ARM,2032,0.087
290,Armenia,ARM,2033,0.087
291,Armenia,ARM,2034,0.087
292,Armenia,ARM,2035,0.087
293,Armenia,ARM,2036,0.087
294,Armenia,ARM,2037,0.087
295,Armenia,ARM,2038,0.087
296,Armenia,ARM,2039,0.087
297,Armenia,ARM,2040,0.087
298,Armenia,ARM,2041,0.087
299,Armenia,ARM,2042,0.087
300,Armenia,ARM,2043,0.087
301,Armenia,ARM,2044,0.087
302,Armenia,ARM,2045,0.087
303,Armenia,ARM,2046,0.087
304,Armenia,ARM,2047,0.087
305,Armenia,ARM,2048,0.087
306,Armenia,ARM,2049,0.087
307,Armenia,ARM,2050,0.087
308,American Samoa,ASM,2023,0.087
309,American Samoa,ASM,2024,0.087
310,American Samoa,ASM,2025,0.087
311,American Samoa,ASM,2026,0.087
312,American Samoa,ASM,2027,0.087
313,American Samoa,ASM,2028,0.087
314,American Samoa,ASM,2029,0.087
315,American Samoa,ASM,2030,0.087
316,American Samoa,ASM,2031,0.087
317,American Samoa,ASM,2032,0.087
318,American Samoa,ASM,2033,0.087
319,American Samoa,ASM,2034,0.087
320,American Samoa,ASM,2035,0.087
321,American Samoa,ASM,2036,0.087
322,American Samoa,ASM,2037,0.087
323,American Samoa,ASM,2038,0.087
324,American Samoa,ASM,2039,0.087
325,American Samoa,ASM,2040,0.087
326,American Samoa,ASM,2041,0.087
327,American Samoa,ASM,2042,0.087
328,American Samoa,ASM,2043,0.087
329,American Samoa,ASM,2044,0.087
330,American Samoa,ASM,2045,0.087
