,Nation,iso_code3,Year,frac_scoe_heat_energy_other_se_coal
0,Aruba,ABW,2020,0.0581930696526838
1,Aruba,ABW,2021,0.0581930696526838
2,Aruba,ABW,2022,0.0581930696526838
3,Aruba,ABW,2023,0.0581930696526838
4,Aruba,ABW,2024,0.0581930696526838
5,Aruba,ABW,2025,0.0581930696526838
6,Aruba,ABW,2026,0.0581930696526838
7,Aruba,ABW,2027,0.0581930696526838
8,Aruba,ABW,2028,0.0581930696526838
9,Aruba,ABW,2029,0.0581930696526838
10,Aruba,ABW,2030,0.0581930696526838
11,Aruba,ABW,2031,0.0581930696526838
12,Aruba,ABW,2032,0.0581930696526838
13,Aruba,ABW,2033,0.0581930696526838
14,Aruba,ABW,2034,0.0581930696526838
15,Aruba,ABW,2035,0.0581930696526838
16,Aruba,ABW,2036,0.0581930696526838
17,Aruba,ABW,2037,0.0581930696526838
18,Aruba,ABW,2038,0.0581930696526838
19,Aruba,ABW,2039,0.0581930696526838
20,Aruba,ABW,2040,0.0581930696526838
21,Aruba,ABW,2041,0.0581930696526838
22,Aruba,ABW,2042,0.0581930696526838
23,Aruba,ABW,2043,0.0581930696526838
24,Aruba,ABW,2044,0.0581930696526838
25,Aruba,ABW,2045,0.0581930696526838
26,Aruba,ABW,2046,0.0581930696526838
27,Aruba,ABW,2047,0.0581930696526838
28,Aruba,ABW,2048,0.0581930696526838
29,Aruba,ABW,2049,0.0581930696526838
30,Aruba,ABW,2050,0.0581930696526838
31,Africa Eastern and Southern,AFE,2020,0.0581930696526838
32,Africa Eastern and Southern,AFE,2021,0.0581930696526838
33,Africa Eastern and Southern,AFE,2022,0.0581930696526838
34,Africa Eastern and Southern,AFE,2023,0.0581930696526838
35,Africa Eastern and Southern,AFE,2024,0.0581930696526838
36,Africa Eastern and Southern,AFE,2025,0.0581930696526838
37,Africa Eastern and Southern,AFE,2026,0.0581930696526838
38,Africa Eastern and Southern,AFE,2027,0.0581930696526838
39,Africa Eastern and Southern,AFE,2028,0.0581930696526838
40,Africa Eastern and Southern,AFE,2029,0.0581930696526838
41,Africa Eastern and Southern,AFE,2030,0.0581930696526838
42,Africa Eastern and Southern,AFE,2031,0.0581930696526838
43,Africa Eastern and Southern,AFE,2032,0.0581930696526838
44,Africa Eastern and Southern,AFE,2033,0.0581930696526838
45,Africa Eastern and Southern,AFE,2034,0.0581930696526838
46,Africa Eastern and Southern,AFE,2035,0.0581930696526838
47,Africa Eastern and Southern,AFE,2036,0.0581930696526838
48,Africa Eastern and Southern,AFE,2037,0.0581930696526838
49,Africa Eastern and Southern,AFE,2038,0.0581930696526838
50,Africa Eastern and Southern,AFE,2039,0.0581930696526838
51,Africa Eastern and Southern,AFE,2040,0.0581930696526838
52,Africa Eastern and Southern,AFE,2041,0.0581930696526838
53,Africa Eastern and Southern,AFE,2042,0.0581930696526838
54,Africa Eastern and Southern,AFE,2043,0.0581930696526838
55,Africa Eastern and Southern,AFE,2044,0.0581930696526838
56,Africa Eastern and Southern,AFE,2045,0.0581930696526838
57,Africa Eastern and Southern,AFE,2046,0.0581930696526838
58,Africa Eastern and Southern,AFE,2047,0.0581930696526838
59,Africa Eastern and Southern,AFE,2048,0.0581930696526838
60,Africa Eastern and Southern,AFE,2049,0.0581930696526838
61,Africa Eastern and Southern,AFE,2050,0.0581930696526838
62,Afghanistan,AFG,2020,0.0581930696526838
63,Afghanistan,AFG,2021,0.0581930696526838
64,Afghanistan,AFG,2022,0.0581930696526838
65,Afghanistan,AFG,2023,0.0581930696526838
66,Afghanistan,AFG,2024,0.0581930696526838
67,Afghanistan,AFG,2025,0.0581930696526838
68,Afghanistan,AFG,2026,0.0581930696526838
69,Afghanistan,AFG,2027,0.0581930696526838
70,Afghanistan,AFG,2028,0.0581930696526838
71,Afghanistan,AFG,2029,0.0581930696526838
72,Afghanistan,AFG,2030,0.0581930696526838
73,Afghanistan,AFG,2031,0.0581930696526838
74,Afghanistan,AFG,2032,0.0581930696526838
75,Afghanistan,AFG,2033,0.0581930696526838
76,Afghanistan,AFG,2034,0.0581930696526838
77,Afghanistan,AFG,2035,0.0581930696526838
