,Nation,iso_code3,Year,fuelefficiency_trns_rail_passenger_diesel_km_per_litre
0,Aruba,ABW,2023,3.2
1,Aruba,ABW,2024,3.2
2,Aruba,ABW,2025,3.2
3,Aruba,ABW,2026,3.2
4,Aruba,ABW,2027,3.2
5,Aruba,ABW,2028,3.2
6,Aruba,ABW,2029,3.2
7,Aruba,ABW,2030,3.2
8,Aruba,ABW,2031,3.2
9,Aruba,ABW,2032,3.2
10,Aruba,ABW,2033,3.2
11,Aruba,ABW,2034,3.2
12,Aruba,ABW,2035,3.2
13,Aruba,ABW,2036,3.2
14,Aruba,ABW,2037,3.2
15,Aruba,ABW,2038,3.2
16,Aruba,ABW,2039,3.2
17,Aruba,ABW,2040,3.2
18,Aruba,ABW,2041,3.2
19,Aruba,ABW,2042,3.2
20,Aruba,ABW,2043,3.2
21,Aruba,ABW,2044,3.2
22,Aruba,ABW,2045,3.2
23,Aruba,ABW,2046,3.2
24,Aruba,ABW,2047,3.2
25,Aruba,ABW,2048,3.2
26,Aruba,ABW,2049,3.2
27,Aruba,ABW,2050,3.2
28,Africa Eastern and Southern,AFE,2023,3.2
29,Africa Eastern and Southern,AFE,2024,3.2
30,Africa Eastern and Southern,AFE,2025,3.2
31,Africa Eastern and Southern,AFE,2026,3.2
32,Africa Eastern and Southern,AFE,2027,3.2
33,Africa Eastern and Southern,AFE,2028,3.2
34,Africa Eastern and Southern,AFE,2029,3.2
35,Africa Eastern and Southern,AFE,2030,3.2
36,Africa Eastern and Southern,AFE,2031,3.2
37,Africa Eastern and Southern,AFE,2032,3.2
38,Africa Eastern and Southern,AFE,2033,3.2
39,Africa Eastern and Southern,AFE,2034,3.2
40,Africa Eastern and Southern,AFE,2035,3.2
41,Africa Eastern and Southern,AFE,2036,3.2
42,Africa Eastern and Southern,AFE,2037,3.2
43,Africa Eastern and Southern,AFE,2038,3.2
44,Africa Eastern and Southern,AFE,2039,3.2
45,Africa Eastern and Southern,AFE,2040,3.2
46,Africa Eastern and Southern,AFE,2041,3.2
47,Africa Eastern and Southern,AFE,2042,3.2
48,Africa Eastern and Southern,AFE,2043,3.2
49,Africa Eastern and Southern,AFE,2044,3.2
50,Africa Eastern and Southern,AFE,2045,3.2
51,Africa Eastern and Southern,AFE,2046,3.2
52,Africa Eastern and Southern,AFE,2047,3.2
53,Africa Eastern and Southern,AFE,2048,3.2
54,Africa Eastern and Southern,AFE,2049,3.2
55,Africa Eastern and Southern,AFE,2050,3.2
56,Afghanistan,AFG,2023,3.2
57,Afghanistan,AFG,2024,3.2
58,Afghanistan,AFG,2025,3.2
59,Afghanistan,AFG,2026,3.2
60,Afghanistan,AFG,2027,3.2
61,Afghanistan,AFG,2028,3.2
62,Afghanistan,AFG,2029,3.2
63,Afghanistan,AFG,2030,3.2
64,Afghanistan,AFG,2031,3.2
65,Afghanistan,AFG,2032,3.2
66,Afghanistan,AFG,2033,3.2
67,Afghanistan,AFG,2034,3.2
68,Afghanistan,AFG,2035,3.2
69,Afghanistan,AFG,2036,3.2
70,Afghanistan,AFG,2037,3.2
71,Afghanistan,AFG,2038,3.2
72,Afghanistan,AFG,2039,3.2
73,Afghanistan,AFG,2040,3.2
74,Afghanistan,AFG,2041,3.2
