,Nation,iso_code3,Year,fuelefficiency_trns_rail_freight_natural_gas_km_per_litre
0,Aruba,ABW,2023,3.76647834275
1,Aruba,ABW,2024,3.76647834275
2,Aruba,ABW,2025,3.76647834275
3,Aruba,ABW,2026,3.76647834275
4,Aruba,ABW,2027,3.76647834275
5,Aruba,ABW,2028,3.76647834275
6,Aruba,ABW,2029,3.76647834275
7,Aruba,ABW,2030,3.76647834275
8,Aruba,ABW,2031,3.76647834275
9,Aruba,ABW,2032,3.76647834275
10,Aruba,ABW,2033,3.76647834275
11,Aruba,ABW,2034,3.76647834275
12,Aruba,ABW,2035,3.76647834275
13,Aruba,ABW,2036,3.76647834275
14,Aruba,ABW,2037,3.76647834275
15,Aruba,ABW,2038,3.76647834275
16,Aruba,ABW,2039,3.76647834275
17,Aruba,ABW,2040,3.76647834275
18,Aruba,ABW,2041,3.76647834275
19,Aruba,ABW,2042,3.76647834275
20,Aruba,ABW,2043,3.76647834275
21,Aruba,ABW,2044,3.76647834275
22,Aruba,ABW,2045,3.76647834275
23,Aruba,ABW,2046,3.76647834275
24,Aruba,ABW,2047,3.76647834275
25,Aruba,ABW,2048,3.76647834275
26,Aruba,ABW,2049,3.76647834275
27,Aruba,ABW,2050,3.76647834275
28,Africa Eastern and Southern,AFE,2023,3.76647834275
29,Africa Eastern and Southern,AFE,2024,3.76647834275
30,Africa Eastern and Southern,AFE,2025,3.76647834275
31,Africa Eastern and Southern,AFE,2026,3.76647834275
32,Africa Eastern and Southern,AFE,2027,3.76647834275
33,Africa Eastern and Southern,AFE,2028,3.76647834275
34,Africa Eastern and Southern,AFE,2029,3.76647834275
35,Africa Eastern and Southern,AFE,2030,3.76647834275
36,Africa Eastern and Southern,AFE,2031,3.76647834275
37,Africa Eastern and Southern,AFE,2032,3.76647834275
38,Africa Eastern and Southern,AFE,2033,3.76647834275
39,Africa Eastern and Southern,AFE,2034,3.76647834275
40,Africa Eastern and Southern,AFE,2035,3.76647834275
41,Africa Eastern and Southern,AFE,2036,3.76647834275
42,Africa Eastern and Southern,AFE,2037,3.76647834275
43,Africa Eastern and Southern,AFE,2038,3.76647834275
44,Africa Eastern and Southern,AFE,2039,3.76647834275
45,Africa Eastern and Southern,AFE,2040,3.76647834275
46,Africa Eastern and Southern,AFE,2041,3.76647834275
47,Africa Eastern and Southern,AFE,2042,3.76647834275
48,Africa Eastern and Southern,AFE,2043,3.76647834275
49,Africa Eastern and Southern,AFE,2044,3.76647834275
50,Africa Eastern and Southern,AFE,2045,3.76647834275
51,Africa Eastern and Southern,AFE,2046,3.76647834275
52,Africa Eastern and Southern,AFE,2047,3.76647834275
53,Africa Eastern and Southern,AFE,2048,3.76647834275
54,Africa Eastern and Southern,AFE,2049,3.76647834275
55,Africa Eastern and Southern,AFE,2050,3.76647834275
56,Afghanistan,AFG,2023,3.76647834275
57,Afghanistan,AFG,2024,3.76647834275
58,Afghanistan,AFG,2025,3.76647834275
59,Afghanistan,AFG,2026,3.76647834275
60,Afghanistan,AFG,2027,3.76647834275
61,Afghanistan,AFG,2028,3.76647834275
62,Afghanistan,AFG,2029,3.76647834275
63,Afghanistan,AFG,2030,3.76647834275
