Year,Nation,iso_code3,frac_enfu_fuel_demand_imported_pj_fuel_hydrocarbon_gas_liquids
2032,singapore,SGP,0.5268711944861042
2033,singapore,SGP,0.5268711944861042
2034,singapore,SGP,0.5268711944861042
2035,singapore,SGP,0.5268711944861042
2036,singapore,SGP,0.5268711944861042
2037,singapore,SGP,0.5268711944861042
2038,singapore,SGP,0.5268711944861042
2039,singapore,SGP,0.5268711944861042
2040,singapore,SGP,0.5268711944861042
2041,singapore,SGP,0.5268711944861042
2042,singapore,SGP,0.5268711944861042
2043,singapore,SGP,0.5268711944861042
2044,singapore,SGP,0.5268711944861042
2045,singapore,SGP,0.5268711944861042
2046,singapore,SGP,0.5268711944861042
2047,singapore,SGP,0.5268711944861042
2048,singapore,SGP,0.5268711944861042
2049,singapore,SGP,0.5268711944861042
2050,singapore,SGP,0.5268711944861042
2017,slovak republic,SVK,0.18555050399872344
2018,slovak republic,SVK,0.18555050399872344
2019,slovak republic,SVK,0.18555050399872344
2020,slovak republic,SVK,0.18555050399872344
2021,slovak republic,SVK,0.18555050399872344
2022,slovak republic,SVK,0.18555050399872344
2023,slovak republic,SVK,0.18555050399872344
2024,slovak republic,SVK,0.18555050399872344
2025,slovak republic,SVK,0.18555050399872344
2026,slovak republic,SVK,0.18555050399872344
2027,slovak republic,SVK,0.18555050399872344
2028,slovak republic,SVK,0.18555050399872344
2029,slovak republic,SVK,0.18555050399872344
2030,slovak republic,SVK,0.18555050399872344
2031,slovak republic,SVK,0.18555050399872344
2032,slovak republic,SVK,0.18555050399872344
2033,slovak republic,SVK,0.18555050399872344
2034,slovak republic,SVK,0.18555050399872344
2035,slovak republic,SVK,0.18555050399872344
2036,slovak republic,SVK,0.18555050399872344
2037,slovak republic,SVK,0.18555050399872344
2038,slovak republic,SVK,0.18555050399872344
2039,slovak republic,SVK,0.18555050399872344
2040,slovak republic,SVK,0.18555050399872344
2041,slovak republic,SVK,0.18555050399872344
2042,slovak republic,SVK,0.18555050399872344
2043,slovak republic,SVK,0.18555050399872344
2044,slovak republic,SVK,0.18555050399872344
2045,slovak republic,SVK,0.18555050399872344
2046,slovak republic,SVK,0.18555050399872344
2047,slovak republic,SVK,0.18555050399872344
2048,slovak republic,SVK,0.18555050399872344
2049,slovak republic,SVK,0.18555050399872344
2050,slovak republic,SVK,0.18555050399872344
2017,slovenia,SVN,0.5053757081859793
2018,slovenia,SVN,0.5053757081859793
2019,slovenia,SVN,0.5053757081859793
2020,slovenia,SVN,0.5053757081859793
2021,slovenia,SVN,0.5053757081859793
2022,slovenia,SVN,0.5053757081859793
2023,slovenia,SVN,0.5053757081859793
2024,slovenia,SVN,0.5053757081859793
2025,slovenia,SVN,0.5053757081859793
2026,slovenia,SVN,0.5053757081859793
2027,slovenia,SVN,0.5053757081859793
2028,slovenia,SVN,0.5053757081859793
2029,slovenia,SVN,0.5053757081859793
2030,slovenia,SVN,0.5053757081859793
2031,slovenia,SVN,0.5053757081859793
2032,slovenia,SVN,0.5053757081859793
2033,slovenia,SVN,0.5053757081859793
2034,slovenia,SVN,0.5053757081859793
2035,slovenia,SVN,0.5053757081859793
2036,slovenia,SVN,0.5053757081859793
2037,slovenia,SVN,0.5053757081859793
2038,slovenia,SVN,0.5053757081859793
2039,slovenia,SVN,0.5053757081859793
2040,slovenia,SVN,0.5053757081859793
2041,slovenia,SVN,0.5053757081859793
2042,slovenia,SVN,0.5053757081859793
2043,slovenia,SVN,0.5053757081859793
2044,slovenia,SVN,0.5053757081859793
2045,slovenia,SVN,0.5053757081859793
2046,slovenia,SVN,0.5053757081859793
2047,slovenia,SVN,0.5053757081859793
2048,slovenia,SVN,0.5053757081859793
2049,slovenia,SVN,0.5053757081859793
2050,slovenia,SVN,0.5053757081859793
2017,south africa,ZAF,0.24125348413540001
2018,south africa,ZAF,0.24125348413540001
2019,south africa,ZAF,0.24125348413540001
2020,south africa,ZAF,0.24125348413540001
2021,south africa,ZAF,0.24125348413540001
2022,south africa,ZAF,0.24125348413540001
2023,south africa,ZAF,0.24125348413540001
2024,south africa,ZAF,0.24125348413540001
2025,south africa,ZAF,0.24125348413540001
2026,south africa,ZAF,0.24125348413540001
2027,south africa,ZAF,0.24125348413540001
2028,south africa,ZAF,0.24125348413540001
2029,south africa,ZAF,0.24125348413540001
2030,south africa,ZAF,0.24125348413540001
2031,south africa,ZAF,0.24125348413540001
2032,south africa,ZAF,0.24125348413540001
2033,south africa,ZAF,0.24125348413540001
2034,south africa,ZAF,0.24125348413540001
2035,south africa,ZAF,0.24125348413540001
2036,south africa,ZAF,0.24125348413540001
2037,south africa,ZAF,0.24125348413540001
2038,south africa,ZAF,0.24125348413540001
2039,south africa,ZAF,0.24125348413540001
2040,south africa,ZAF,0.24125348413540001
2041,south africa,ZAF,0.24125348413540001
2042,south africa,ZAF,0.24125348413540001
2043,south africa,ZAF,0.24125348413540001
2044,south africa,ZAF,0.24125348413540001
2045,south africa,ZAF,0.24125348413540001
2046,south africa,ZAF,0.24125348413540001
2047,south africa,ZAF,0.24125348413540001
2048,south africa,ZAF,0.24125348413540001
2049,south africa,ZAF,0.24125348413540001
2050,south africa,ZAF,0.24125348413540001
2017,spain,ESP,0.20657570248854504
2018,spain,ESP,0.20657570248854504
2019,spain,ESP,0.20657570248854504
2020,spain,ESP,0.20657570248854504
2021,spain,ESP,0.20657570248854504
2022,spain,ESP,0.20657570248854504
2023,spain,ESP,0.20657570248854504
2024,spain,ESP,0.20657570248854504
2025,spain,ESP,0.20657570248854504
2026,spain,ESP,0.20657570248854504
2027,spain,ESP,0.20657570248854504
2028,spain,ESP,0.20657570248854504
2029,spain,ESP,0.20657570248854504
2030,spain,ESP,0.20657570248854504
2031,spain,ESP,0.20657570248854504
2032,spain,ESP,0.20657570248854504
2033,spain,ESP,0.20657570248854504
2034,spain,ESP,0.20657570248854504
2035,spain,ESP,0.20657570248854504
2036,spain,ESP,0.20657570248854504
2037,spain,ESP,0.20657570248854504
2038,spain,ESP,0.20657570248854504
2039,spain,ESP,0.20657570248854504
2040,spain,ESP,0.20657570248854504
2041,spain,ESP,0.20657570248854504
2042,spain,ESP,0.20657570248854504
2043,spain,ESP,0.20657570248854504
2044,spain,ESP,0.20657570248854504
2045,spain,ESP,0.20657570248854504
2046,spain,ESP,0.20657570248854504
2047,spain,ESP,0.20657570248854504
2048,spain,ESP,0.20657570248854504
2049,spain,ESP,0.20657570248854504
2050,spain,ESP,0.20657570248854504
2017,sri lanka,LKA,0.42075686054884387
2018,sri lanka,LKA,0.42075686054884387
2019,sri lanka,LKA,0.42075686054884387
2020,sri lanka,LKA,0.42075686054884387
2021,sri lanka,LKA,0.42075686054884387
2022,sri lanka,LKA,0.42075686054884387
2023,sri lanka,LKA,0.42075686054884387
2024,sri lanka,LKA,0.42075686054884387
2025,sri lanka,LKA,0.42075686054884387
2026,sri lanka,LKA,0.42075686054884387
2027,sri lanka,LKA,0.42075686054884387
2028,sri lanka,LKA,0.42075686054884387
2029,sri lanka,LKA,0.42075686054884387
2030,sri lanka,LKA,0.42075686054884387
2031,sri lanka,LKA,0.42075686054884387
2032,sri lanka,LKA,0.42075686054884387
2033,sri lanka,LKA,0.42075686054884387
2034,sri lanka,LKA,0.42075686054884387
2035,sri lanka,LKA,0.42075686054884387
2036,sri lanka,LKA,0.42075686054884387
2037,sri lanka,LKA,0.42075686054884387
2038,sri lanka,LKA,0.42075686054884387
2039,sri lanka,LKA,0.42075686054884387
2040,sri lanka,LKA,0.42075686054884387
2041,sri lanka,LKA,0.42075686054884387
2042,sri lanka,LKA,0.42075686054884387
2043,sri lanka,LKA,0.42075686054884387
2044,sri lanka,LKA,0.42075686054884387
2045,sri lanka,LKA,0.42075686054884387
2046,sri lanka,LKA,0.42075686054884387
2047,sri lanka,LKA,0.42075686054884387
2048,sri lanka,LKA,0.42075686054884387
2049,sri lanka,LKA,0.42075686054884387
2050,sri lanka,LKA,0.42075686054884387
2017,sudan,SDN,0.29616147833213385
2018,sudan,SDN,0.29616147833213385
2019,sudan,SDN,0.29616147833213385
2020,sudan,SDN,0.29616147833213385
2021,sudan,SDN,0.29616147833213385
2022,sudan,SDN,0.29616147833213385
2023,sudan,SDN,0.29616147833213385
2024,sudan,SDN,0.29616147833213385
2025,sudan,SDN,0.29616147833213385
2026,sudan,SDN,0.29616147833213385
2027,sudan,SDN,0.29616147833213385
2028,sudan,SDN,0.29616147833213385
2029,sudan,SDN,0.29616147833213385
2030,sudan,SDN,0.29616147833213385
2031,sudan,SDN,0.29616147833213385
2032,sudan,SDN,0.29616147833213385
2033,sudan,SDN,0.29616147833213385
2034,sudan,SDN,0.29616147833213385
2035,sudan,SDN,0.29616147833213385
2036,sudan,SDN,0.29616147833213385
2037,sudan,SDN,0.29616147833213385
2038,sudan,SDN,0.29616147833213385
2039,sudan,SDN,0.29616147833213385
2040,sudan,SDN,0.29616147833213385
2041,sudan,SDN,0.29616147833213385
2042,sudan,SDN,0.29616147833213385
2043,sudan,SDN,0.29616147833213385
2044,sudan,SDN,0.29616147833213385
2045,sudan,SDN,0.29616147833213385
2046,sudan,SDN,0.29616147833213385
2047,sudan,SDN,0.29616147833213385
2048,sudan,SDN,0.29616147833213385
2049,sudan,SDN,0.29616147833213385
2050,sudan,SDN,0.29616147833213385
2017,suriname,SUR,0.30032406570327824
2018,suriname,SUR,0.30032406570327824
2019,suriname,SUR,0.30032406570327824
2020,suriname,SUR,0.30032406570327824
2021,suriname,SUR,0.30032406570327824
2022,suriname,SUR,0.30032406570327824
2023,suriname,SUR,0.30032406570327824
2024,suriname,SUR,0.30032406570327824
2025,suriname,SUR,0.30032406570327824
2026,suriname,SUR,0.30032406570327824
2027,suriname,SUR,0.30032406570327824
2028,suriname,SUR,0.30032406570327824
2029,suriname,SUR,0.30032406570327824
2030,suriname,SUR,0.30032406570327824
2031,suriname,SUR,0.30032406570327824
2032,suriname,SUR,0.30032406570327824
2033,suriname,SUR,0.30032406570327824
2034,suriname,SUR,0.30032406570327824
2035,suriname,SUR,0.30032406570327824
2036,suriname,SUR,0.30032406570327824
2037,suriname,SUR,0.30032406570327824
2038,suriname,SUR,0.30032406570327824
2039,suriname,SUR,0.30032406570327824
2040,suriname,SUR,0.30032406570327824
2041,suriname,SUR,0.30032406570327824
2042,suriname,SUR,0.30032406570327824
2043,suriname,SUR,0.30032406570327824
2044,suriname,SUR,0.30032406570327824
2045,suriname,SUR,0.30032406570327824
2046,suriname,SUR,0.30032406570327824
2047,suriname,SUR,0.30032406570327824
2048,suriname,SUR,0.30032406570327824
2049,suriname,SUR,0.30032406570327824
2050,suriname,SUR,0.30032406570327824
2017,sweden,SWE,0.2478608058888638
2018,sweden,SWE,0.2478608058888638
2019,sweden,SWE,0.2478608058888638
2020,sweden,SWE,0.2478608058888638
2021,sweden,SWE,0.2478608058888638
2022,sweden,SWE,0.2478608058888638
2023,sweden,SWE,0.2478608058888638
2024,sweden,SWE,0.2478608058888638
2025,sweden,SWE,0.2478608058888638
2026,sweden,SWE,0.2478608058888638
2027,sweden,SWE,0.2478608058888638
2028,sweden,SWE,0.2478608058888638
2029,sweden,SWE,0.2478608058888638
2030,sweden,SWE,0.2478608058888638
2031,sweden,SWE,0.2478608058888638
2032,sweden,SWE,0.2478608058888638
2033,sweden,SWE,0.2478608058888638
2034,sweden,SWE,0.2478608058888638
2035,sweden,SWE,0.2478608058888638
2036,sweden,SWE,0.2478608058888638
2037,sweden,SWE,0.2478608058888638
2038,sweden,SWE,0.2478608058888638
2039,sweden,SWE,0.2478608058888638
2040,sweden,SWE,0.2478608058888638
2041,sweden,SWE,0.2478608058888638
2042,sweden,SWE,0.2478608058888638
2043,sweden,SWE,0.2478608058888638
2044,sweden,SWE,0.2478608058888638
2045,sweden,SWE,0.2478608058888638
2046,sweden,SWE,0.2478608058888638
2047,sweden,SWE,0.2478608058888638
2048,sweden,SWE,0.2478608058888638
2049,sweden,SWE,0.2478608058888638
2050,sweden,SWE,0.2478608058888638
2017,switzerland,CHE,0.46035071458266597
2018,switzerland,CHE,0.46035071458266597
2019,switzerland,CHE,0.46035071458266597
2020,switzerland,CHE,0.46035071458266597
2021,switzerland,CHE,0.46035071458266597
2022,switzerland,CHE,0.46035071458266597
2023,switzerland,CHE,0.46035071458266597
2024,switzerland,CHE,0.46035071458266597
2025,switzerland,CHE,0.46035071458266597
2026,switzerland,CHE,0.46035071458266597
2027,switzerland,CHE,0.46035071458266597
2028,switzerland,CHE,0.46035071458266597
2029,switzerland,CHE,0.46035071458266597
2030,switzerland,CHE,0.46035071458266597
2031,switzerland,CHE,0.46035071458266597
2032,switzerland,CHE,0.46035071458266597
2033,switzerland,CHE,0.46035071458266597
2034,switzerland,CHE,0.46035071458266597
2035,switzerland,CHE,0.46035071458266597
2036,switzerland,CHE,0.46035071458266597
2037,switzerland,CHE,0.46035071458266597
2038,switzerland,CHE,0.46035071458266597
2039,switzerland,CHE,0.46035071458266597
2040,switzerland,CHE,0.46035071458266597
2041,switzerland,CHE,0.46035071458266597
2042,switzerland,CHE,0.46035071458266597
2043,switzerland,CHE,0.46035071458266597
2044,switzerland,CHE,0.46035071458266597
2045,switzerland,CHE,0.46035071458266597
2046,switzerland,CHE,0.46035071458266597
2047,switzerland,CHE,0.46035071458266597
2048,switzerland,CHE,0.46035071458266597
2049,switzerland,CHE,0.46035071458266597
2050,switzerland,CHE,0.46035071458266597
2017,syrian arab republic,SYR,0.18924466338259438
2018,syrian arab republic,SYR,0.18924466338259438
2019,syrian arab republic,SYR,0.18924466338259438
2020,syrian arab republic,SYR,0.18924466338259438
2021,syrian arab republic,SYR,0.18924466338259438
2022,syrian arab republic,SYR,0.18924466338259438
2023,syrian arab republic,SYR,0.18924466338259438
2024,syrian arab republic,SYR,0.18924466338259438
2025,syrian arab republic,SYR,0.18924466338259438
2026,syrian arab republic,SYR,0.18924466338259438
2027,syrian arab republic,SYR,0.18924466338259438
2028,syrian arab republic,SYR,0.18924466338259438
2029,syrian arab republic,SYR,0.18924466338259438
2030,syrian arab republic,SYR,0.18924466338259438
2031,syrian arab republic,SYR,0.18924466338259438
2032,syrian arab republic,SYR,0.18924466338259438
2033,syrian arab republic,SYR,0.18924466338259438
2034,syrian arab republic,SYR,0.18924466338259438
2035,syrian arab republic,SYR,0.18924466338259438
2036,syrian arab republic,SYR,0.18924466338259438
2037,syrian arab republic,SYR,0.18924466338259438
2038,syrian arab republic,SYR,0.18924466338259438
2039,syrian arab republic,SYR,0.18924466338259438
2040,syrian arab republic,SYR,0.18924466338259438
2041,syrian arab republic,SYR,0.18924466338259438
2042,syrian arab republic,SYR,0.18924466338259438
2043,syrian arab republic,SYR,0.18924466338259438
2044,syrian arab republic,SYR,0.18924466338259438
2045,syrian arab republic,SYR,0.18924466338259438
2046,syrian arab republic,SYR,0.18924466338259438
2047,syrian arab republic,SYR,0.18924466338259438
2048,syrian arab republic,SYR,0.18924466338259438
2049,syrian arab republic,SYR,0.18924466338259438
2050,syrian arab republic,SYR,0.18924466338259438
2017,tajikistan,TJK,0.5323159310945208
2018,tajikistan,TJK,0.5323159310945208
2019,tajikistan,TJK,0.5323159310945208
2020,tajikistan,TJK,0.5323159310945208
2021,tajikistan,TJK,0.5323159310945208
2022,tajikistan,TJK,0.5323159310945208
2023,tajikistan,TJK,0.5323159310945208
2024,tajikistan,TJK,0.5323159310945208
2025,tajikistan,TJK,0.5323159310945208
2026,tajikistan,TJK,0.5323159310945208
2027,tajikistan,TJK,0.5323159310945208
2028,tajikistan,TJK,0.5323159310945208
2029,tajikistan,TJK,0.5323159310945208
2030,tajikistan,TJK,0.5323159310945208
2031,tajikistan,TJK,0.5323159310945208
2032,tajikistan,TJK,0.5323159310945208
2033,tajikistan,TJK,0.5323159310945208
2034,tajikistan,TJK,0.5323159310945208
2035,tajikistan,TJK,0.5323159310945208
2036,tajikistan,TJK,0.5323159310945208
2037,tajikistan,TJK,0.5323159310945208
2038,tajikistan,TJK,0.5323159310945208
2039,tajikistan,TJK,0.5323159310945208
2040,tajikistan,TJK,0.5323159310945208
2041,tajikistan,TJK,0.5323159310945208
2042,tajikistan,TJK,0.5323159310945208
2043,tajikistan,TJK,0.5323159310945208
2044,tajikistan,TJK,0.5323159310945208
2045,tajikistan,TJK,0.5323159310945208
2046,tajikistan,TJK,0.5323159310945208
2047,tajikistan,TJK,0.5323159310945208
2048,tajikistan,TJK,0.5323159310945208
2049,tajikistan,TJK,0.5323159310945208
2050,tajikistan,TJK,0.5323159310945208
2017,thailand,THA,0.08304452414422453
2018,thailand,THA,0.08304452414422453
2019,thailand,THA,0.08304452414422453
2020,thailand,THA,0.08304452414422453
2021,thailand,THA,0.08304452414422453
2022,thailand,THA,0.08304452414422453
2023,thailand,THA,0.08304452414422453
2024,thailand,THA,0.08304452414422453
2025,thailand,THA,0.08304452414422453
2026,thailand,THA,0.08304452414422453
2027,thailand,THA,0.08304452414422453
2028,thailand,THA,0.08304452414422453
2029,thailand,THA,0.08304452414422453
2030,thailand,THA,0.08304452414422453
2031,thailand,THA,0.08304452414422453
2032,thailand,THA,0.08304452414422453
2033,thailand,THA,0.08304452414422453
2034,thailand,THA,0.08304452414422453
2035,thailand,THA,0.08304452414422453
2036,thailand,THA,0.08304452414422453
2037,thailand,THA,0.08304452414422453
2038,thailand,THA,0.08304452414422453
2039,thailand,THA,0.08304452414422453
2040,thailand,THA,0.08304452414422453
2041,thailand,THA,0.08304452414422453
2042,thailand,THA,0.08304452414422453
2043,thailand,THA,0.08304452414422453
2044,thailand,THA,0.08304452414422453
2045,thailand,THA,0.08304452414422453
2046,thailand,THA,0.08304452414422453
2047,thailand,THA,0.08304452414422453
2048,thailand,THA,0.08304452414422453
2049,thailand,THA,0.08304452414422453
2050,thailand,THA,0.08304452414422453
2017,togo,TGO,0.5252030711027039
2018,togo,TGO,0.5252030711027039
2019,togo,TGO,0.5252030711027039
2020,togo,TGO,0.5252030711027039
2021,togo,TGO,0.5252030711027039
2022,togo,TGO,0.5252030711027039
2023,togo,TGO,0.5252030711027039
2024,togo,TGO,0.5252030711027039
2025,togo,TGO,0.5252030711027039
2026,togo,TGO,0.5252030711027039
2027,togo,TGO,0.5252030711027039
2028,togo,TGO,0.5252030711027039
2029,togo,TGO,0.5252030711027039
2030,togo,TGO,0.5252030711027039
2031,togo,TGO,0.5252030711027039
2032,togo,TGO,0.5252030711027039
2033,togo,TGO,0.5252030711027039
2034,togo,TGO,0.5252030711027039
2035,togo,TGO,0.5252030711027039
2036,togo,TGO,0.5252030711027039
2037,togo,TGO,0.5252030711027039
2038,togo,TGO,0.5252030711027039
2039,togo,TGO,0.5252030711027039
2040,togo,TGO,0.5252030711027039
2041,togo,TGO,0.5252030711027039
2042,togo,TGO,0.5252030711027039
2043,togo,TGO,0.5252030711027039
2044,togo,TGO,0.5252030711027039
2045,togo,TGO,0.5252030711027039
2046,togo,TGO,0.5252030711027039
2047,togo,TGO,0.5252030711027039
2048,togo,TGO,0.5252030711027039
2049,togo,TGO,0.5252030711027039
2050,togo,TGO,0.5252030711027039
2017,trinidad_and_tobago,TTO,0.0
2018,trinidad_and_tobago,TTO,0.0
2019,trinidad_and_tobago,TTO,0.0
2020,trinidad_and_tobago,TTO,0.0
2021,trinidad_and_tobago,TTO,0.0
2022,trinidad_and_tobago,TTO,0.0
2023,trinidad_and_tobago,TTO,0.0
2024,trinidad_and_tobago,TTO,0.0
2025,trinidad_and_tobago,TTO,0.0
2026,trinidad_and_tobago,TTO,0.0
2027,trinidad_and_tobago,TTO,0.0
2028,trinidad_and_tobago,TTO,0.0
2029,trinidad_and_tobago,TTO,0.0
2030,trinidad_and_tobago,TTO,0.0
2031,trinidad_and_tobago,TTO,0.0
2032,trinidad_and_tobago,TTO,0.0
2033,trinidad_and_tobago,TTO,0.0
2034,trinidad_and_tobago,TTO,0.0
2035,trinidad_and_tobago,TTO,0.0
2036,trinidad_and_tobago,TTO,0.0
2037,trinidad_and_tobago,TTO,0.0
2038,trinidad_and_tobago,TTO,0.0
2039,trinidad_and_tobago,TTO,0.0
2040,trinidad_and_tobago,TTO,0.0
2041,trinidad_and_tobago,TTO,0.0
2042,trinidad_and_tobago,TTO,0.0
2043,trinidad_and_tobago,TTO,0.0
2044,trinidad_and_tobago,TTO,0.0
2045,trinidad_and_tobago,TTO,0.0
2046,trinidad_and_tobago,TTO,0.0
2047,trinidad_and_tobago,TTO,0.0
2048,trinidad_and_tobago,TTO,0.0
2049,trinidad_and_tobago,TTO,0.0
2050,trinidad_and_tobago,TTO,0.0
2017,tunisia,TUN,0.4486965485484647
2018,tunisia,TUN,0.4486965485484647
2019,tunisia,TUN,0.4486965485484647
2020,tunisia,TUN,0.4486965485484647
2021,tunisia,TUN,0.4486965485484647
2022,tunisia,TUN,0.4486965485484647
2023,tunisia,TUN,0.4486965485484647
2024,tunisia,TUN,0.4486965485484647
2025,tunisia,TUN,0.4486965485484647
2026,tunisia,TUN,0.4486965485484647
2027,tunisia,TUN,0.4486965485484647
2028,tunisia,TUN,0.4486965485484647
2029,tunisia,TUN,0.4486965485484647
2030,tunisia,TUN,0.4486965485484647
2031,tunisia,TUN,0.4486965485484647
2032,tunisia,TUN,0.4486965485484647
2033,tunisia,TUN,0.4486965485484647
2034,tunisia,TUN,0.4486965485484647
2035,tunisia,TUN,0.4486965485484647
2036,tunisia,TUN,0.4486965485484647
2037,tunisia,TUN,0.4486965485484647
2038,tunisia,TUN,0.4486965485484647
2039,tunisia,TUN,0.4486965485484647
2040,tunisia,TUN,0.4486965485484647
2041,tunisia,TUN,0.4486965485484647
2042,tunisia,TUN,0.4486965485484647
2043,tunisia,TUN,0.4486965485484647
2044,tunisia,TUN,0.4486965485484647
2045,tunisia,TUN,0.4486965485484647
2046,tunisia,TUN,0.4486965485484647
2047,tunisia,TUN,0.4486965485484647
2048,tunisia,TUN,0.4486965485484647
2049,tunisia,TUN,0.4486965485484647
2050,tunisia,TUN,0.4486965485484647
2017,turkey,TUR,0.3532008620270646
2018,turkey,TUR,0.3532008620270646
2019,turkey,TUR,0.3532008620270646
2020,turkey,TUR,0.3532008620270646
2021,turkey,TUR,0.3532008620270646
2022,turkey,TUR,0.3532008620270646
2023,turkey,TUR,0.3532008620270646
2024,turkey,TUR,0.3532008620270646
2025,turkey,TUR,0.3532008620270646
2026,turkey,TUR,0.3532008620270646
2027,turkey,TUR,0.3532008620270646
2028,turkey,TUR,0.3532008620270646
2029,turkey,TUR,0.3532008620270646
2030,turkey,TUR,0.3532008620270646
2031,turkey,TUR,0.3532008620270646
2032,turkey,TUR,0.3532008620270646
2033,turkey,TUR,0.3532008620270646
2034,turkey,TUR,0.3532008620270646
2035,turkey,TUR,0.3532008620270646
2036,turkey,TUR,0.3532008620270646
2037,turkey,TUR,0.3532008620270646
2038,turkey,TUR,0.3532008620270646
2039,turkey,TUR,0.3532008620270646
2040,turkey,TUR,0.3532008620270646
2041,turkey,TUR,0.3532008620270646
2042,turkey,TUR,0.3532008620270646
2043,turkey,TUR,0.3532008620270646
2044,turkey,TUR,0.3532008620270646
2045,turkey,TUR,0.3532008620270646
2046,turkey,TUR,0.3532008620270646
2047,turkey,TUR,0.3532008620270646
2048,turkey,TUR,0.3532008620270646
2049,turkey,TUR,0.3532008620270646
2050,turkey,TUR,0.3532008620270646
2017,turkmenistan,TKM,0.0
2018,turkmenistan,TKM,0.0
2019,turkmenistan,TKM,0.0
2020,turkmenistan,TKM,0.0
2021,turkmenistan,TKM,0.0
2022,turkmenistan,TKM,0.0
2023,turkmenistan,TKM,0.0
2024,turkmenistan,TKM,0.0
2025,turkmenistan,TKM,0.0
2026,turkmenistan,TKM,0.0
2027,turkmenistan,TKM,0.0
2028,turkmenistan,TKM,0.0
2029,turkmenistan,TKM,0.0
2030,turkmenistan,TKM,0.0
2031,turkmenistan,TKM,0.0
2032,turkmenistan,TKM,0.0
2033,turkmenistan,TKM,0.0
2034,turkmenistan,TKM,0.0
2035,turkmenistan,TKM,0.0
2036,turkmenistan,TKM,0.0
2037,turkmenistan,TKM,0.0
2038,turkmenistan,TKM,0.0
2039,turkmenistan,TKM,0.0
2040,turkmenistan,TKM,0.0
2041,turkmenistan,TKM,0.0
2042,turkmenistan,TKM,0.0
2043,turkmenistan,TKM,0.0
2044,turkmenistan,TKM,0.0
2045,turkmenistan,TKM,0.0
2046,turkmenistan,TKM,0.0
2047,turkmenistan,TKM,0.0
2048,turkmenistan,TKM,0.0
2049,turkmenistan,TKM,0.0
2050,turkmenistan,TKM,0.0
2017,ukraine,UKR,0.45243294935168843
2018,ukraine,UKR,0.45243294935168843
2019,ukraine,UKR,0.45243294935168843
2020,ukraine,UKR,0.45243294935168843
2021,ukraine,UKR,0.45243294935168843
2022,ukraine,UKR,0.45243294935168843
2023,ukraine,UKR,0.45243294935168843
2024,ukraine,UKR,0.45243294935168843
2025,ukraine,UKR,0.45243294935168843
2026,ukraine,UKR,0.45243294935168843
2027,ukraine,UKR,0.45243294935168843
2028,ukraine,UKR,0.45243294935168843
2029,ukraine,UKR,0.45243294935168843
2030,ukraine,UKR,0.45243294935168843
2031,ukraine,UKR,0.45243294935168843
2032,ukraine,UKR,0.45243294935168843
2033,ukraine,UKR,0.45243294935168843
2034,ukraine,UKR,0.45243294935168843
2035,ukraine,UKR,0.45243294935168843
2036,ukraine,UKR,0.45243294935168843
2037,ukraine,UKR,0.45243294935168843
2038,ukraine,UKR,0.45243294935168843
2039,ukraine,UKR,0.45243294935168843
2040,ukraine,UKR,0.45243294935168843
2041,ukraine,UKR,0.45243294935168843
2042,ukraine,UKR,0.45243294935168843
2043,ukraine,UKR,0.45243294935168843
2044,ukraine,UKR,0.45243294935168843
2045,ukraine,UKR,0.45243294935168843
2046,ukraine,UKR,0.45243294935168843
2047,ukraine,UKR,0.45243294935168843
2048,ukraine,UKR,0.45243294935168843
2049,ukraine,UKR,0.45243294935168843
2050,ukraine,UKR,0.45243294935168843
2017,united arab emirates,ARE,0.28059953417064687
2018,united arab emirates,ARE,0.28059953417064687
2019,united arab emirates,ARE,0.28059953417064687
2020,united arab emirates,ARE,0.28059953417064687
2021,united arab emirates,ARE,0.28059953417064687
2022,united arab emirates,ARE,0.28059953417064687
2023,united arab emirates,ARE,0.28059953417064687
2024,united arab emirates,ARE,0.28059953417064687
2025,united arab emirates,ARE,0.28059953417064687
2026,united arab emirates,ARE,0.28059953417064687
2027,united arab emirates,ARE,0.28059953417064687
2028,united arab emirates,ARE,0.28059953417064687
2029,united arab emirates,ARE,0.28059953417064687
2030,united arab emirates,ARE,0.28059953417064687
2031,united arab emirates,ARE,0.28059953417064687
2032,united arab emirates,ARE,0.28059953417064687
2033,united arab emirates,ARE,0.28059953417064687
2034,united arab emirates,ARE,0.28059953417064687
2035,united arab emirates,ARE,0.28059953417064687
2036,united arab emirates,ARE,0.28059953417064687
2037,united arab emirates,ARE,0.28059953417064687
2038,united arab emirates,ARE,0.28059953417064687
2039,united arab emirates,ARE,0.28059953417064687
2040,united arab emirates,ARE,0.28059953417064687
2041,united arab emirates,ARE,0.28059953417064687
2042,united arab emirates,ARE,0.28059953417064687
2043,united arab emirates,ARE,0.28059953417064687
2044,united arab emirates,ARE,0.28059953417064687
2045,united arab emirates,ARE,0.28059953417064687
2046,united arab emirates,ARE,0.28059953417064687
2047,united arab emirates,ARE,0.28059953417064687
2048,united arab emirates,ARE,0.28059953417064687
2049,united arab emirates,ARE,0.28059953417064687
2050,united arab emirates,ARE,0.28059953417064687
2017,united kingdom,GBR,0.297614480540718
2018,united kingdom,GBR,0.297614480540718
2019,united kingdom,GBR,0.297614480540718
2020,united kingdom,GBR,0.297614480540718
2021,united kingdom,GBR,0.297614480540718
2022,united kingdom,GBR,0.297614480540718
