iso_code3,Nation,Year,frac_trns_fuelmix_road_heavy_freight_natural_gas
ABW,Aruba,2021,0.0015621263047485
ABW,Aruba,2022,0.0015730832741815
ABW,Aruba,2023,0.0015839263687394
ABW,Aruba,2024,0.0015946573544831
ABW,Aruba,2025,0.0016052779611421
ABW,Aruba,2026,0.0016507055482529
ABW,Aruba,2027,0.0016977213257706
ABW,Aruba,2028,0.0017464100623968
ABW,Aruba,2029,0.001796862668744
ABW,Aruba,2030,0.0018491767638626
ABW,Aruba,2031,0.0019004566526612
ABW,Aruba,2032,0.0019536278370687
ABW,Aruba,2033,0.0020087969144735
ABW,Aruba,2034,0.0020660786463823
ABW,Aruba,2035,0.0021255967552739
ABW,Aruba,2036,0.0021831602976713
ABW,Aruba,2037,0.0022428938148758
ABW,Aruba,2038,0.0023049223664963
ABW,Aruba,2039,0.002369380810254
ABW,Aruba,2040,0.0024364147807254
ABW,Aruba,2041,0.0025002031783291
ABW,Aruba,2042,0.0025664147938679
ABW,Aruba,2043,0.0026351903820518
ABW,Aruba,2044,0.0027066818139712
ABW,Aruba,2045,0.0027810531966236
ABW,Aruba,2046,0.0028502579586676
ABW,Aruba,2047,0.0029220314669287
ABW,Aruba,2048,0.0029965194462158
ABW,Aruba,2049,0.0030738788564047
ABW,Aruba,2050,0.003154278996467
AFG,Afghanistan,2021,0.0087355045139007
AFG,Afghanistan,2022,0.0087216268542634
AFG,Afghanistan,2023,0.0087083431214183
AFG,Afghanistan,2024,0.0086956159864323
AFG,Afghanistan,2025,0.0086834111843981
AFG,Afghanistan,2026,0.0086464697305082
AFG,Afghanistan,2027,0.0086113477898947
AFG,Afghanistan,2028,0.0085779141661499
AFG,Afghanistan,2029,0.0085460499800826
AFG,Afghanistan,2030,0.0085156472573824
AFG,Afghanistan,2031,0.0084791347266708
AFG,Afghanistan,2032,0.0084444001984697
AFG,Afghanistan,2033,0.0084113168881489
AFG,Afghanistan,2034,0.0083797697854455
AFG,Afghanistan,2035,0.0083496543186343
AFG,Afghanistan,2036,0.0083075630679421
AFG,Afghanistan,2037,0.0082675140020133
AFG,Afghanistan,2038,0.0082293620167439
AFG,Afghanistan,2039,0.0081929754368233
AFG,Afghanistan,2040,0.0081582344973881
AFG,Afghanistan,2041,0.0081066953426407
AFG,Afghanistan,2042,0.0080576811602149
AFG,Afghanistan,2043,0.0080110108340001
AFG,Afghanistan,2044,0.0079665201653202
AFG,Afghanistan,2045,0.0079240599427571
AFG,Afghanistan,2046,0.0078602966551995
AFG,Afghanistan,2047,0.0077997286026902
AFG,Afghanistan,2048,0.0077421214817032
AFG,Afghanistan,2049,0.0076872633504615
AFG,Afghanistan,2050,0.0076349620233703
AGO,Angola,2021,0.0187224188454305
AGO,Angola,2022,0.0187909980579057
AGO,Angola,2023,0.018857423712862
AGO,Angola,2024,0.0189217956827561
AGO,Angola,2025,0.0189842077585335
AGO,Angola,2026,0.0192326243205678
