iso_code3,Nation,Year,frac_trns_fuelmix_public_natural_gas
ABW,Aruba,2021,0.0015621263047485392
ABW,Aruba,2022,0.001573083274181582
ABW,Aruba,2023,0.001583926368739484
ABW,Aruba,2024,0.0015946573544831915
ABW,Aruba,2025,0.00160527796114219
ABW,Aruba,2026,0.0016507055482529692
ABW,Aruba,2027,0.00169772132577068
ABW,Aruba,2028,0.0017464100623968378
ABW,Aruba,2029,0.0017968626687440523
ABW,Aruba,2030,0.001849176763862688
ABW,Aruba,2031,0.0019004566526612126
ABW,Aruba,2032,0.0019536278370687944
ABW,Aruba,2033,0.0020087969144735197
ABW,Aruba,2034,0.0020660786463823134
ABW,Aruba,2035,0.0021255967552739137
ABW,Aruba,2036,0.002183160297671339
ABW,Aruba,2037,0.0022428938148758727
ABW,Aruba,2038,0.002304922366496352
ABW,Aruba,2039,0.0023693808102540088
ABW,Aruba,2040,0.002436414780725465
ABW,Aruba,2041,0.002500203178329163
ABW,Aruba,2042,0.0025664147938679336
ABW,Aruba,2043,0.00263519038205184
ABW,Aruba,2044,0.0027066818139712717
ABW,Aruba,2045,0.0027810531966236678
ABW,Aruba,2046,0.0028502579586676064
ABW,Aruba,2047,0.002922031466928726
ABW,Aruba,2048,0.002996519446215842
ABW,Aruba,2049,0.0030738788564047812
ABW,Aruba,2050,0.0031542789964670785
AFG,Afghanistan,2021,0.008735504513900727
AFG,Afghanistan,2022,0.008721626854263427
AFG,Afghanistan,2023,0.008708343121418313
AFG,Afghanistan,2024,0.008695615986432384
AFG,Afghanistan,2025,0.008683411184398136
AFG,Afghanistan,2026,0.008646469730508248
AFG,Afghanistan,2027,0.008611347789894747
AFG,Afghanistan,2028,0.008577914166149983
AFG,Afghanistan,2029,0.008546049980082624
AFG,Afghanistan,2030,0.00851564725738248
AFG,Afghanistan,2031,0.008479134726670865
AFG,Afghanistan,2032,0.008444400198469726
AFG,Afghanistan,2033,0.008411316888148987
AFG,Afghanistan,2034,0.008379769785445522
AFG,Afghanistan,2035,0.008349654318634365
AFG,Afghanistan,2036,0.008307563067942163
AFG,Afghanistan,2037,0.00826751400201338
AFG,Afghanistan,2038,0.00822936201674399
AFG,Afghanistan,2039,0.008192975436823373
AFG,Afghanistan,2040,0.008158234497388124
AFG,Afghanistan,2041,0.008106695342640741
AFG,Afghanistan,2042,0.008057681160214946
AFG,Afghanistan,2043,0.008011010834000163
AFG,Afghanistan,2044,0.007966520165320234
AFG,Afghanistan,2045,0.00792405994275713
AFG,Afghanistan,2046,0.007860296655199583
AFG,Afghanistan,2047,0.007799728602690299
AFG,Afghanistan,2048,0.007742121481703255
AFG,Afghanistan,2049,0.007687263350461568
AFG,Afghanistan,2050,0.0076349620233703095
AGO,Angola,2021,0.018722418845430584
AGO,Angola,2022,0.018790998057905763
AGO,Angola,2023,0.018857423712862
AGO,Angola,2024,0.018921795682756166
AGO,Angola,2025,0.01898420775853356
AGO,Angola,2026,0.019232624320567833
AGO,Angola,2027,0.019477855213008467
AGO,Angola,2028,0.019719961324511495
AGO,Angola,2029,0.01995900200184544
AGO,Angola,2030,0.020195035098391368
AGO,Angola,2031,0.020555105743619448
AGO,Angola,2032,0.02091457647306567
AGO,Angola,2033,0.021273448784766908
AGO,Angola,2034,0.021631724171776372
AGO,Angola,2035,0.0219894041221847
AGO,Angola,2036,0.022320012671290766
AGO,Angola,2037,0.022648784937233466
AGO,Angola,2038,0.02297573617641278
AGO,Angola,2039,0.023300881476688896
AGO,Angola,2040,0.02362423575970341
AGO,Angola,2041,0.023831239117454033
AGO,Angola,2042,0.024034977724089173
AGO,Angola,2043,0.02423552821029685
AGO,Angola,2044,0.024432964827135143
AGO,Angola,2045,0.024627359537689967
AGO,Angola,2046,0.02465491305785665
AGO,Angola,2047,0.02468167935525065
AGO,Angola,2048,0.024707691691945442
AGO,Angola,2049,0.024732981482168563
AGO,Angola,2050,0.024757578418863353
ALB,Albania,2021,0.0
ALB,Albania,2022,0.0
ALB,Albania,2023,0.0
ALB,Albania,2024,0.0
ALB,Albania,2025,0.0
ALB,Albania,2026,0.0
ALB,Albania,2027,0.0
ALB,Albania,2028,0.0
ALB,Albania,2029,0.0
ALB,Albania,2030,0.0
ALB,Albania,2031,0.0
ALB,Albania,2032,0.0
ALB,Albania,2033,0.0
ALB,Albania,2034,0.0
ALB,Albania,2035,0.0
ALB,Albania,2036,0.0
ALB,Albania,2037,0.0
ALB,Albania,2038,0.0
ALB,Albania,2039,0.0
ALB,Albania,2040,0.0
ALB,Albania,2041,0.0
ALB,Albania,2042,0.0
ALB,Albania,2043,0.0
ALB,Albania,2044,0.0
ALB,Albania,2045,0.0
ALB,Albania,2046,0.0
ALB,Albania,2047,0.0
ALB,Albania,2048,0.0
ALB,Albania,2049,0.0
ALB,Albania,2050,0.0
ARE,United Arab Emirates,2021,0.003919066866651753
ARE,United Arab Emirates,2022,0.00394592746981675
ARE,United Arab Emirates,2023,0.003971994707321822
ARE,United Arab Emirates,2024,0.003997303217377255
ARE,United Arab Emirates,2025,0.004021885650719845
ARE,United Arab Emirates,2026,0.0039652180527868916
ARE,United Arab Emirates,2027,0.0039121793091775265
ARE,United Arab Emirates,2028,0.0038624316601181706
ARE,United Arab Emirates,2029,0.003815678000997248
ARE,United Arab Emirates,2030,0.0037716559441275488
ARE,United Arab Emirates,2031,0.003731595189096227
ARE,United Arab Emirates,2032,0.003693678226255882
ARE,United Arab Emirates,2033,0.0036577374571841823
ARE,United Arab Emirates,2034,0.0036236223098794367
ARE,United Arab Emirates,2035,0.003591197130159384
ARE,United Arab Emirates,2036,0.003559840835863334
ARE,United Arab Emirates,2037,0.003529935035823505
ARE,United Arab Emirates,2038,0.003501381358819488
ARE,United Arab Emirates,2039,0.003474090132250764
ARE,United Arab Emirates,2040,0.0034479794414466773
ARE,United Arab Emirates,2041,0.003426593345699534
ARE,United Arab Emirates,2042,0.0034060096583290486
ARE,United Arab Emirates,2043,0.0033861840512722508
ARE,United Arab Emirates,2044,0.003367075402559552
ARE,United Arab Emirates,2045,0.0033486455116060357
