,Nation,iso_code3,Year,fuelefficiency_trns_public_diesel_km_per_litre
0,Aruba,ABW,2023,2.5
1,Aruba,ABW,2024,2.5
2,Aruba,ABW,2025,2.5
3,Aruba,ABW,2026,2.5
4,Aruba,ABW,2027,2.5
5,Aruba,ABW,2028,2.5
6,Aruba,ABW,2029,2.5
7,Aruba,ABW,2030,2.5
8,Aruba,ABW,2031,2.5
9,Aruba,ABW,2032,2.5
10,Aruba,ABW,2033,2.5
11,Aruba,ABW,2034,2.5
12,Aruba,ABW,2035,2.5
13,Aruba,ABW,2036,2.5
14,Aruba,ABW,2037,2.5
15,Aruba,ABW,2038,2.5
16,Aruba,ABW,2039,2.5
17,Aruba,ABW,2040,2.5
18,Aruba,ABW,2041,2.5
19,Aruba,ABW,2042,2.5
20,Aruba,ABW,2043,2.5
21,Aruba,ABW,2044,2.5
22,Aruba,ABW,2045,2.5
23,Aruba,ABW,2046,2.5
24,Aruba,ABW,2047,2.5
25,Aruba,ABW,2048,2.5
26,Aruba,ABW,2049,2.5
27,Aruba,ABW,2050,2.5
28,Africa Eastern and Southern,AFE,2023,2.5
29,Africa Eastern and Southern,AFE,2024,2.5
30,Africa Eastern and Southern,AFE,2025,2.5
31,Africa Eastern and Southern,AFE,2026,2.5
32,Africa Eastern and Southern,AFE,2027,2.5
33,Africa Eastern and Southern,AFE,2028,2.5
34,Africa Eastern and Southern,AFE,2029,2.5
35,Africa Eastern and Southern,AFE,2030,2.5
36,Africa Eastern and Southern,AFE,2031,2.5
37,Africa Eastern and Southern,AFE,2032,2.5
38,Africa Eastern and Southern,AFE,2033,2.5
39,Africa Eastern and Southern,AFE,2034,2.5
40,Africa Eastern and Southern,AFE,2035,2.5
41,Africa Eastern and Southern,AFE,2036,2.5
42,Africa Eastern and Southern,AFE,2037,2.5
43,Africa Eastern and Southern,AFE,2038,2.5
44,Africa Eastern and Southern,AFE,2039,2.5
45,Africa Eastern and Southern,AFE,2040,2.5
46,Africa Eastern and Southern,AFE,2041,2.5
47,Africa Eastern and Southern,AFE,2042,2.5
48,Africa Eastern and Southern,AFE,2043,2.5
49,Africa Eastern and Southern,AFE,2044,2.5
50,Africa Eastern and Southern,AFE,2045,2.5
51,Africa Eastern and Southern,AFE,2046,2.5
52,Africa Eastern and Southern,AFE,2047,2.5
53,Africa Eastern and Southern,AFE,2048,2.5
54,Africa Eastern and Southern,AFE,2049,2.5
55,Africa Eastern and Southern,AFE,2050,2.5
56,Afghanistan,AFG,2023,2.5
57,Afghanistan,AFG,2024,2.5
58,Afghanistan,AFG,2025,2.5
59,Afghanistan,AFG,2026,2.5
60,Afghanistan,AFG,2027,2.5
61,Afghanistan,AFG,2028,2.5
62,Afghanistan,AFG,2029,2.5
63,Afghanistan,AFG,2030,2.5
64,Afghanistan,AFG,2031,2.5
65,Afghanistan,AFG,2032,2.5
66,Afghanistan,AFG,2033,2.5
67,Afghanistan,AFG,2034,2.5
68,Afghanistan,AFG,2035,2.5
69,Afghanistan,AFG,2036,2.5
70,Afghanistan,AFG,2037,2.5
71,Afghanistan,AFG,2038,2.5
72,Afghanistan,AFG,2039,2.5
73,Afghanistan,AFG,2040,2.5
74,Afghanistan,AFG,2041,2.5
75,Afghanistan,AFG,2042,2.5
76,Afghanistan,AFG,2043,2.5
77,Afghanistan,AFG,2044,2.5
78,Afghanistan,AFG,2045,2.5
79,Afghanistan,AFG,2046,2.5
80,Afghanistan,AFG,2047,2.5
81,Afghanistan,AFG,2048,2.5
82,Afghanistan,AFG,2049,2.5
83,Afghanistan,AFG,2050,2.5
84,Africa Western and Central,AFW,2023,2.5
85,Africa Western and Central,AFW,2024,2.5
86,Africa Western and Central,AFW,2025,2.5
87,Africa Western and Central,AFW,2026,2.5
88,Africa Western and Central,AFW,2027,2.5
89,Africa Western and Central,AFW,2028,2.5
90,Africa Western and Central,AFW,2029,2.5
91,Africa Western and Central,AFW,2030,2.5
92,Africa Western and Central,AFW,2031,2.5
93,Africa Western and Central,AFW,2032,2.5
94,Africa Western and Central,AFW,2033,2.5
95,Africa Western and Central,AFW,2034,2.5
96,Africa Western and Central,AFW,2035,2.5
97,Africa Western and Central,AFW,2036,2.5
98,Africa Western and Central,AFW,2037,2.5
99,Africa Western and Central,AFW,2038,2.5
100,Africa Western and Central,AFW,2039,2.5
101,Africa Western and Central,AFW,2040,2.5
102,Africa Western and Central,AFW,2041,2.5
103,Africa Western and Central,AFW,2042,2.5
104,Africa Western and Central,AFW,2043,2.5
105,Africa Western and Central,AFW,2044,2.5
106,Africa Western and Central,AFW,2045,2.5
107,Africa Western and Central,AFW,2046,2.5
108,Africa Western and Central,AFW,2047,2.5
109,Africa Western and Central,AFW,2048,2.5
110,Africa Western and Central,AFW,2049,2.5
111,Africa Western and Central,AFW,2050,2.5
112,Angola,AGO,2023,2.5
113,Angola,AGO,2024,2.5
114,Angola,AGO,2025,2.5
115,Angola,AGO,2026,2.5
116,Angola,AGO,2027,2.5
117,Angola,AGO,2028,2.5
118,Angola,AGO,2029,2.5
119,Angola,AGO,2030,2.5
120,Angola,AGO,2031,2.5
121,Angola,AGO,2032,2.5
122,Angola,AGO,2033,2.5
123,Angola,AGO,2034,2.5
124,Angola,AGO,2035,2.5
125,Angola,AGO,2036,2.5
126,Angola,AGO,2037,2.5
127,Angola,AGO,2038,2.5
128,Angola,AGO,2039,2.5
129,Angola,AGO,2040,2.5
130,Angola,AGO,2041,2.5
131,Angola,AGO,2042,2.5
132,Angola,AGO,2043,2.5
133,Angola,AGO,2044,2.5
134,Angola,AGO,2045,2.5
135,Angola,AGO,2046,2.5
136,Angola,AGO,2047,2.5
137,Angola,AGO,2048,2.5
138,Angola,AGO,2049,2.5
