,Nation,iso_code3,Year,fuelefficiency_trns_rail_passenger_natural_gas_km_per_litre
0,Aruba,ABW,2023,0.00539956803
1,Aruba,ABW,2024,0.00539956803
2,Aruba,ABW,2025,0.00539956803
3,Aruba,ABW,2026,0.00539956803
4,Aruba,ABW,2027,0.00539956803
5,Aruba,ABW,2028,0.00539956803
6,Aruba,ABW,2029,0.00539956803
7,Aruba,ABW,2030,0.00539956803
8,Aruba,ABW,2031,0.00539956803
9,Aruba,ABW,2032,0.00539956803
10,Aruba,ABW,2033,0.00539956803
11,Aruba,ABW,2034,0.00539956803
12,Aruba,ABW,2035,0.00539956803
13,Aruba,ABW,2036,0.00539956803
14,Aruba,ABW,2037,0.00539956803
15,Aruba,ABW,2038,0.00539956803
16,Aruba,ABW,2039,0.00539956803
17,Aruba,ABW,2040,0.00539956803
18,Aruba,ABW,2041,0.00539956803
19,Aruba,ABW,2042,0.00539956803
20,Aruba,ABW,2043,0.00539956803
21,Aruba,ABW,2044,0.00539956803
22,Aruba,ABW,2045,0.00539956803
23,Aruba,ABW,2046,0.00539956803
24,Aruba,ABW,2047,0.00539956803
25,Aruba,ABW,2048,0.00539956803
26,Aruba,ABW,2049,0.00539956803
27,Aruba,ABW,2050,0.00539956803
28,Africa Eastern and Southern,AFE,2023,0.00539956803
29,Africa Eastern and Southern,AFE,2024,0.00539956803
30,Africa Eastern and Southern,AFE,2025,0.00539956803
31,Africa Eastern and Southern,AFE,2026,0.00539956803
32,Africa Eastern and Southern,AFE,2027,0.00539956803
33,Africa Eastern and Southern,AFE,2028,0.00539956803
34,Africa Eastern and Southern,AFE,2029,0.00539956803
35,Africa Eastern and Southern,AFE,2030,0.00539956803
36,Africa Eastern and Southern,AFE,2031,0.00539956803
37,Africa Eastern and Southern,AFE,2032,0.00539956803
38,Africa Eastern and Southern,AFE,2033,0.00539956803
39,Africa Eastern and Southern,AFE,2034,0.00539956803
40,Africa Eastern and Southern,AFE,2035,0.00539956803
41,Africa Eastern and Southern,AFE,2036,0.00539956803
42,Africa Eastern and Southern,AFE,2037,0.00539956803
43,Africa Eastern and Southern,AFE,2038,0.00539956803
44,Africa Eastern and Southern,AFE,2039,0.00539956803
45,Africa Eastern and Southern,AFE,2040,0.00539956803
46,Africa Eastern and Southern,AFE,2041,0.00539956803
47,Africa Eastern and Southern,AFE,2042,0.00539956803
48,Africa Eastern and Southern,AFE,2043,0.00539956803
49,Africa Eastern and Southern,AFE,2044,0.00539956803
50,Africa Eastern and Southern,AFE,2045,0.00539956803
51,Africa Eastern and Southern,AFE,2046,0.00539956803
52,Africa Eastern and Southern,AFE,2047,0.00539956803
53,Africa Eastern and Southern,AFE,2048,0.00539956803
54,Africa Eastern and Southern,AFE,2049,0.00539956803
55,Africa Eastern and Southern,AFE,2050,0.00539956803
56,Afghanistan,AFG,2023,0.00539956803
57,Afghanistan,AFG,2024,0.00539956803
58,Afghanistan,AFG,2025,0.00539956803
59,Afghanistan,AFG,2026,0.00539956803
60,Afghanistan,AFG,2027,0.00539956803
61,Afghanistan,AFG,2028,0.00539956803
62,Afghanistan,AFG,2029,0.00539956803
63,Afghanistan,AFG,2030,0.00539956803
64,Afghanistan,AFG,2031,0.00539956803
65,Afghanistan,AFG,2032,0.00539956803
66,Afghanistan,AFG,2033,0.00539956803
67,Afghanistan,AFG,2034,0.00539956803
68,Afghanistan,AFG,2035,0.00539956803
69,Afghanistan,AFG,2036,0.00539956803
70,Afghanistan,AFG,2037,0.00539956803
71,Afghanistan,AFG,2038,0.00539956803
72,Afghanistan,AFG,2039,0.00539956803
73,Afghanistan,AFG,2040,0.00539956803
74,Afghanistan,AFG,2041,0.00539956803
75,Afghanistan,AFG,2042,0.00539956803
76,Afghanistan,AFG,2043,0.00539956803
77,Afghanistan,AFG,2044,0.00539956803
78,Afghanistan,AFG,2045,0.00539956803
79,Afghanistan,AFG,2046,0.00539956803
80,Afghanistan,AFG,2047,0.00539956803
81,Afghanistan,AFG,2048,0.00539956803
82,Afghanistan,AFG,2049,0.00539956803
83,Afghanistan,AFG,2050,0.00539956803
84,Africa Western and Central,AFW,2023,0.00539956803
85,Africa Western and Central,AFW,2024,0.00539956803
86,Africa Western and Central,AFW,2025,0.00539956803
87,Africa Western and Central,AFW,2026,0.00539956803
88,Africa Western and Central,AFW,2027,0.00539956803
89,Africa Western and Central,AFW,2028,0.00539956803
90,Africa Western and Central,AFW,2029,0.00539956803
91,Africa Western and Central,AFW,2030,0.00539956803
92,Africa Western and Central,AFW,2031,0.00539956803
93,Africa Western and Central,AFW,2032,0.00539956803
94,Africa Western and Central,AFW,2033,0.00539956803
95,Africa Western and Central,AFW,2034,0.00539956803
96,Africa Western and Central,AFW,2035,0.00539956803
97,Africa Western and Central,AFW,2036,0.00539956803
98,Africa Western and Central,AFW,2037,0.00539956803
99,Africa Western and Central,AFW,2038,0.00539956803
100,Africa Western and Central,AFW,2039,0.00539956803
