,Nation,iso_code3,Year,frac_scoe_heat_energy_residential_coal
0,Aruba,ABW,2020,0.0259446705565533
1,Aruba,ABW,2021,0.0259446705565533
2,Aruba,ABW,2022,0.0259446705565533
3,Aruba,ABW,2023,0.0259446705565533
4,Aruba,ABW,2024,0.0259446705565533
5,Aruba,ABW,2025,0.0259446705565533
6,Aruba,ABW,2026,0.0259446705565533
7,Aruba,ABW,2027,0.0259446705565533
8,Aruba,ABW,2028,0.0259446705565533
9,Aruba,ABW,2029,0.0259446705565533
10,Aruba,ABW,2030,0.0259446705565533
11,Aruba,ABW,2031,0.0259446705565533
12,Aruba,ABW,2032,0.0259446705565533
13,Aruba,ABW,2033,0.0259446705565533
14,Aruba,ABW,2034,0.0259446705565533
15,Aruba,ABW,2035,0.0259446705565533
16,Aruba,ABW,2036,0.0259446705565533
17,Aruba,ABW,2037,0.0259446705565533
18,Aruba,ABW,2038,0.0259446705565533
19,Aruba,ABW,2039,0.0259446705565533
20,Aruba,ABW,2040,0.0259446705565533
21,Aruba,ABW,2041,0.0259446705565533
22,Aruba,ABW,2042,0.0259446705565533
23,Aruba,ABW,2043,0.0259446705565533
24,Aruba,ABW,2044,0.0259446705565533
25,Aruba,ABW,2045,0.0259446705565533
26,Aruba,ABW,2046,0.0259446705565533
27,Aruba,ABW,2047,0.0259446705565533
28,Aruba,ABW,2048,0.0259446705565533
29,Aruba,ABW,2049,0.0259446705565533
30,Aruba,ABW,2050,0.0259446705565533
31,Africa Eastern and Southern,AFE,2020,0.0259446705565533
32,Africa Eastern and Southern,AFE,2021,0.0259446705565533
33,Africa Eastern and Southern,AFE,2022,0.0259446705565533
34,Africa Eastern and Southern,AFE,2023,0.0259446705565533
35,Africa Eastern and Southern,AFE,2024,0.0259446705565533
36,Africa Eastern and Southern,AFE,2025,0.0259446705565533
37,Africa Eastern and Southern,AFE,2026,0.0259446705565533
38,Africa Eastern and Southern,AFE,2027,0.0259446705565533
39,Africa Eastern and Southern,AFE,2028,0.0259446705565533
40,Africa Eastern and Southern,AFE,2029,0.0259446705565533
41,Africa Eastern and Southern,AFE,2030,0.0259446705565533
42,Africa Eastern and Southern,AFE,2031,0.0259446705565533
43,Africa Eastern and Southern,AFE,2032,0.0259446705565533
44,Africa Eastern and Southern,AFE,2033,0.0259446705565533
45,Africa Eastern and Southern,AFE,2034,0.0259446705565533
46,Africa Eastern and Southern,AFE,2035,0.0259446705565533
47,Africa Eastern and Southern,AFE,2036,0.0259446705565533
48,Africa Eastern and Southern,AFE,2037,0.0259446705565533
49,Africa Eastern and Southern,AFE,2038,0.0259446705565533
50,Africa Eastern and Southern,AFE,2039,0.0259446705565533
51,Africa Eastern and Southern,AFE,2040,0.0259446705565533
52,Africa Eastern and Southern,AFE,2041,0.0259446705565533
53,Africa Eastern and Southern,AFE,2042,0.0259446705565533
54,Africa Eastern and Southern,AFE,2043,0.0259446705565533
55,Africa Eastern and Southern,AFE,2044,0.0259446705565533
56,Africa Eastern and Southern,AFE,2045,0.0259446705565533
57,Africa Eastern and Southern,AFE,2046,0.0259446705565533
58,Africa Eastern and Southern,AFE,2047,0.0259446705565533
59,Africa Eastern and Southern,AFE,2048,0.0259446705565533
60,Africa Eastern and Southern,AFE,2049,0.0259446705565533
61,Africa Eastern and Southern,AFE,2050,0.0259446705565533
62,Afghanistan,AFG,2020,0.0259446705565533
63,Afghanistan,AFG,2021,0.0259446705565533
64,Afghanistan,AFG,2022,0.0259446705565533
65,Afghanistan,AFG,2023,0.0259446705565533
66,Afghanistan,AFG,2024,0.0259446705565533
67,Afghanistan,AFG,2025,0.0259446705565533
68,Afghanistan,AFG,2026,0.0259446705565533
69,Afghanistan,AFG,2027,0.0259446705565533
70,Afghanistan,AFG,2028,0.0259446705565533
71,Afghanistan,AFG,2029,0.0259446705565533
72,Afghanistan,AFG,2030,0.0259446705565533
73,Afghanistan,AFG,2031,0.0259446705565533
74,Afghanistan,AFG,2032,0.0259446705565533
75,Afghanistan,AFG,2033,0.0259446705565533
76,Afghanistan,AFG,2034,0.0259446705565533
77,Afghanistan,AFG,2035,0.0259446705565533
78,Afghanistan,AFG,2036,0.0259446705565533
79,Afghanistan,AFG,2037,0.0259446705565533
80,Afghanistan,AFG,2038,0.0259446705565533
81,Afghanistan,AFG,2039,0.0259446705565533
82,Afghanistan,AFG,2040,0.0259446705565533
83,Afghanistan,AFG,2041,0.0259446705565533
84,Afghanistan,AFG,2042,0.0259446705565533
85,Afghanistan,AFG,2043,0.0259446705565533
86,Afghanistan,AFG,2044,0.0259446705565533
87,Afghanistan,AFG,2045,0.0259446705565533
88,Afghanistan,AFG,2046,0.0259446705565533
89,Afghanistan,AFG,2047,0.0259446705565533
90,Afghanistan,AFG,2048,0.0259446705565533
91,Afghanistan,AFG,2049,0.0259446705565533
92,Afghanistan,AFG,2050,0.0259446705565533
