"year","prodinit_ippu_lime_and_carbonite_tonne","location_code"
2021,42620.92,"ABW"
2022,Inf,"ABW"
2023,Inf,"ABW"
2024,Inf,"ABW"
2025,Inf,"ABW"
2026,Inf,"ABW"
2027,Inf,"ABW"
2028,Inf,"ABW"
2029,Inf,"ABW"
2030,Inf,"ABW"
2031,Inf,"ABW"
2032,Inf,"ABW"
2033,Inf,"ABW"
2034,Inf,"ABW"
2035,Inf,"ABW"
2036,Inf,"ABW"
2037,Inf,"ABW"
2038,Inf,"ABW"
2039,Inf,"ABW"
2040,Inf,"ABW"
2041,Inf,"ABW"
2042,Inf,"ABW"
2043,Inf,"ABW"
2044,Inf,"ABW"
2045,Inf,"ABW"
2046,Inf,"ABW"
2047,Inf,"ABW"
2048,Inf,"ABW"
2049,Inf,"ABW"
2050,Inf,"ABW"
2021,1256.65,"AGO"
2022,5359.25751152815,"AGO"
2023,22855.7204272239,"AGO"
2024,97473.1957036462,"AGO"
2025,415695.664065109,"AGO"
2026,1772824.66092438,"AGO"
2027,7560596.72994175,"AGO"
2028,32243810.7799113,"AGO"
2029,137510750.90322,"AGO"
2030,586444534.829873,"AGO"
2031,2501020394.20812,"AGO"
2032,10666145970.7515,"AGO"
2033,45488101629.5754,"AGO"
2034,193993912659.418,"AGO"
2035,827329275144.808,"AGO"
2036,3528325812538.85,"AGO"
2037,15047313582912.9,"AGO"
2038,64172544740019.6,"AGO"
2039,273677788112701,"AGO"
2040,1167158510071542,"AGO"
2041,4977601569446477,"AGO"
2042,21228065571519780,"AGO"
2043,90531707213129728,"AGO"
2044,386092175158900800,"AGO"
2045,1646574137478678272,"AGO"
2046,7022173886579867648,"AGO"
2047,29947589343818858496,"AGO"
2048,1.27718014676339e+20,"AGO"
2049,5.44681279203941e+20,"AGO"
2050,2.32291189827118e+21,"AGO"
2021,5481.45,"ALB"
2022,Inf,"ALB"
2023,Inf,"ALB"
2024,Inf,"ALB"
2025,Inf,"ALB"
2026,Inf,"ALB"
2027,Inf,"ALB"
2028,Inf,"ALB"
2029,Inf,"ALB"
2030,Inf,"ALB"
2031,Inf,"ALB"
2032,Inf,"ALB"
2033,Inf,"ALB"
2034,Inf,"ALB"
2035,Inf,"ALB"
2036,Inf,"ALB"
2037,Inf,"ALB"
2038,Inf,"ALB"
2039,Inf,"ALB"
2040,Inf,"ALB"
2041,Inf,"ALB"
2042,Inf,"ALB"
2043,Inf,"ALB"
2044,Inf,"ALB"
2045,Inf,"ALB"
2046,Inf,"ALB"
2047,Inf,"ALB"
2048,Inf,"ALB"
2049,Inf,"ALB"
2050,Inf,"ALB"
2021,24519700,"ARE"
2022,27351245.5485104,"ARE"
2023,30509779.2001905,"ARE"
2024,34033061.6824531,"ARE"
2025,37963214.3478254,"ARE"
2026,42347222.7408209,"ARE"
2027,47237498.3169311,"ARE"
2028,52692505.0291696,"ARE"
2029,58777458.2731002,"ARE"
2030,65565104.5463398,"ARE"
2031,73136591.1434763,"ARE"
2032,81582436.2837323,"ARE"
2033,91003611.2693902,"ARE"
2034,101512747.612339,"ARE"
2035,113235483.560119,"ARE"
2036,126311966.119371,"ARE"
2037,140898526.533605,"ARE"
2038,157169549.245869,"ARE"
2039,175319556.690028,"ARE"
2040,195565534.834641,"ARE"
2041,218149527.281656,"ARE"
2042,243341528.932737,"ARE"
2043,271442713.81743,"ARE"
2044,302789035.67232,"ARE"
2045,337755244.316622,"ARE"
2046,376759365.840572,"ARE"
2047,420267700.167887,"ARE"
2048,468800395.738921,"ARE"
2049,522937667.960623,"ARE"
2050,583326735.765788,"ARE"
2021,128882.3,"ARG"
2022,118137.928078894,"ARG"
2023,108289.268974668,"ARG"
2024,99261.6509004361,"ARG"
2025,90986.6271401734,"ARG"
2026,83401.4570909032,"ARG"
2027,76448.630568201,"ARG"
2028,70075.4317683347,"ARG"
2029,64233.5395810358,"ARG"
2030,58878.6612225044,"ARG"
