,Country,ISO3,Year,frac_trns_fuelmix_rail_freight_electricity
0,Aruba,ABW,2023,0.0
1,Aruba,ABW,2024,0.0
2,Aruba,ABW,2025,0.0
3,Aruba,ABW,2026,0.0
4,Aruba,ABW,2027,0.0
5,Aruba,ABW,2028,0.0
6,Aruba,ABW,2029,0.0
7,Aruba,ABW,2030,0.0
8,Aruba,ABW,2031,0.0
9,Aruba,ABW,2032,0.0
10,Aruba,ABW,2033,0.0
11,Aruba,ABW,2034,0.0
12,Aruba,ABW,2035,0.0
13,Aruba,ABW,2036,0.0
14,Aruba,ABW,2037,0.0
15,Aruba,ABW,2038,0.0
16,Aruba,ABW,2039,0.0
17,Aruba,ABW,2040,0.0
18,Aruba,ABW,2041,0.0
19,Aruba,ABW,2042,0.0
20,Aruba,ABW,2043,0.0
21,Aruba,ABW,2044,0.0
22,Aruba,ABW,2045,0.0
23,Aruba,ABW,2046,0.0
24,Aruba,ABW,2047,0.0
25,Aruba,ABW,2048,0.0
26,Aruba,ABW,2049,0.0
27,Aruba,ABW,2050,0.0
28,Africa Eastern and Southern,AFE,2023,0.0
29,Africa Eastern and Southern,AFE,2024,0.0
30,Africa Eastern and Southern,AFE,2025,0.0
31,Africa Eastern and Southern,AFE,2026,0.0
32,Africa Eastern and Southern,AFE,2027,0.0
33,Africa Eastern and Southern,AFE,2028,0.0
34,Africa Eastern and Southern,AFE,2029,0.0
35,Africa Eastern and Southern,AFE,2030,0.0
36,Africa Eastern and Southern,AFE,2031,0.0
37,Africa Eastern and Southern,AFE,2032,0.0
38,Africa Eastern and Southern,AFE,2033,0.0
39,Africa Eastern and Southern,AFE,2034,0.0
40,Africa Eastern and Southern,AFE,2035,0.0
41,Africa Eastern and Southern,AFE,2036,0.0
42,Africa Eastern and Southern,AFE,2037,0.0
43,Africa Eastern and Southern,AFE,2038,0.0
44,Africa Eastern and Southern,AFE,2039,0.0
45,Africa Eastern and Southern,AFE,2040,0.0
46,Africa Eastern and Southern,AFE,2041,0.0
47,Africa Eastern and Southern,AFE,2042,0.0
48,Africa Eastern and Southern,AFE,2043,0.0
49,Africa Eastern and Southern,AFE,2044,0.0
