,Nation,iso_code3,Year,fuelefficiency_trns_rail_freight_diesel_km_per_litre
0,Aruba,ABW,2023,8.8
1,Aruba,ABW,2024,8.8
2,Aruba,ABW,2025,8.8
3,Aruba,ABW,2026,8.8
4,Aruba,ABW,2027,8.8
5,Aruba,ABW,2028,8.8
6,Aruba,ABW,2029,8.8
7,Aruba,ABW,2030,8.8
8,Aruba,ABW,2031,8.8
9,Aruba,ABW,2032,8.8
10,Aruba,ABW,2033,8.8
11,Aruba,ABW,2034,8.8
12,Aruba,ABW,2035,8.8
13,Aruba,ABW,2036,8.8
14,Aruba,ABW,2037,8.8
15,Aruba,ABW,2038,8.8
16,Aruba,ABW,2039,8.8
17,Aruba,ABW,2040,8.8
18,Aruba,ABW,2041,8.8
19,Aruba,ABW,2042,8.8
20,Aruba,ABW,2043,8.8
21,Aruba,ABW,2044,8.8
22,Aruba,ABW,2045,8.8
23,Aruba,ABW,2046,8.8
24,Aruba,ABW,2047,8.8
25,Aruba,ABW,2048,8.8
26,Aruba,ABW,2049,8.8
27,Aruba,ABW,2050,8.8
28,Africa Eastern and Southern,AFE,2023,8.8
29,Africa Eastern and Southern,AFE,2024,8.8
30,Africa Eastern and Southern,AFE,2025,8.8
31,Africa Eastern and Southern,AFE,2026,8.8
32,Africa Eastern and Southern,AFE,2027,8.8
33,Africa Eastern and Southern,AFE,2028,8.8
34,Africa Eastern and Southern,AFE,2029,8.8
35,Africa Eastern and Southern,AFE,2030,8.8
36,Africa Eastern and Southern,AFE,2031,8.8
37,Africa Eastern and Southern,AFE,2032,8.8
38,Africa Eastern and Southern,AFE,2033,8.8
39,Africa Eastern and Southern,AFE,2034,8.8
40,Africa Eastern and Southern,AFE,2035,8.8
41,Africa Eastern and Southern,AFE,2036,8.8
42,Africa Eastern and Southern,AFE,2037,8.8
43,Africa Eastern and Southern,AFE,2038,8.8
44,Africa Eastern and Southern,AFE,2039,8.8
45,Africa Eastern and Southern,AFE,2040,8.8
46,Africa Eastern and Southern,AFE,2041,8.8
47,Africa Eastern and Southern,AFE,2042,8.8
48,Africa Eastern and Southern,AFE,2043,8.8
49,Africa Eastern and Southern,AFE,2044,8.8
50,Africa Eastern and Southern,AFE,2045,8.8
51,Africa Eastern and Southern,AFE,2046,8.8
52,Africa Eastern and Southern,AFE,2047,8.8
53,Africa Eastern and Southern,AFE,2048,8.8
54,Africa Eastern and Southern,AFE,2049,8.8
55,Africa Eastern and Southern,AFE,2050,8.8
