"Value","LOCATION","TIME","INDICATOR","SUBJECT","MEASURE","FREQUENCY"
0,"ABW",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"ABW",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"AFG",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
58121.4044667251,"AGO",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
63412.1109098503,"AGO",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
68768.0438442419,"AGO",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
74196.9163894402,"AGO",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
79684.175284705,"AGO",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
83981.8462591964,"AGO",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
88406.4025831945,"AGO",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
92960.104548448,"AGO",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
97661.9154409421,"AGO",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
102513.674221199,"AGO",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
82836.1654866244,"AGO",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
50,"ALB",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
25,"ALB",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
23,"ALB",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
39.887,"ALB",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
23.124,"ALB",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8.8,"ALB",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
25.3,"ALB",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
20.4,"ALB",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
43,"ALB",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
26.039,"ALB",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
25.1151187,"ALB",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
59429.4348750811,"ARE",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
61378.2823898503,"ARE",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
62657.4130532995,"ARE",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
63719.3704217634,"ARE",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
64902.2695920237,"ARE",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
65849.8535844477,"ARE",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
66926.6094029861,"ARE",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
68082.8152746363,"ARE",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
69216.800553009,"ARE",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
70252.6779301966,"ARE",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
77604.1258933166,"ARE",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
12198,"ARG",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10583,"ARG",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
9746,"ARG",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8893,"ARG",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8274,"ARG",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8529,"ARG",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8377,"ARG",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
260482.077512783,"ARG",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
262904.634923417,"ARG",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
265294.57574354,"ARG",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
257963.457018937,"ARG",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
816,"ARM",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
867,"ARM",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
851,"ARM",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
786,"ARM",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
640,"ARM",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
658,"ARM",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
