Year,Nation,iso_code3,pij_lndu_grasslands_to_other
2021,Afghanistan,AFG,0.0
2022,Afghanistan,AFG,0.0
2023,Afghanistan,AFG,0.0
2024,Afghanistan,AFG,0.0
2025,Afghanistan,AFG,0.0
2026,Afghanistan,AFG,0.0
2027,Afghanistan,AFG,0.0
2028,Afghanistan,AFG,0.0
2029,Afghanistan,AFG,0.0
2030,Afghanistan,AFG,0.0
2031,Afghanistan,AFG,0.0
2032,Afghanistan,AFG,0.0
2033,Afghanistan,AFG,0.0
2034,Afghanistan,AFG,0.0
2035,Afghanistan,AFG,0.0
2036,Afghanistan,AFG,0.0
2037,Afghanistan,AFG,0.0
2038,Afghanistan,AFG,0.0
2039,Afghanistan,AFG,0.0
2040,Afghanistan,AFG,0.0
2041,Afghanistan,AFG,0.0
2042,Afghanistan,AFG,0.0
2043,Afghanistan,AFG,0.0
2044,Afghanistan,AFG,0.0
2045,Afghanistan,AFG,0.0
2046,Afghanistan,AFG,0.0
2047,Afghanistan,AFG,0.0
2048,Afghanistan,AFG,0.0
2049,Afghanistan,AFG,0.0
2050,Afghanistan,AFG,0.0
2021,Algeria,DZA,0.0073616854125633
2022,Algeria,DZA,0.0073376683121119
2023,Algeria,DZA,0.0073136512116606
2024,Algeria,DZA,0.0072896341112092
2025,Algeria,DZA,0.0072656170107578
2026,Algeria,DZA,0.0072415999103065
2027,Algeria,DZA,0.0072175828098551
2028,Algeria,DZA,0.0071935657094037
2029,Algeria,DZA,0.0071695486089524
2030,Algeria,DZA,0.007145531508501
2031,Algeria,DZA,0.0071215144080496
2032,Algeria,DZA,0.0070974973075983
2033,Algeria,DZA,0.0070734802071469
2034,Algeria,DZA,0.0070494631066955
2035,Algeria,DZA,0.0070254460062442
2036,Algeria,DZA,0.0070014289057928
2037,Algeria,DZA,0.0069774118053414
2038,Algeria,DZA,0.0069533947048901
2039,Algeria,DZA,0.0069293776044387
2040,Algeria,DZA,0.0069053605039873
2041,Algeria,DZA,0.006881343403536
2042,Algeria,DZA,0.0068573263030846
2043,Algeria,DZA,0.0068333092026333
2044,Algeria,DZA,0.0068092921021819
2045,Algeria,DZA,0.0067852750017305
2046,Algeria,DZA,0.0067612579012792
2047,Algeria,DZA,0.0067372408008278
2048,Algeria,DZA,0.0067132237003764
2049,Algeria,DZA,0.0066892065999251
2050,Algeria,DZA,0.0066651894994737
2021,Andorra,AND,0.0012082426754263
2022,Andorra,AND,0.0015103033442829
2023,Andorra,AND,0.0018123640131395
2024,Andorra,AND,0.0021144246819961
2025,Andorra,AND,0.0024164853508527
2026,Andorra,AND,0.0027185460197093
2027,Andorra,AND,0.0030206066885658
2028,Andorra,AND,0.0033226673574224
2029,Andorra,AND,0.0036247280262790005
2030,Andorra,AND,0.0039267886951356
