"SUBJECT","LOCATION","TIME","Value","INDICATOR","MEASURE","FREQUENCY"
"COAST","GEO",2019,545.61,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ABW",2019,12602.7493124944,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","IRQ",2018,38673.6313742006,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MNE",2017,81.6,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ETH",2017,23472.8780757815,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ALB",2014,1063.38305,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BLZ",2016,8453.85270361967,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MAR",2014,16191.9433563623,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ARE",2015,54092.2549889889,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ITA",2015,51145,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BFA",2011,8024.27058698844,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","HRV",2013,211,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","FIN",2021,2208,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BEL",2013,85333.4584780286,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","THA",2019,165631.586199121,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","TCD",2020,8200.11116509524,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BOL",2012,8317.82140887531,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","LBR",2013,7871.70479101386,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BHR",2015,11066.2552833683,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","CHL",2011,29728.9319706452,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MLI",2017,7218.33581780673,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","CHE",2012,10329.9511203171,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","TKM",2021,14191.4273766984,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ALB",2021,1061.167267805,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","SLB",2011,8413.08370755966,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BRN",2011,4250.45103349957,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ABW",2021,9534.06314049306,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","NCL",2014,4174.73975202813,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","CHL",2013,34608.1935824816,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","URY",2021,11824.3544945748,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BWA",2014,9588.93532498767,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","PRI",2021,20103.6565974835,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","HRV",2015,217,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ISR",2019,40187.5604492944,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GEO",2021,606.45675,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ALB",2017,1061.195,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GUY",2016,8502.45410635074,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ARG",2012,120532.011416474,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GNB",2016,8248.89920706763,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","TCD",2019,8235.84673887297,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GEO",2015,738.825,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BOL",2014,8389.90255543781,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","LSO",2021,8322.0863016415,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","JAM",2017,8981.09997953283,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","COL",2021,124083.408894164,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","UGA",2012,8333.30742832648,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BEL",2012,83327.3251226474,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","HTI",2012,7500.91829712229,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","DJI",2019,8301.93310794418,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","AUT",2020,14682.0537528429,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","HUN",2012,14057.1,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","KWT",2020,6955.84240248865,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","SWZ",2013,8583.5249335897,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","DNK",2020,11479.767112946,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BGD",2019,105722.766866755,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MMR",2017,13378.5272292222,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MAR",2017,19972.8823191696,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BTN",2021,8553.69793484399,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ALB",2013,1056,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ABW",2016,12602.5947047294,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","CMR",2019,11112.3196353684,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","FIN",2015,2180,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","UGA",2016,8283.80394007229,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","HRV",2020,213,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BRA",2015,670180.451065298,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GHA",2017,13095.9984655837,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MNG",2018,8631.69690650631,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BGR",2011,7636.35,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ALB",2018,1060.46,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BRB",2018,8650.17964267136,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","FIN",2014,2010,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","PER",2020,70161.1587521814,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","PYF",2013,8685.87357263619,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","DNK",2014,6872.86900976082,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ALB",2016,1058.72,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BLR",2013,30021.9,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BLR",2011,30462.75,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ARM",2011,701.4,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GBR",2012,34400,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","JOR",2021,8775.30362107186,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","AGO",2019,27107.1576927777,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BGD",2016,92573.1770736188,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MUS",2015,8984.93587442395,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MNG",2016,8585.80153712037,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","TTO",2013,12153.606128299,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","DEU",2019,153669.065965538,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","AUS",2016,110379.91,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","SEN",2012,7702.37318242584,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","SDN",2013,12378.0131092621,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","ETH",2020,30666.4555481665,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BGR",2020,11343.3,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BEN",2013,7737.65723151057,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GBR",2013,28000,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","TUN",2015,17111.8477482012,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","IND",2014,1267066.46217712,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","IND",2018,1838299.09399952,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","LBY",2021,29293.6946111117,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","RUS",2017,16596,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","AUT",2018,15198.3621920007,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","HRV",2012,222,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","COM",2017,8357.38915187658,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","PAK",2019,170170.407205423,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","IDN",2020,466526.44580205,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BLR",2021,33125.1490799186,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BGR",2013,9419.25,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","MKD",2015,3141.9,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","COL",2019,117672.410036156,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","GIN",2017,7794.24440156694,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","AFG",2017,7876.5616624384,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","CYP",2015,9706.02644545899,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","SLV",2013,9092.24249531646,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","UZB",2015,12590.7522048808,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","LSO",2017,8351.29132653171,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BFA",2017,7929.8663353628,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","IND",2013,1206716.00678354,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","RWA",2011,8409.75154461115,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","WSM",2014,8423.21477250504,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BLZ",2013,8451.74349121179,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BRA",2019,664455.951454625,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","BRB",2012,8631.42877049703,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","CMR",2014,7442.35347627426,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","AUT",2013,13639.8402878414,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","CHN",2015,5423600,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","NGA",2020,193814.130469888,"FREIGHTTRANSP","MLN_TONNEKM","A"
"COAST","DNK",2017,7116.66482223307,"FREIGHTTRANSP","MLN_TONNEKM","A"
