iso_code3,Nation,Year,frac_trns_fuelmix_road_heavy_regional_natural_gas
ABW,Aruba,2021,0.0015288275302155865
ABW,Aruba,2022,0.001539362622820876
ABW,Aruba,2023,0.0015497863802985603
ABW,Aruba,2024,0.0015601005582606678
ABW,Aruba,2025,0.0015703068756005674
ABW,Aruba,2026,0.0016148867180963704
ABW,Aruba,2027,0.0016610360232749808
ABW,Aruba,2028,0.0017088391571665707
ABW,Aruba,2029,0.0017583866428888186
ABW,Aruba,2030,0.0018097757327706883
ABW,Aruba,2031,0.0018601791168053323
ABW,Aruba,2032,0.0019124563168592204
ABW,Aruba,2033,0.0019667138046306457
ABW,Aruba,2034,0.0020230662739547153
ABW,Aruba,2035,0.002081637450107329
ABW,Aruba,2036,0.0021383095950380042
ABW,Aruba,2037,0.0021971372517462493
ABW,Aruba,2038,0.002258245780842277
ABW,Aruba,2039,0.0023217704561043105
ABW,Aruba,2040,0.002387857464123004
ABW,Aruba,2041,0.0024507772360498094
ABW,Aruba,2042,0.0025161113309470737
ABW,Aruba,2043,0.002584001428660228
ABW,Aruba,2044,0.002654600515814876
ABW,Aruba,2045,0.0027280740367024367
ABW,Aruba,2046,0.002796474936759803
ABW,Aruba,2047,0.002867443405362475
ABW,Aruba,2048,0.0029411267762007726
ABW,Aruba,2049,0.003017683875299985
ABW,Aruba,2050,0.003097286163838529
AFG,Afghanistan,2021,0.008412972260720318
AFG,Afghanistan,2022,0.00839450370062712
AFG,Afghanistan,2023,0.008376825551080457
AFG,Afghanistan,2024,0.00835988813359716
AFG,Afghanistan,2025,0.008343645847419645
AFG,Afghanistan,2026,0.008304521744131368
AFG,Afghanistan,2027,0.008267313990165143
AFG,Afghanistan,2028,0.008231885153409575
AFG,Afghanistan,2029,0.00819811063630648
AFG,Afghanistan,2030,0.008165877211785653
AFG,Afghanistan,2031,0.008128282427453856
AFG,Afghanistan,2032,0.008092504202609574
AFG,Afghanistan,2033,0.008058413980404668
AFG,Afghanistan,2034,0.008025895054952853
AFG,Afghanistan,2035,0.00799484123649683
AFG,Afghanistan,2036,0.007953097489597867
AFG,Afghanistan,2037,0.00791335802883082
AFG,Afghanistan,2038,0.00787548188755879
AFG,Afghanistan,2039,0.007839341015724597
AFG,Afghanistan,2040,0.007804818833570106
AFG,Afghanistan,2041,0.0077551139532211376
AFG,Afghanistan,2042,0.007707812865475103
AFG,Afghanistan,2043,0.007662745311500393
AFG,Afghanistan,2044,0.0076197567406726206
AFG,Afghanistan,2045,0.00757870653985322
AFG,Afghanistan,2046,0.007518228413276612
AFG,Afghanistan,2047,0.007460735697251271
AFG,Afghanistan,2048,0.007406012661023815
AFG,Afghanistan,2049,0.007353863870373336
AFG,Afghanistan,2050,0.00730411185552268
AGO,Angola,2021,0.018534902516546468
AGO,Angola,2022,0.01859420917339465
AGO,Angola,2023,0.018651674138703146
AGO,Angola,2024,0.01870738188785893
AGO,Angola,2025,0.018761411807718908
AGO,Angola,2026,0.01899853534183471
AGO,Angola,2027,0.01923268764160594
AGO,Angola,2028,0.01946392420511491
AGO,Angola,2029,0.019692299156837748
AGO,Angola,2030,0.019917865289880213
AGO,Angola,2031,0.02026591716702325
AGO,Angola,2032,0.020613502631041055
AGO,Angola,2033,0.02096062261884382
AGO,Angola,2034,0.021307278064833835
AGO,Angola,2035,0.021653469900914296
AGO,Angola,2036,0.021974463156399376
AGO,Angola,2037,0.022293827757205283
AGO,Angola,2038,0.02261157606716159
AGO,Angola,2039,0.02292772032526797
AGO,Angola,2040,0.023242272647265902
AGO,Angola,2041,0.023444585979992338
AGO,Angola,2042,0.023643840238410995
AGO,Angola,2043,0.0238401042839123
AGO,Angola,2044,0.024033444926470617
AGO,Angola,2045,0.02422392700047075
AGO,Angola,2046,0.02425246830984301
AGO,Angola,2047,0.024280215994874114
AGO,Angola,2048,0.024307202703135633
AGO,Angola,2049,0.024333459315710824
AGO,Angola,2050,0.024359015065076157
ALB,Albania,2021,0.0
ALB,Albania,2022,0.0
ALB,Albania,2023,0.0
ALB,Albania,2024,0.0
ALB,Albania,2025,0.0
ALB,Albania,2026,0.0
ALB,Albania,2027,0.0
ALB,Albania,2028,0.0
ALB,Albania,2029,0.0
ALB,Albania,2030,0.0
ALB,Albania,2031,0.0
ALB,Albania,2032,0.0
ALB,Albania,2033,0.0
ALB,Albania,2034,0.0
ALB,Albania,2035,0.0
ALB,Albania,2036,0.0
ALB,Albania,2037,0.0
ALB,Albania,2038,0.0
ALB,Albania,2039,0.0
ALB,Albania,2040,0.0
ALB,Albania,2041,0.0
ALB,Albania,2042,0.0
ALB,Albania,2043,0.0
ALB,Albania,2044,0.0
ALB,Albania,2045,0.0
ALB,Albania,2046,0.0
ALB,Albania,2047,0.0
ALB,Albania,2048,0.0
ALB,Albania,2049,0.0
ALB,Albania,2050,0.0
ARE,United Arab Emirates,2021,0.0038182118643166696
ARE,United Arab Emirates,2022,0.0038438205144182293
ARE,United Arab Emirates,2023,0.0038686739452875453
ARE,United Arab Emirates,2024,0.003892805079482192
ARE,United Arab Emirates,2025,0.003916244953361117
ARE,United Arab Emirates,2026,0.0038606679969151827
ARE,United Arab Emirates,2027,0.003808646483718473
ARE,United Arab Emirates,2028,0.003759849808392537
ARE,United Arab Emirates,2029,0.0037139871220602553
ARE,United Arab Emirates,2030,0.003670801530683265
ARE,United Arab Emirates,2031,0.00363151858515005
ARE,United Arab Emirates,2032,0.0035943355707340006
ARE,United Arab Emirates,2033,0.003559088488213033
ARE,United Arab Emirates,2034,0.003525629982305536
ARE,United Arab Emirates,2035,0.003493827282467893
ARE,United Arab Emirates,2036,0.0034631028903167045
ARE,United Arab Emirates,2037,0.003433798163612717
ARE,United Arab Emirates,2038,0.0034058169277250525
ARE,United Arab Emirates,2039,0.003379071503266551
ARE,United Arab Emirates,2040,0.0033534817883633288
ARE,United Arab Emirates,2041,0.003332524449862055
ARE,United Arab Emirates,2042,0.0033123524181845093
ARE,United Arab Emirates,2043,0.003292922364967194
ARE,United Arab Emirates,2044,0.0032741940917379534
ARE,United Arab Emirates,2045,0.0032561302523137054
ARE,United Arab Emirates,2046,0.0032424414863086327
ARE,United Arab Emirates,2047,0.0032291612124345018
ARE,United Arab Emirates,2048,0.003216271414531117
ARE,United Arab Emirates,2049,0.0032037551205362316
ARE,United Arab Emirates,2050,0.0031915963279295846
ARG,Argentina,2021,0.12360232296090838
ARG,Argentina,2022,0.12360232296090838
ARG,Argentina,2023,0.12360232296090838
ARG,Argentina,2024,0.12360232296090838
ARG,Argentina,2025,0.12360232296090838
ARG,Argentina,2026,0.12360232296090838
ARG,Argentina,2027,0.12360232296090838
ARG,Argentina,2028,0.12360232296090838
ARG,Argentina,2029,0.12360232296090838
ARG,Argentina,2030,0.12360232296090838
ARG,Argentina,2031,0.12360232296090838
ARG,Argentina,2032,0.12360232296090838
ARG,Argentina,2033,0.12360232296090838
ARG,Argentina,2034,0.12360232296090838
ARG,Argentina,2035,0.12360232296090838
ARG,Argentina,2036,0.12360232296090838
ARG,Argentina,2037,0.12360232296090838
ARG,Argentina,2038,0.12360232296090838
ARG,Argentina,2039,0.12360232296090838
ARG,Argentina,2040,0.12360232296090838
ARG,Argentina,2041,0.12360232296090838
ARG,Argentina,2042,0.12360232296090838
ARG,Argentina,2043,0.12360232296090838
ARG,Argentina,2044,0.12360232296090838
ARG,Argentina,2045,0.12360232296090838
ARG,Argentina,2046,0.12360232296090838
ARG,Argentina,2047,0.12360232296090838
ARG,Argentina,2048,0.12360232296090838
ARG,Argentina,2049,0.12360232296090838
ARG,Argentina,2050,0.12360232296090838
ARM,Armenia,2021,0.48735495388277295
ARM,Armenia,2022,0.48735495388277295
ARM,Armenia,2023,0.48735495388277295
ARM,Armenia,2024,0.48735495388277295
ARM,Armenia,2025,0.48735495388277295
ARM,Armenia,2026,0.48735495388277295
ARM,Armenia,2027,0.48735495388277295
ARM,Armenia,2028,0.48735495388277295
ARM,Armenia,2029,0.48735495388277295
ARM,Armenia,2030,0.48735495388277295
ARM,Armenia,2031,0.48735495388277295
ARM,Armenia,2032,0.48735495388277295
ARM,Armenia,2033,0.48735495388277295
