Year,Nation,iso_code3,pij_lndu_settlements_to_croplands
2021,Afghanistan,AFG,0.003711968600825956
2022,Afghanistan,AFG,0.0035923084012448704
2023,Afghanistan,AFG,0.0034726482016637843
2024,Afghanistan,AFG,0.003352988002082698
2025,Afghanistan,AFG,0.0032333278025016123
2026,Afghanistan,AFG,0.003113667602920526
2027,Afghanistan,AFG,0.00299400740333944
2028,Afghanistan,AFG,0.0028743472037583537
2029,Afghanistan,AFG,0.0027546870041772684
2030,Afghanistan,AFG,0.002635026804596182
2031,Afghanistan,AFG,0.002515366605015096
2032,Afghanistan,AFG,0.00239570640543401
2033,Afghanistan,AFG,0.0022760462058529244
2034,Afghanistan,AFG,0.0021563860062718387
2035,Afghanistan,AFG,0.002036725806690752
2036,Afghanistan,AFG,0.0019170656071096665
2037,Afghanistan,AFG,0.00179740540752858
2038,Afghanistan,AFG,0.0016777452079474945
2039,Afghanistan,AFG,0.0015580850083664081
2040,Afghanistan,AFG,0.0014384248087853226
2041,Afghanistan,AFG,0.001318764609204236
2042,Afghanistan,AFG,0.0011991044096231506
2043,Afghanistan,AFG,0.0010794442100420642
2044,Afghanistan,AFG,0.0009597840104609783
2045,Afghanistan,AFG,0.0008401238108798923
2046,Afghanistan,AFG,0.0007204636112988066
2047,Afghanistan,AFG,0.0006008034117177203
2048,Afghanistan,AFG,0.0004811432121366345
2049,Afghanistan,AFG,0.0003614830125555483
2050,Afghanistan,AFG,0.0002418228129744621
2021,Algeria,DZA,0.00015589015151505175
2022,Algeria,DZA,0.0001558001893938397
2023,Algeria,DZA,0.00015571022727262762
2024,Algeria,DZA,0.00015562026515141556
2025,Algeria,DZA,0.0001555303030302035
2026,Algeria,DZA,0.00015544034090899143
2027,Algeria,DZA,0.0001553503787877794
2028,Algeria,DZA,0.0001552604166665673
2029,Algeria,DZA,0.00015517045454535526
2030,Algeria,DZA,0.0001550804924241432
2031,Algeria,DZA,0.00015499053030293113
2032,Algeria,DZA,0.0001549005681817191
2033,Algeria,DZA,0.000154810606060507
2034,Algeria,DZA,0.00015472064393929494
2035,Algeria,DZA,0.0001546306818180829
2036,Algeria,DZA,0.0001545407196968708
2037,Algeria,DZA,0.00015445075757565874
2038,Algeria,DZA,0.00015436079545444668
2039,Algeria,DZA,0.00015427083333323458
2040,Algeria,DZA,0.00015418087121202255
2041,Algeria,DZA,0.00015409090909081048
2042,Algeria,DZA,0.00015400094696959844
2043,Algeria,DZA,0.00015391098484838638
2044,Algeria,DZA,0.0001538210227271743
2045,Algeria,DZA,0.00015373106060596222
2046,Algeria,DZA,0.00015364109848475018
2047,Algeria,DZA,0.00015355113636353812
2048,Algeria,DZA,0.00015346117424232605
2049,Algeria,DZA,0.000153371212121114
2050,Algeria,DZA,0.00015328124999990192
2021,Andorra,AND,0.00036007028895963344
2022,Andorra,AND,0.0003743288795048168
2023,Andorra,AND,0.00038858747005000014
2024,Andorra,AND,0.0004028460605951835
2025,Andorra,AND,0.0004171046511403669
2026,Andorra,AND,0.00043136324168555035
2027,Andorra,AND,0.0004456218322307336
2028,Andorra,AND,0.000459880422775917
2029,Andorra,AND,0.0004741390133211004
2030,Andorra,AND,0.0004883976038662837
2031,Andorra,AND,0.0005026561944114669
2032,Andorra,AND,0.0005169147849566504
2033,Andorra,AND,0.0005311733755018336
2034,Andorra,AND,0.0005454319660470171
2035,Andorra,AND,0.0005596905565922006
2036,Andorra,AND,0.0005739491471373839
2037,Andorra,AND,0.0005882077376825673
2038,Andorra,AND,0.0006024663282277506
2039,Andorra,AND,0.000616724918772934
2040,Andorra,AND,0.0006309835093181173
2041,Andorra,AND,0.0006452420998633008
2042,Andorra,AND,0.000659500690408484
2043,Andorra,AND,0.0006737592809536674
2044,Andorra,AND,0.0006880178714988508
2045,Andorra,AND,0.0007022764620440339
2046,Andorra,AND,0.0007165350525892174
2047,Andorra,AND,0.0007307936431344009
2048,Andorra,AND,0.0007450522336795843
2049,Andorra,AND,0.0007593108242247676
2050,Andorra,AND,0.0007735694147699509
2021,Angola,AGO,0.00010952153110047284
2022,Angola,AGO,0.00013690191387559104
2023,Angola,AGO,0.00016428229665070926
2024,Angola,AGO,0.0001916626794258275
2025,Angola,AGO,0.00021904306220094568
2026,Angola,AGO,0.00024642344497606387
2027,Angola,AGO,0.0002738038277511821
2028,Angola,AGO,0.0003011842105263003
2029,Angola,AGO,0.0003285645933014185
2030,Angola,AGO,0.0003559449760765368
2031,Angola,AGO,0.0003833253588516549
2032,Angola,AGO,0.0004107057416267732
2033,Angola,AGO,0.00043808612440189137
2034,Angola,AGO,0.0004654665071770097
2035,Angola,AGO,0.0004928468899521277
2036,Angola,AGO,0.000520227272727246
2037,Angola,AGO,0.0005476076555023642
2038,Angola,AGO,0.0005749880382774824
2039,Angola,AGO,0.0006023684210526006
2040,Angola,AGO,0.0006297488038277189
2041,Angola,AGO,0.000657129186602837
2042,Angola,AGO,0.0006845095693779553
2043,Angola,AGO,0.0007118899521530736
2044,Angola,AGO,0.0007392703349281918
2045,Angola,AGO,0.0007666507177033099
2046,Angola,AGO,0.0007940311004784283
2047,Angola,AGO,0.0008214114832535463
2048,Angola,AGO,0.0008487918660286647
2049,Angola,AGO,0.0008761722488037827
2050,Angola,AGO,0.0009035526315789008
2021,Argentina,ARG,0.0001463540612417903
2022,Argentina,ARG,0.0001829425765522379
2023,Argentina,ARG,0.00021953109186268545
2024,Argentina,ARG,0.000256119607173133
2025,Argentina,ARG,0.0002927081224835806
2026,Argentina,ARG,0.0003292966377940282
2027,Argentina,ARG,0.0003658851531044758
2028,Argentina,ARG,0.00040247366841492327
2029,Argentina,ARG,0.0004390621837253709
2030,Argentina,ARG,0.0004756506990358185
2031,Argentina,ARG,0.000512239214346266
2032,Argentina,ARG,0.0005488277296567136
2033,Argentina,ARG,0.0005854162449671612
2034,Argentina,ARG,0.0006220047602776088
2035,Argentina,ARG,0.0006585932755880564
2036,Argentina,ARG,0.0006951817908985039
2037,Argentina,ARG,0.0007317703062089515
2038,Argentina,ARG,0.0007683588215193991
2039,Argentina,ARG,0.0008049473368298468
2040,Argentina,ARG,0.0008415358521402942
2041,Argentina,ARG,0.0008781243674507418
2042,Argentina,ARG,0.0009147128827611895
2043,Argentina,ARG,0.000951301398071637
2044,Argentina,ARG,0.0009878899133820844
2045,Argentina,ARG,0.001024478428692532
2046,Argentina,ARG,0.0010610669440029798
2047,Argentina,ARG,0.0010976554593134273
2048,Argentina,ARG,0.0011342439746238747
2049,Argentina,ARG,0.0011708324899343224
2050,Argentina,ARG,0.0012074210052447699
2021,Austria,AUT,0.0023165209694437604
2022,Austria,AUT,0.002270651211804725
2023,Austria,AUT,0.0022247814541656906
2024,Austria,AUT,0.0021789116965266558
2025,Austria,AUT,0.002133041938887621
2026,Austria,AUT,0.0020871721812485864
2027,Austria,AUT,0.002041302423609552
2028,Austria,AUT,0.0019954326659705167
2029,Austria,AUT,0.0019495629083314816
2030,Austria,AUT,0.001903693150692447
2031,Austria,AUT,0.001857823393053412
2032,Austria,AUT,0.0018119536354143765
2033,Austria,AUT,0.0017660838777753425
2034,Austria,AUT,0.0017202141201363074
2035,Austria,AUT,0.0016743443624972726
2036,Austria,AUT,0.0016284746048582381
2037,Austria,AUT,0.001582604847219203
2038,Austria,AUT,0.0015367350895801686
2039,Austria,AUT,0.0014908653319411333
2040,Austria,AUT,0.0014449955743020984
2041,Austria,AUT,0.0013991258166630638
2042,Austria,AUT,0.0013532560590240287
2043,Austria,AUT,0.001307386301384994
2044,Austria,AUT,0.0012615165437459591
2045,Austria,AUT,0.0012156467861069245
2046,Austria,AUT,0.0011697770284678894
2047,Austria,AUT,0.0011239072708288547
2048,Austria,AUT,0.0010780375131898199
2049,Austria,AUT,0.001032167755550785
2050,Austria,AUT,0.00098629799791175
2021,Bahamas,BHS,1.841784523985422e-15
2022,Bahamas,BHS,1.8038259230293753e-15
2023,Bahamas,BHS,1.7658673220733285e-15
2024,Bahamas,BHS,1.7279087211172814e-15
2025,Bahamas,BHS,1.6899501201612344e-15
2026,Bahamas,BHS,1.6519915192051875e-15
2027,Bahamas,BHS,1.614032918249141e-15
2028,Bahamas,BHS,1.5760743172930938e-15
2029,Bahamas,BHS,1.5381157163370473e-15
2030,Bahamas,BHS,1.5001571153810005e-15
2031,Bahamas,BHS,1.4621985144249536e-15
2032,Bahamas,BHS,1.4242399134689064e-15
2033,Bahamas,BHS,1.38628131251286e-15
2034,Bahamas,BHS,1.3483227115568131e-15
2035,Bahamas,BHS,1.310364110600766e-15
2036,Bahamas,BHS,1.2724055096447193e-15
2037,Bahamas,BHS,1.2344469086886725e-15
2038,Bahamas,BHS,1.1964883077326254e-15
2039,Bahamas,BHS,1.1585297067765784e-15
2040,Bahamas,BHS,1.120571105820532e-15
2041,Bahamas,BHS,1.0826125048644851e-15
2042,Bahamas,BHS,1.0446539039084384e-15
2043,Bahamas,BHS,1.0066953029523912e-15
2044,Bahamas,BHS,9.687367019963443e-16
2045,Bahamas,BHS,9.307781010402978e-16
2046,Bahamas,BHS,8.928195000842508e-16
2047,Bahamas,BHS,8.54860899128204e-16
2048,Bahamas,BHS,8.169022981721571e-16
2049,Bahamas,BHS,7.789436972161102e-16
2050,Bahamas,BHS,7.40985096260063e-16
2021,Bahrain,BHR,0.0003705867819606786
2022,Bahrain,BHR,0.0003777350697888483
2023,Bahrain,BHR,0.000384883357617018
2024,Bahrain,BHR,0.0003920316454451876
2025,Bahrain,BHR,0.0003991799332733573
2026,Bahrain,BHR,0.00040632822110152697
2027,Bahrain,BHR,0.00041347650892969664
2028,Bahrain,BHR,0.0004206247967578663
2029,Bahrain,BHR,0.000427773084586036
2030,Bahrain,BHR,0.0004349213724142056
2031,Bahrain,BHR,0.00044206966024237527
2032,Bahrain,BHR,0.00044921794807054494
2033,Bahrain,BHR,0.00045636623589871467
2034,Bahrain,BHR,0.0004635145237268843
2035,Bahrain,BHR,0.000470662811555054
2036,Bahrain,BHR,0.0004778110993832236
2037,Bahrain,BHR,0.00048495938721139324
2038,Bahrain,BHR,0.000492107675039563
2039,Bahrain,BHR,0.0004992559628677326
2040,Bahrain,BHR,0.0005064042506959022
2041,Bahrain,BHR,0.0005135525385240719
2042,Bahrain,BHR,0.0005207008263522417
2043,Bahrain,BHR,0.0005278491141804114
2044,Bahrain,BHR,0.0005349974020085809
2045,Bahrain,BHR,0.0005421456898367506
2046,Bahrain,BHR,0.0005492939776649202
2047,Bahrain,BHR,0.0005564422654930898
2048,Bahrain,BHR,0.0005635905533212597
2049,Bahrain,BHR,0.0005707388411494293
2050,Bahrain,BHR,0.0005778871289775988
2021,Bangladesh,BGD,0.04461792295873484
2022,Bangladesh,BGD,0.043439825273624055
2023,Bangladesh,BGD,0.04226172758851327
2024,Bangladesh,BGD,0.04108362990340248
2025,Bangladesh,BGD,0.039905532218291684
2026,Bangladesh,BGD,0.038727434533180886
2027,Bangladesh,BGD,0.0375493368480701
2028,Bangladesh,BGD,0.03637123916295931
2029,Bangladesh,BGD,0.03519314147784852
2030,Bangladesh,BGD,0.03401504379273773
2031,Bangladesh,BGD,0.03283694610762694
2032,Bangladesh,BGD,0.03165884842251615
2033,Bangladesh,BGD,0.030480750737405363
2034,Bangladesh,BGD,0.029302653052294576
2035,Bangladesh,BGD,0.028124555367183786
2036,Bangladesh,BGD,0.026946457682072995
2037,Bangladesh,BGD,0.0257683599969622
2038,Bangladesh,BGD,0.02459026231185141
